Phase,Magnitude
0.005,15.201827685038248
0.015,15.147931098937988
0.025,15.171653938293456
0.035,15.218149048941475
0.045,15.204062461853027
0.055,
0.065,15.458599090576172
0.07500000000000001,15.243450164794922
0.08499999999999999,15.257342338562012
0.095,15.277618567148844
0.10500000000000001,15.28969955444336
0.11499999999999999,15.238397979736328
0.125,15.32138729095459
0.135,15.297057628631592
0.14500000000000002,15.33205051422119
0.155,15.317009925842285
0.165,15.306636810302734
0.175,15.30967648824056
0.185,15.337922732035318
0.195,15.359451055526733
0.20500000000000002,15.356964349746704
0.215,15.336357116699219
0.225,15.333323240280151
0.235,15.35781987508138
0.245,15.374850818089076
0.255,15.387308835983276
0.265,15.4296875
0.275,15.386272621154784
0.28500000000000003,15.39736239115397
0.295,15.382737159729004
0.305,15.380876223246256
0.315,15.36290168762207
0.325,15.374024391174316
0.335,15.404759407043457
0.34500000000000003,15.432278633117676
0.355,15.428175926208496
0.365,
0.375,15.43844985961914
0.385,15.436119079589844
0.395,15.445449692862374
0.405,15.450093746185303
0.41500000000000004,15.43064832687378
0.425,15.466435432434082
0.435,15.442651629447937
0.445,
0.455,15.483940124511719
0.465,15.426774740219116
0.475,15.489356994628906
0.485,15.443659782409668
0.495,15.475759983062744
0.505,15.492185433705648
0.515,15.476086139678955
0.525,15.468310356140137
0.535,15.406994819641113
0.545,15.468021869659424
0.555,15.485321362813314
0.5650000000000001,15.514651489257812
0.575,15.510924445258247
0.585,15.519290726760339
0.595,15.50400706260435
0.605,15.516941136327283
0.615,15.508716940879822
0.625,15.523318474109356
0.635,15.468113422393799
0.645,15.517893155415853
0.655,15.491250038146973
0.665,15.496481895446777
0.675,15.481220245361328
0.685,15.526583194732666
0.6950000000000001,
0.7050000000000001,15.4734037399292
0.715,15.48039698600769
0.725,15.51233720779419
0.735,15.480712254842123
0.745,15.535277366638184
0.755,15.518942832946777
0.765,15.43429183959961
0.775,15.510239919026693
0.785,15.544941902160645
0.795,15.53366470336914
0.805,15.527944564819336
0.8150000000000001,15.589449882507324
0.8250000000000001,15.551498413085938
0.835,15.548707008361816
0.845,15.545392751693726
0.855,15.56281065940857
0.865,15.542919874191284
0.875,
0.885,15.50161043802897
0.895,15.472662183973524
0.905,15.376100063323975
0.915,15.35300964779324
0.925,15.358661651611328
0.935,15.319007682800294
0.9450000000000001,15.280510902404785
0.9550000000000001,15.245511372884115
0.965,15.225709915161133
0.975,15.171801567077637
0.985,15.160387516021729
0.995,15.144986788431803
1.005,15.201827685038248
1.015,15.147931098937988
1.025,15.171653938293456
1.035,15.218149048941475
1.045,15.204062461853027
1.055,
1.065,15.458599090576172
1.075,15.243450164794922
1.085,15.257342338562012
1.095,15.277618567148844
1.105,15.28969955444336
1.115,15.238397979736328
1.125,15.32138729095459
1.135,15.297057628631592
1.145,15.33205051422119
1.155,15.317009925842285
1.165,15.306636810302734
1.175,15.30967648824056
1.185,15.337922732035318
1.195,15.359451055526733
1.205,15.356964349746704
1.215,15.336357116699219
1.225,15.333323240280151
1.2349999999999999,15.35781987508138
1.245,15.374850818089076
1.255,15.387308835983276
1.2650000000000001,15.4296875
1.275,15.386272621154784
1.2850000000000001,15.39736239115397
1.295,15.382737159729004
1.305,15.380876223246256
1.315,15.36290168762207
1.325,15.374024391174316
1.335,15.404759407043457
1.345,15.432278633117676
1.355,15.428175926208496
1.365,
1.375,15.43844985961914
1.385,15.436119079589844
1.395,15.445449692862374
1.405,15.450093746185303
1.415,15.43064832687378
1.425,15.466435432434082
1.435,15.442651629447937
1.445,
1.455,15.483940124511719
1.465,15.426774740219116
1.475,15.489356994628906
1.4849999999999999,15.443659782409668
1.495,15.475759983062744
1.505,15.492185433705648
1.5150000000000001,15.476086139678955
1.525,15.468310356140137
1.5350000000000001,15.406994819641113
1.545,15.468021869659424
1.5550000000000002,15.485321362813314
1.565,15.514651489257812
1.575,15.510924445258247
1.585,15.519290726760339
1.595,15.50400706260435
1.605,15.516941136327283
1.615,15.508716940879822
1.625,15.523318474109356
1.635,15.468113422393799
1.645,15.517893155415853
1.655,15.491250038146973
1.665,15.496481895446777
1.675,15.481220245361328
1.685,15.526583194732666
1.695,
1.705,15.4734037399292
1.7149999999999999,15.48039698600769
1.725,15.51233720779419
1.7349999999999999,15.480712254842123
1.745,15.535277366638184
1.755,15.518942832946777
1.7650000000000001,15.43429183959961
1.775,15.510239919026693
1.7850000000000001,15.544941902160645
1.795,15.53366470336914
1.8050000000000002,15.527944564819336
1.815,15.589449882507324
1.8250000000000002,15.551498413085938
1.835,15.548707008361816
1.845,15.545392751693726
1.855,15.56281065940857
1.865,15.542919874191284
1.875,
1.885,15.50161043802897
1.895,15.472662183973524
1.905,15.376100063323975
1.915,15.35300964779324
1.925,15.358661651611328
1.935,15.319007682800294
1.945,15.280510902404785
1.955,15.245511372884115
1.9649999999999999,15.225709915161133
1.975,15.171801567077637
1.9849999999999999,15.160387516021729
1.995,15.144986788431803
