wavelength,0
3652.00,1.3726
3654.00,1.3735
3656.00,1.3983
3658.00,1.3383
3660.00,1.3705
3662.00,1.4075
3664.00,1.356
3666.00,1.3905
3668.00,1.4079
3670.00,1.4057
3672.00,1.4431
3674.00,1.3491
3676.00,1.3806
3678.00,1.3524
3680.00,1.3322
3682.00,1.3513
3684.00,1.3541
3686.00,1.3326
3688.00,1.3695
3690.00,1.3481
3692.00,1.3268
3694.00,1.3392
3696.00,1.3312
3698.00,1.3382
3700.00,1.4022
3702.00,1.4047
3704.00,1.375
3706.00,1.3608
3708.00,1.3822
3710.00,1.4082
3712.00,1.3576
3714.00,1.3462
3716.00,1.326
3718.00,1.321
3720.00,1.3982
3722.00,1.3705
3724.00,1.3039
3726.00,1.3537
3728.00,1.3947
3730.00,1.3973
3732.00,1.3638
3734.00,1.398
3736.00,1.3557
3738.00,1.396
3740.00,1.3768
3742.00,1.3797
3744.00,1.3646
3746.00,1.3295
3748.00,1.3953
3750.00,1.3882
3752.00,1.3707
3754.00,1.3872
3756.00,1.3783
3758.00,1.4198
3760.00,1.3838
3762.00,1.3389
3764.00,1.3716
3766.00,1.3573
3768.00,1.3429
3770.00,1.3397
3772.00,1.3527
3774.00,1.4183
3776.00,1.4046
3778.00,1.3585
3780.00,1.3419
3782.00,1.3428
3784.00,1.3844
3786.00,1.4064
3788.00,1.3732
3790.00,1.3527
3792.00,1.3382
3794.00,1.3574
3796.00,1.3366
3798.00,1.3928
3800.00,1.3783
3802.00,1.3493
3804.00,1.391
3806.00,1.4196
3808.00,1.3726
3810.00,1.3617
3812.00,1.3839
3814.00,1.3561
3816.00,1.3729
3818.00,1.376
3820.00,1.3693
3822.00,1.3285
3824.00,1.2847
3826.00,1.2654
3828.00,1.2644
3830.00,1.2562
3832.00,1.2396
3834.00,1.2816
3836.00,1.3427
3838.00,1.3191
3840.00,1.3625
3842.00,1.3769
3844.00,1.4196
3846.00,1.4267
3848.00,1.4293
3850.00,1.4409
