wave,fluxNorm
4334.46,0.92047
4334.52,0.92288
4334.58,0.92397
4334.64,0.8602
4334.7,0.78913
4334.76,0.76373
4334.82,0.75908
4334.88,0.70675
4334.94,0.72401
4335.06,0.80144
4335.12,0.85017
4335.18,0.87455
4335.24,0.79761
4335.3,0.85891
4335.36,0.92179
4335.42,0.78765
4335.48,0.8142
4335.54,0.85858
4335.6,0.83621
4335.66,0.87019
4335.72,0.78385
4335.78,0.84548
4335.84,0.87867
4335.9,0.80507
4335.96,0.84189
4336.02,0.82681
4336.08,0.78751
4336.14,0.75294
4336.2,0.80325
4336.26,0.71054
4336.32,0.68184
4336.38,0.80355
4336.44,0.84436
4336.5,0.87649
4336.56,0.83242
4336.62,0.8242
4336.68,0.80012
4336.74,0.77996
4336.8,0.66987
4336.86,0.58207
4336.92,0.44097
4336.98,0.32438
4337.04,0.23691
4337.1,0.26542
4337.16,0.28782
4337.22,0.24939
4337.28,0.31778
4337.34,0.39989
4337.4,0.49861
4337.46,0.43269
4337.52,0.34051
4337.58,0.27373
4337.64,0.38092
4337.7,0.30362
4337.76,0.31049
4337.82,0.16037
4337.88,0.18499
4337.94,0.26248
4338.06,0.42734
4338.12,0.49108
4338.18,0.52965
4338.24,0.74868
4338.3,0.557
4338.36,0.58386
4338.42,0.66284
4338.48,0.64067
4338.54,0.6087
4338.6,0.45925
4338.66,0.40679
4338.72,0.45011
4338.78,0.46096
4338.84,0.74736
4338.9,0.84086
4338.96,0.79464
4339.02,0.64855
4339.08,0.59422
4339.14,0.58412
4339.2,0.43988
4339.26,0.58946
4339.32,0.44908
4339.38,0.3989
4339.44,0.33968
4339.5,0.32174
4339.56,0.34559
4339.62,0.36459
4339.68,0.30461
4339.74,0.32441
4339.8,0.33404
4339.86,0.33328
4339.92,0.33064
4339.98,0.25437
4340.04,0.26268
4340.1,0.21095
4340.16,0.1895
4340.22,0.12837
4340.28,0.17994
4340.34,0.12346
4340.4,0.09667
4340.46,0.106
4340.52,0.14556
4340.58,0.14559
4340.64,0.14371
4340.7,0.15826
4340.76,0.22227
4340.82,0.21709
4340.88,0.27268
4340.94,0.29432
4341.06,0.27443
4341.12,0.37683
4341.18,0.3284
4341.24,0.27288
4341.3,0.2384
4341.36,0.22844
4341.42,0.31164
4341.48,0.38703
4341.54,0.49999
4341.6,0.55875
4341.66,0.5991
4341.72,0.61272
4341.78,0.58323
4341.84,0.65716
4341.9,0.61833
4341.96,0.71896
4342.02,0.69266
4342.08,0.61038
4342.14,0.58105
4342.2,0.52853
4342.26,0.63179
4342.32,0.60326
4342.38,0.70276
4342.44,0.63803
4342.5,0.66525
4342.56,0.64499
4342.62,0.7144
4342.68,0.78352
4342.74,0.72407
4342.8,0.7402
4342.86,0.79801
4342.92,0.70405
4342.98,0.75515
4343.04,0.71018
4343.1,0.5761
4343.16,0.56324
4343.22,0.40171
4343.28,0.44645
4343.34,0.54156
4343.4,0.59458
4343.46,0.64228
4343.52,0.67468
4343.58,0.58234
4343.64,0.52787
4343.7,0.48224
4343.76,0.49775
4343.82,0.51728
4343.88,0.61698
4343.94,0.45803
4344.06,0.44951
4344.12,0.38973
4344.18,0.27977
4344.24,0.25612
4344.3,0.23744
4344.36,0.17743
4344.42,0.27202
4344.48,0.28093
4344.54,0.41118
4344.6,0.5825
4344.66,0.59201
4344.72,0.80764
4344.78,0.74855
4344.84,0.69616
4344.9,0.73516
4344.96,0.75073
4345.02,0.85782
4345.08,0.81104
4345.14,0.82278
4345.2,0.84954
4345.26,0.99226
4345.32,0.91595
4345.38,0.83449
4345.44,0.82875
4345.5,0.85112
4345.56,0.82552
4345.62,0.86277
4345.68,0.79481
4345.74,0.87468
4345.8,0.69398
4345.86,0.75231
4345.92,0.75333
4345.98,0.76148
4346.04,0.7629
4346.1,0.8015
4346.16,0.81872
4346.22,0.71826
4346.28,0.69949
4346.34,0.8342
4346.4,0.79444
4346.46,0.61731
4346.52,0.5121
4346.58,0.65189
4346.64,0.73806
4346.7,0.69563
4346.76,0.71401
4346.82,0.66188
4346.88,0.71909
4346.94,0.72942
4347.06,0.81764
4347.12,0.82285
4347.18,0.82819
4347.24,0.70398
4347.3,0.75667
4347.36,0.77524
4347.42,0.81219
4347.48,0.77316
4347.54,0.76686
4347.6,0.76366
4347.66,0.72513
4347.72,0.66465
4347.78,0.56875
4347.84,0.57254
4347.9,0.65456
4347.96,0.63974
4348.02,0.7567
4348.08,0.85168
4348.14,0.76805
4348.2,0.87646
4348.26,0.78342
4348.32,0.84383
4348.38,0.79705
4348.44,0.7925
4348.5,0.81001
4348.56,0.98464
4348.62,0.88454
4348.68,0.90922
4348.74,0.96623
4348.8,0.87336
4348.86,0.81338
4348.92,0.63641
4348.98,0.67392
4349.04,0.82252
4349.1,0.84769
4349.16,0.88943
4349.22,0.97916
4349.28,1.05574
4349.34,0.9532
4349.4,0.97065
4349.46,1.00279
4349.52,0.9851
4349.58,0.87663
4349.64,0.7725
4349.7,0.73822
4349.76,0.68211
4349.82,0.7149
4349.88,0.81229
4349.94,0.88408
4350.06,0.78824
4350.12,0.8694
4350.18,0.93123
4350.24,0.92354
4350.3,0.93538
4350.36,0.85729
4350.42,0.799
4350.48,0.7305
4350.54,0.76125
4350.6,0.67735
4350.66,0.57241
4350.72,0.57402
4350.78,0.4479
4350.84,0.32797
4350.9,0.41834
4350.96,0.33394
4351.02,0.45453
4351.08,0.38696
4351.14,0.4897
4351.2,0.49372
4351.26,0.59016
4351.32,0.69197
4351.38,0.63466
4351.44,0.60715
4351.5,0.53467
4351.56,0.41834
4351.62,0.28172
4351.68,0.30135
4351.74,0.24368
4351.8,0.37799
4351.86,0.27317
4351.92,0.28432
4351.98,0.36298
4352.04,0.49933
4352.1,0.57221
4352.16,0.7311
4352.22,0.77772
4352.28,0.76571
4352.34,0.74697
4352.4,0.70497
4352.46,0.654
4352.52,0.64275
4352.58,0.5251
4352.64,0.45199
4352.7,0.32137
4352.76,0.37634
4352.82,0.32589
4352.88,0.44509
4352.94,0.61028
4353.06,0.85182
4353.12,0.82549
4353.18,0.82344
4353.24,0.81849
4353.3,0.82404
4353.36,0.83581
4353.42,0.84126
4353.48,0.95524
4353.54,0.94828
4353.6,0.93994
4353.66,0.97369
4353.72,0.95742
4353.78,0.96897
4353.84,0.96452
4353.9,0.90609
4353.96,0.85436
4354.02,0.81124
4354.08,0.78837
4354.14,0.82806
4354.2,0.72236
4354.26,0.75604
4354.32,0.67422
4354.38,0.54687
4354.44,0.44836
4354.5,0.29752
4354.56,0.31633
4354.62,0.32537
4354.68,0.4444
4354.74,0.62655
4354.8,0.70817
4354.86,0.78191
4354.92,0.84558
4354.98,0.59131
4355.04,0.56825
4355.1,0.56367
4355.16,0.48043
4355.22,0.68801
4355.28,0.74472
4355.34,0.77907
4355.4,0.85733
4355.46,0.86844
4355.52,0.84344
4355.58,0.82127
4355.64,0.87976
4355.7,0.86887
4355.76,0.85864
4355.82,0.82318
4355.88,0.70886
4355.94,0.70949
4356.06,0.79553
4356.12,0.7439
4356.18,0.82974
4356.24,0.85508
4356.3,0.8724
4356.36,0.74644
4356.42,0.8014
4356.48,0.81671
4356.54,0.82338
4356.6,0.78949
4356.66,0.78652
4356.72,0.78372
4356.78,0.86584
4356.84,0.92704
4356.9,0.78428
4356.96,0.86161
4357.02,0.96732
4357.08,0.92915
4357.14,1.00348
4357.2,0.92938
4357.26,0.91694
4357.32,0.90078
4357.38,0.89167
4357.44,0.75357
4357.5,0.73324
4357.56,0.66538
4357.62,0.71031
4357.68,0.78557
4357.74,0.87851
4357.8,0.95445
4357.86,0.89249
4357.92,0.85129
4357.98,0.83479
4358.04,0.83671
4358.1,0.76343
4358.16,0.63555
4358.22,0.59643
4358.28,0.5537
4358.34,0.73526
4358.4,0.62526
4358.46,0.57656
4358.52,0.48973
4358.58,0.39102
4358.64,0.34509
4358.7,0.27152
4358.76,0.41451
4358.82,0.49072
4358.88,0.71576
4358.94,0.73799
4359.06,0.8432
4359.12,0.93426
4359.18,0.72061
4359.24,0.78154
4359.3,0.72305
4359.36,0.62361
4359.42,0.68963
4359.48,0.53186
4359.54,0.46231
4359.6,0.361
4359.66,0.32754
4359.72,0.35493
4359.78,0.48023
4359.84,0.68606
4359.9,0.75109
4359.96,0.85323
4360.02,0.95175
4360.08,0.9082
4360.14,0.87161
4360.2,0.8853
4360.26,0.84621
4360.32,0.82295
4360.38,0.74819
4360.44,0.78082
4360.5,0.78801
4360.56,0.84967
4360.62,0.75574
4360.68,0.83255
4360.74,0.70662
4360.8,0.68359
4360.86,0.75294
4360.92,0.83667
4360.98,0.82615
4361.04,0.88517
4361.1,0.81589
4361.16,0.88058
4361.22,0.80688
4361.28,0.75578
4361.34,0.78161
4361.4,0.88111
4361.46,0.92549
4361.52,0.99134
4361.58,0.87844
4361.64,0.95419
4361.7,0.90483
4361.76,0.90734
4361.82,0.89556
4361.88,0.75538
4361.94,0.72209
4362.06,0.56139
4362.12,0.54351
4362.18,0.59276
4362.24,0.76798
4362.3,0.93037
4362.36,0.95749
4362.42,0.86171
4362.48,0.79748
4362.54,0.79005
4362.6,0.7628
4362.66,0.74278
4362.72,0.8433
4362.78,0.80411
4362.84,0.91598
4362.9,0.86208
4362.96,0.78841
4363.02,0.76026
4363.08,0.81322
4363.14,0.73017
4363.2,0.68511
4363.26,0.79385
4363.32,0.85482
4363.38,0.81493
4363.44,0.78372
4363.5,0.87435
4363.56,0.8887
4363.62,0.95904
4363.68,0.97276
4363.74,1.02892
4363.8,0.96211
4363.86,0.98187
4363.92,0.88675
4363.98,0.90784
4364.04,0.85007
4364.1,0.71434
4364.16,0.86168
4364.22,0.83106
4364.28,0.90661
4364.34,0.90127
4364.4,0.96758
4364.46,0.93535
4364.52,0.9211
4364.58,0.71731
4364.64,0.73222
4364.7,0.71691
4364.76,0.74248
4364.82,0.86719
4364.88,0.99061
4364.94,0.96986
4365.06,0.95482
4365.12,1.00335
4365.18,0.97732
4365.24,0.95934
4365.3,0.94848
4365.36,0.95323
4365.42,0.96748
4365.48,0.97596
4365.54,0.93255
4365.6,0.86274
4365.66,0.93657
4365.72,0.86366
4365.78,0.8693
4365.84,0.78669
4365.9,0.72305
4365.96,0.76069
4366.02,0.79203
4366.08,0.8371
4366.14,0.90582
4366.2,0.87306
4366.26,0.8338
4366.32,0.73809
4366.38,0.76402
4366.44,0.7733
4366.5,0.81744
4366.56,0.84258
4366.62,0.85643
4366.68,0.89969
4366.74,0.89939
4366.8,0.88867
4366.86,0.90602
4366.92,0.89645
4366.98,0.80672
4367.04,0.84512
4367.1,0.95142
4367.16,0.79834
4367.22,0.84654
4367.28,0.83786
4367.34,0.75888
4367.4,0.66271
4367.46,0.47884
4367.52,0.33678
4367.58,0.25991
4367.64,0.26255
4367.7,0.33411
4367.76,0.40521
4367.82,0.37442
4367.88,0.43991
4367.94,0.44522
4368.06,0.49402
4368.12,0.58372
4368.18,0.62942
4368.24,0.65588
4368.3,0.65426
4368.36,0.75947
4368.42,0.83786
4368.48,0.90952
4368.54,0.82687
4368.6,0.82443
4368.66,0.79801
4368.72,0.82173
4368.78,0.90638
4368.84,0.9501
4368.9,0.96633
4368.96,1.00384
4369.02,0.95145
4369.08,0.88405
4369.14,0.87771
4369.2,0.77584
4369.26,0.57746
4369.32,0.53147
4369.38,0.34701
4369.44,0.43206
4369.5,0.49267
4369.56,0.49983
4369.62,0.51012
4369.68,0.39686
4369.74,0.38079
4369.8,0.38369
4369.86,0.49418
4369.92,0.64981
4369.98,0.70203
4370.04,0.79345
4370.1,0.87999
4370.16,0.86481
4370.22,0.97428
4370.28,0.99375
4370.34,0.88227
4370.4,0.98619
4370.46,0.90876
4370.52,0.96052
4370.58,1.03254
4370.64,0.90094
4370.7,0.8564
4370.76,0.78986
4370.82,0.76917
4370.88,0.54822
4370.94,0.52315
4371.06,0.48112
4371.12,0.50131
4371.18,0.4511
4371.24,0.41979
4371.3,0.33424
4371.36,0.44938
4371.42,0.51193
4371.48,0.64746
4371.54,0.78751
4371.6,0.88854
4371.66,0.95577
4371.72,0.97775
4371.78,0.92545
4371.84,0.93641
4371.9,0.92598
4371.96,0.97309
4372.02,0.95003
4372.08,0.85987
4372.14,0.85884
4372.2,0.77824
4372.26,0.74657
4372.32,0.70906
4372.38,0.72285
4372.44,0.70134
4372.5,0.85558
4372.56,0.79263
4372.62,0.88649
4372.68,0.87016
4372.74,0.85742
4372.8,0.79421
4372.86,0.79091
4372.92,0.84779
4372.98,0.83545
4373.04,0.84162
4373.1,0.89121
4373.16,0.81714
4373.22,0.77036
4373.28,0.70022
4373.34,0.79319
4373.4,0.71586
4373.46,0.67346
4373.52,0.54014
4373.58,0.55707
4373.64,0.6537
4373.7,0.62919
4373.76,0.71322
4373.82,0.67013
4373.88,0.75759
4373.94,0.8304
4374.06,0.80322
4374.12,0.66432
4374.18,0.53598
4374.24,0.39742
4374.3,0.33094
4374.36,0.22197
4374.42,0.18522
4374.48,0.18647
4374.54,0.24358
4374.6,0.31699
4374.66,0.39059
4374.72,0.24137
4374.78,0.2801
4374.84,0.21098
4374.9,0.18347
4374.96,0.248
4375.02,0.37759
4375.08,0.47228
4375.14,0.56782
4375.2,0.73641
4375.26,0.8048
4375.32,0.68814
4375.38,0.74611
4375.44,0.81143
4375.5,0.80906
4375.56,0.76924
4375.62,0.71259
4375.68,0.66215
4375.74,0.59174
4375.8,0.50814
4375.86,0.33582
4375.92,0.24084
4375.98,0.24209
4376.04,0.50349
4376.1,0.73753
4376.16,0.83258
4376.22,0.9207
4376.28,0.98982
4376.34,0.9271
4376.4,0.90718
4376.46,0.92199
4376.52,0.86518
4376.58,0.84119
4376.64,0.89362
4376.7,0.80262
4376.76,0.67303
4376.82,0.75314
4376.88,0.81826
4376.94,0.89042
4377.06,0.94607
4377.12,0.91556
4377.18,0.78398
4377.24,0.77458
4377.3,0.74496
4377.36,0.74288
4377.42,0.8601
4377.48,0.80233
4377.54,0.82796
4377.6,0.95343
4377.66,0.91325
4377.72,0.75578
4377.78,0.79263
4377.84,0.8211
4377.9,0.85221
4377.96,0.99381
4378.02,1.02641
4378.08,0.9336
4378.14,0.89405
4378.2,0.80599
4378.26,0.78088
4378.32,0.77428
4378.38,0.90473
4378.44,0.87844
4378.5,0.97778
4378.56,0.97478
4378.62,1.01829
4378.68,0.96636
4378.74,0.9886
4378.8,1.01981
4378.86,0.94571
4378.92,0.86976
4378.98,0.89787
4379.04,0.81133
4379.1,0.76204
4379.16,0.58039
4379.22,0.53895
4379.28,0.54163
4379.34,0.61526
4379.4,0.79942
4379.46,0.94792
4379.52,0.86518
4379.58,0.76643
4379.64,0.69309
4379.7,0.6148
4379.76,0.47996
4379.82,0.48613
4379.88,0.74888
4379.94,0.81219
4380.06,0.76102
4380.12,0.7953
4380.18,0.75353
4380.24,0.81658
4380.3,0.80061
4380.36,0.85822
4380.42,0.83657
4380.48,0.73743
4380.54,0.76231
4380.6,0.71506
4380.66,0.75687
4380.72,0.65357
4380.78,0.63625
4380.84,0.78431
4380.9,0.78032
4380.96,0.86376
4381.02,0.81378
4381.08,0.78082
4381.14,0.92433
4381.2,0.81965
4381.26,0.93977
4381.32,0.873
4381.38,0.96145
4381.44,0.9663
4381.5,0.97517
4381.56,0.95528
4381.62,0.91176
4381.68,0.91113
4381.74,0.84885
4381.8,0.87148
4381.86,0.8432
4381.92,0.86442
4381.98,0.85026
4382.04,0.83849
4382.1,0.73417
4382.16,0.6246
4382.22,0.70659
4382.28,0.78191
4382.34,0.85383
4382.4,0.97461
4382.46,0.85683
4382.52,0.83466
4382.58,0.82463
4382.64,0.71737
4382.7,0.6277
4382.76,0.52467
4382.82,0.57656
4382.88,0.58122
4382.94,0.69253
4383.06,0.65202
4383.12,0.6985
4383.18,0.59722
4383.24,0.58333
4383.3,0.4799
4383.36,0.30993
4383.42,0.26331
4383.48,0.14869
4383.54,0.14444
4383.6,0.13609
4383.66,0.28934
4383.72,0.40897
4383.78,0.54321
4383.84,0.63763
4383.9,0.74149
4383.96,0.75314
4384.02,0.74377
4384.08,0.69253
4384.14,0.62628
4384.2,0.5022
4384.26,0.49864
4384.32,0.34084
4384.38,0.2996
4384.44,0.35321
4384.5,0.48145
4384.56,0.53787
4384.62,0.42652
4384.68,0.35644
4384.74,0.23734
4384.8,0.23197
4384.86,0.26634
4384.92,0.27324
4384.98,0.34368
4385.04,0.41797
4385.1,0.48999
4385.16,0.43503
4385.22,0.36509
4385.28,0.35763
4385.34,0.22359
4385.4,0.26308
4385.46,0.29914
4385.52,0.40534
4385.58,0.50903
4385.64,0.53595
4385.7,0.60236
4385.76,0.69725
4385.82,0.77448
4385.88,0.85139
4385.94,0.89207
4386.06,0.86247
4386.12,0.89791
4386.18,0.8763
4386.24,0.87735
4386.3,0.86346
4386.36,0.93684
4386.42,0.72001
4386.48,0.72529
4386.54,0.73704
4386.6,0.53661
4386.66,0.41659
4386.72,0.4183
4386.78,0.33691
4386.84,0.35981
4386.9,0.33229
4386.96,0.45225
4387.02,0.55304
4387.08,0.69702
4387.14,0.73789
4387.2,0.87821
4387.26,0.93743
4387.32,0.92295
4387.38,0.8178
4387.44,0.85257
4387.5,0.69418
4387.56,0.75182
4387.62,0.63486
4387.68,0.75528
4387.74,0.75432
4387.8,0.66601
4387.86,0.60365
4387.92,0.47574
4387.98,0.43774
4388.04,0.53371
4388.1,0.63268
4388.16,0.6958
4388.22,0.69497
4388.28,0.67735
4388.34,0.57782
4388.4,0.45126
4388.46,0.49498
4388.52,0.60639
4388.58,0.65466
4388.64,0.75908
4388.7,0.81213
4388.76,0.7437
4388.82,0.78864
4388.88,0.84683
4388.94,0.76703
4389.06,0.83862
4389.12,0.77333
4389.18,0.74825
4389.24,0.60728
4389.3,0.52539
4389.36,0.70748
4389.42,0.6824
4389.48,0.80028
4389.54,0.88537
4389.6,0.87758
4389.66,0.82506
4389.72,0.76577
4389.78,0.80734
4389.84,0.68686
4389.9,0.70665
4389.96,0.58118
4390.02,0.48053
4390.08,0.61708
4390.14,0.70048
4390.2,0.74918
4390.26,0.6991
4390.32,0.66109
4390.38,0.68095
4390.44,0.63503
4390.5,0.60388
4390.56,0.60319
4390.62,0.64819
4390.68,0.58666
4390.74,0.55957
4390.8,0.54064
4390.86,0.47409
4390.92,0.32576
4390.98,0.24932
4391.04,0.21418
4391.1,0.39745
4391.16,0.48382
4391.22,0.67445
4391.28,0.73159
4391.34,0.83347
4391.4,0.79919
4391.46,0.79467
4391.52,0.71137
4391.58,0.57815
4391.64,0.50715
4391.7,0.48927
4391.76,0.46162
4391.82,0.51774
4391.88,0.59718
4391.94,0.72179
4392.06,0.77461
4392.12,0.80173
4392.18,0.78676
4392.24,0.78204
4392.3,0.91094
4392.36,0.91034
4392.42,0.88312
4392.48,0.84512
4392.54,0.75089
4392.6,0.79078
4392.66,0.80721
4392.72,0.81242
4392.78,0.80691
4392.84,0.85469
4392.9,0.89982
4392.96,0.92509
4393.02,0.85416
4393.08,0.73819
4393.14,0.72457
4393.2,0.73403
4393.26,0.67676
4393.32,0.62872
4393.38,0.61411
4393.44,0.68428
4393.5,0.65812
4393.56,0.70101
4393.62,0.74769
4393.68,0.78128
4393.74,0.81219
4393.8,0.66663
4393.86,0.6216
4393.92,0.47874
4393.98,0.42553
4394.04,0.33599
4394.1,0.26806
4394.16,0.49451
4394.22,0.59986
4394.28,0.70441
4394.34,0.87742
4394.4,0.90064
4394.46,0.89711
4394.52,0.91579
4394.58,0.89282
4394.64,0.78161
4394.7,0.58989
4394.76,0.46697
4394.82,0.31484
4394.88,0.31174
4394.94,0.23579
4395.06,0.13167
4395.12,0.18799
4395.18,0.26951
4395.24,0.34968
4395.3,0.46103
4395.36,0.56525
4395.42,0.64832
4395.48,0.7411
4395.54,0.61658
4395.6,0.60946
4395.66,0.58062
4395.72,0.44823
4395.78,0.39221
4395.84,0.3095
4395.9,0.37987
4395.96,0.46528
4396.02,0.65261
4396.08,0.75149
4396.14,0.86346
4396.2,0.90526
4396.26,0.84951
4396.32,0.84119
4396.38,0.86211
4396.44,0.89744
4396.5,0.82008
4396.56,0.90015
4396.62,0.8441
4396.68,0.8786
4396.74,0.91602
4396.8,0.93248
4396.86,0.88095
4396.92,0.95571
4396.98,0.85564
4397.04,0.88553
4397.1,0.84726
4397.16,0.88669
4397.22,0.88398
4397.28,0.84908
4397.34,0.82334
4397.4,0.85742
4397.46,0.80431
4397.52,0.87326
4397.58,0.81938
4397.64,0.86445
4397.7,0.91387
4397.76,0.7793
4397.82,0.71233
4397.88,0.59016
4397.94,0.49814
4398.06,0.39
4398.12,0.39405
4398.18,0.39584
4398.24,0.48736
4398.3,0.43833
4398.36,0.42055
4398.42,0.58887
4398.48,0.74591
4398.54,0.77009
4398.6,0.84614
4398.66,0.79659
4398.72,0.79391
4398.78,0.71338
4398.84,0.76858
4398.9,0.69906
4398.96,0.79933
4399.02,0.8407
4399.08,0.8209
4399.14,0.75383
4399.2,0.68125
4399.26,0.69893
4399.32,0.76214
4399.38,0.87082
4399.44,0.80833
4399.5,0.83925
