hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457501.00717,bc,V,12.758,0.02,30.26,0.557
2457240.80419,bc,V,12.34,0.02,44.469,0.818
2458322.88999,bc,V,12.39,0.02,42.465,0.781
2457992.83853,bc,V,13.522,0.02187,14.963,0.301
2457802.1434,bc,V,12.8,0.02,29.109,0.536
2458318.80885,bc,V,12.426,0.02,41.074,0.756
2457231.93067,bc,V,12.315,0.02,45.489,0.837
2458293.99252,bc,V,12.537,0.02,37.093,0.683
2457906.03139,bc,V,12.34,0.02,44.465,0.818
2457200.8437,bc,V,13.108,0.02285,21.918,0.461
2457061.16446,bc,V,12.76,0.02,30.186,0.555
2457687.70387,bc,V,12.542,0.02,36.905,0.679
2457538.06424,bc,V,13.364,0.02192,17.307,0.349
2457137.98929,bc,V,13.176,0.02249,20.578,0.426
2457113.06084,bc,V,13.461,0.02185,15.828,0.318
2458308.99193,bc,V,13.47,0.02185,15.693,0.315
2457243.88282,bc,V,13.395,0.02188,16.821,0.339
2458195.08481,bc,V,13.5,0.02186,15.27,0.307
2457974.74873,bc,V,12.814,0.02,28.724,0.529
2457989.89241,bc,V,12.248,0.02,48.375,0.89
2457544.95346,bc,V,12.664,0.02,32.999,0.607
2458208.05953,bc,V,13.309,0.02202,18.214,0.369
2457820.13357,bc,V,13.386,0.02189,16.961,0.342
2457185.10628,bc,V,13.284,0.02209,18.628,0.379
2457237.87311,bc,V,12.723,0.02,31.236,0.575
2458219.02547,bc,V,12.841,0.02,28.029,0.516
2458210.05238,bc,V,12.629,0.02,34.068,0.627
2457657.78036,bc,V,12.433,0.02,40.792,0.751
2457212.90457,bc,V,12.859,0.02,27.557,0.507
2457600.93761,bc,V,13.19,0.02242,20.313,0.419
2457481.14533,bc,V,12.469,0.02,39.473,0.726
2457173.88792,bc,V,12.457,0.02,39.897,0.734
2457627.88655,bc,V,12.272,0.02,47.327,0.871
2457941.99289,bc,V,13.189,0.02243,20.342,0.42
2457851.02912,bc,V,12.289,0.02,46.599,0.857
2457846.04199,bc,V,13.139,0.02267,21.303,0.444
2457959.97381,bc,V,12.447,0.02,40.299,0.742
2457857.07575,bc,V,12.909,0.02,26.326,0.484
2457085.11195,bc,V,12.348,0.02,44.132,0.812
2457084.12019,bc,V,13.166,0.02254,20.771,0.431
2458328.9563,bc,V,13.006,0.02356,24.069,0.522
2457449.13173,bc,V,13.049,0.02323,23.138,0.495
2457106.07431,bc,V,12.323,0.02,45.143,0.831
2457968.79519,bc,V,12.278,0.02,47.064,0.866
2458361.88477,bc,V,12.736,0.02,30.873,0.568
2458272.98715,bc,V,12.554,0.02,36.487,0.671
2457946.00396,bc,V,13.102,0.02288,22.026,0.464
2457496.00539,bc,V,13.375,0.0219,17.129,0.345
2457936.86795,bc,V,12.82,0.02,28.567,0.526
2457083.1172,bc,V,13.124,0.02276,21.595,0.452
2457491.05309,bc,V,13.001,0.0236,24.193,0.525
2458371.75624,bc,V,13.337,0.02196,17.748,0.359
2457074.14998,bc,V,12.925,0.02,25.93,0.477
2457931.92089,bc,V,12.554,0.02,36.511,0.672
2457126.11918,bc,V,13.34,0.02196,17.693,0.357
2457676.73675,bc,V,13.19,0.02242,20.321,0.419
2457662.75716,bc,V,12.643,0.02,33.635,0.619
2458385.80301,bc,V,12.318,0.02,45.344,0.834
2457201.80644,bc,V,13.198,0.02239,20.169,0.415
2457468.0833,bc,V,12.35,0.02,44.044,0.81
2458306.02996,bc,V,12.35,0.02,44.064,0.811
2457840.09713,bc,V,12.836,0.02,28.161,0.518
2457444.13392,bc,V,12.758,0.02,30.246,0.557
2457212.03587,bc,V,12.522,0.02,37.582,0.692
2458021.80147,bc,V,13.088,0.02297,22.316,0.472
2457285.75055,bc,V,13.501,0.02186,15.26,0.307
2458284.06151,bc,V,12.837,0.02,28.118,0.517
2457580.93916,bc,V,12.865,0.02,27.417,0.504
2458376.82113,bc,V,12.631,0.02,33.997,0.626
2458252.0142,bc,V,12.601,0.02,34.963,0.643
2458037.74748,bc,V,12.746,0.02,30.574,0.563
2457573.98513,bc,V,12.512,0.02,37.928,0.698
2458036.74817,bc,V,12.422,0.02,41.235,0.759
2457659.77309,bc,V,13.108,0.02285,21.921,0.461
2457441.14061,bc,V,13.276,0.02211,18.767,0.382
2457153.96941,bc,V,12.852,0.02,27.742,0.51
