wavelength,flux,error
3609.939208984375,69.51935577392578,8.088873863220215
3610.771728515625,69.52613067626953,8.458269119262695
3611.602294921875,70.67107391357422,8.287403106689453
3612.43505859375,74.297119140625,7.881134033203125
3613.26611328125,66.27693939208984,7.426187515258789
3614.099365234375,67.6488037109375,7.606611728668213
3614.9306640625,75.58663177490234,7.805259704589844
3615.762451171875,81.21772003173828,7.7709197998046875
3616.59619140625,79.98600006103516,7.7406907081604
3617.42822265625,74.9119873046875,7.514033794403076
3618.262451171875,71.91071319580078,7.499006271362305
3619.0947265625,70.0279541015625,7.456060409545898
3619.92919921875,82.17549896240234,7.665079116821289
3620.761962890625,88.13961791992188,7.744379043579102
3621.596923828125,84.1546630859375,7.637849807739258
3622.43017578125,78.59976959228516,7.496278762817383
3623.263427734375,77.22571563720703,7.365995407104492
3624.098876953125,76.61964416503906,7.24755859375
3624.9326171875,82.0096664428711,7.357642650604248
3625.7685546875,85.91728973388672,7.300531387329102
3626.602783203125,86.14927673339844,7.244688987731934
3627.43896484375,88.78335571289062,7.227206230163574
3628.2734375,93.18655395507812,7.2363057136535645
3629.108154296875,74.7135238647461,6.878899097442627
3629.945068359375,71.037841796875,6.840882778167725
3630.780029296875,67.90092468261719,6.678893566131592
3631.617431640625,67.42971801757812,6.7519731521606445
3632.452880859375,71.79530334472656,6.596709251403809
3633.290283203125,71.48289489746094,6.623415946960449
3634.126220703125,71.44125366210938,6.66391658782959
3634.962158203125,73.6247329711914,6.667742729187012
3635.800537109375,74.34527587890625,6.536623001098633
3636.636962890625,72.10094451904297,6.492908000946045
3637.4755859375,71.06851959228516,6.383545398712158
3638.312255859375,75.9456558227539,6.462096214294434
3639.1513671875,79.15338897705078,6.465555667877197
3639.988525390625,78.38739776611328,6.5069804191589355
3640.825927734375,71.8831787109375,6.3373589515686035
3641.665283203125,65.7320556640625,6.259439468383789
3642.503173828125,67.3209457397461,6.278181552886963
3643.343017578125,74.44361877441406,6.269996166229248
3644.18115234375,70.55583190917969,6.218698978424072
