mjd,phase,mag,magerr
53470.165906007,0.48248173978936393,19.621666,0.3304654584054964
53470.1732134373,0.49580766711733304,19.479647,0.30663303309171536
53470.1805198147,0.5091316743491916,19.488334,0.3074556177403819
53470.1878057058,0.522418322521844,19.211618,0.2626312682820554
53481.2321246993,0.6629856966465013,18.505857,0.14919120790710985
53481.2402841318,0.6778653465589741,19.311905,0.2631648531019866
53481.2484162501,0.6926951859059045,18.967847,0.21210471148951385
53481.2565386458,0.7075072950101458,18.985358,0.2158855864625922
53490.1635554978,0.9504619865329005,18.970563,0.2073132439990979
53490.1701119561,0.9624184313142905,18.90362,0.19800767753272813
53490.1766879745,0.97441054614319,18.884028,0.1954972670542491
53490.1832029978,0.9862914295081282,19.14965,0.2345947738954311
53726.3491442129,0.66165070857096,18.72707,0.17220780801656935
53726.3560637729,0.6742693104606587,18.871187,0.19386240831464885
53726.3629699075,0.6868634296115488,18.745177,0.17671800401613444
53726.3699036921,0.6995079716434702,18.531397,0.15018590455802622
53732.2720325347,0.4627088240667945,19.442307,0.2965325554254696
53732.2784819328,0.47447003243723884,19.547782,0.3016512551302384
53732.2849550578,0.48627450948697515,19.210596,0.28333995158327535
53700.4098047107,0.3583253345132107,18.713093,0.17506019066203796
53700.420514734,0.37785627580888104,18.559454,0.15548512693830926
53700.4312569327,0.3974458925804356,19.021895,0.2178523822866641
53700.4419905786,0.41701991234731395,18.990823,0.21296664987034042
53636.4889432755,0.7913901431165868,19.361369,0.290541009148094
54081.4512200696,0.2305309352086624,18.834383,0.18418744768752973
54081.4577633333,0.24246331813628785,18.499206,0.1434427780793326
54081.4643291668,0.25443685965728946,18.597381,0.15438395444368955
54081.470972558,0.2665518364228774,18.806893,0.1806924545561628
54092.4307602895,0.252966874075355,18.727139,0.1681230196870749
54092.4355903934,0.26177511594141833,18.717413,0.16381886983565402
54092.4404311343,0.27060275559779257,18.529869,0.1450177811332784
54092.4453189932,0.27951632026815787,18.598009,0.15278754092995392
53768.3224961804,0.2048150012124097,18.693254,0.17138309240301197
53768.3299187729,0.2183509398601018,18.733502,0.17653320722695306
53768.3373581483,0.2319174840231426,18.358329,0.13226691776349422
53768.3447761112,0.24544498007162474,18.76799,0.1812971966555136
53794.2431134489,0.47399826027685776,19.185826,0.25332943818307235
53794.249580787,0.48579218426311854,18.921548,0.20589408856319602
53794.2560590045,0.4976059480686672,18.982819,0.21799833366875906
53794.2625185764,0.5093857095052954,18.992533,0.21505205012407944
53740.3280829168,0.15382971486542374,18.993079,0.21059656518904818
53740.3351091896,0.16664291960478295,18.472584,0.14332542683865415
53740.3421231946,0.1794337526516756,18.401216,0.13543352104496817
53740.349158044,0.192262597833178,18.582874,0.15584111003451642
53746.3398948265,0.11705007088312414,19.145754,0.24765515573764466
53746.3576825233,0.14948795194504783,19.402703,0.2891081746860644
53754.2654812154,0.5702550841670018,19.096541,0.2264984139047968
53754.2722117477,0.5825289726053597,19.077905,0.2235779713198405
53754.2789375461,0.5947942282509757,19.245428,0.24829189700785964
53754.2856709836,0.6070734146342147,19.022594,0.2220088372621385
53761.267905266,0.3399689484940609,18.966678,0.28057130346065384
53761.2711424651,0.3458723479270702,18.71026,0.188379269686212
