wavelength,flux,error
3565.331787109375,2.7469322681427,2.9062068462371826
3566.15380859375,3.5388505458831787,inf
3566.974365234375,4.331203937530518,2.463026523590088
3567.796875,9.898590087890625,2.513662338256836
3568.61767578125,4.265081882476807,2.3965985774993896
3569.4384765625,2.0249080657958984,2.2467153072357178
3570.26171875,6.627675533294678,2.475236654281616
3571.0830078125,6.567455291748047,2.3460729122161865
3571.906494140625,1.3506227731704712,2.200042963027954
3572.728271484375,4.803933143615723,2.237262725830078
3573.552001953125,4.593842506408691,2.3971216678619385
3574.3740234375,9.140392303466797,2.482611894607544
3575.1962890625,5.364991664886475,2.3134522438049316
3576.020751953125,3.6845526695251465,2.3195061683654785
3576.843505859375,7.904160022735596,2.2824201583862305
3577.668212890625,2.9730336666107178,2.260302782058716
3578.491455078125,7.433225631713867,2.352551221847534
3579.316650390625,8.895332336425781,2.5143773555755615
3580.139892578125,6.517067909240723,2.3803555965423584
3580.963623046875,5.674824237823486,2.3348426818847656
3581.789306640625,6.8044328689575195,2.2607853412628174
3582.61328125,5.774202823638916,2.297041177749634
3583.439453125,8.393144607543945,2.2684223651885986
3584.263916015625,-0.21252913773059845,1.940854549407959
3585.09033203125,5.245149612426758,2.273984909057617
3585.9150390625,9.250457763671875,2.1707568168640137
3586.739990234375,0.60785973072052,1.9252783060073853
3587.567138671875,2.76676607131958,1.9382798671722412
3588.392333984375,8.637537002563477,2.1687920093536377
3589.219970703125,4.192012310028076,2.028339385986328
3590.045654296875,5.979095935821533,2.170902729034424
3590.87353515625,6.961014270782471,2.0849225521087646
3591.699462890625,3.312917709350586,2.1736631393432617
3592.52587890625,8.423157691955566,2.2742512226104736
3593.354248046875,5.711155891418457,2.2195937633514404
3594.180908203125,7.68782901763916,2.181680917739868
3595.009765625,5.722225666046143,1.9896409511566162
3595.836669921875,5.2164692878723145,2.119407892227173
3596.666015625,9.552261352539062,2.265587329864502
3597.493408203125,8.61888313293457,2.242405891418457
3598.32080078125,6.069912910461426,2.099468946456909
3599.150634765625,4.0729079246521,1.9892208576202393
3599.978759765625,6.085965156555176,2.1559534072875977
3600.808837890625,8.201781272888184,2.216548204421997
3601.63720703125,7.146812915802002,2.131929397583008
3602.4677734375,5.482530117034912,2.0132672786712646
3603.29638671875,3.774458885192871,1.9376782178878784
3604.125244140625,5.6530842781066895,1.9580491781234741
3604.95654296875,7.293519973754883,2.0864179134368896
3605.785888671875,8.127997398376465,2.123387575149536
3606.6171875,7.359206199645996,1.972901701927185
3607.447021484375,3.6510989665985107,1.8455325365066528
3608.27880859375,5.338008880615234,1.8202192783355713
3609.10888671875,5.24659538269043,1.7568451166152954
3609.939208984375,6.895257472991943,1.9136600494384766
3610.771728515625,5.789895534515381,1.7568023204803467
3611.602294921875,2.603081464767456,1.7371593713760376
3612.43505859375,6.192904472351074,1.8055546283721924
3613.26611328125,4.364902019500732,1.7784767150878906
3614.099365234375,4.92787504196167,1.733797311782837
3614.9306640625,6.769333839416504,1.8661515712738037
3615.762451171875,6.095437526702881,1.8423265218734741
3616.59619140625,3.8774380683898926,1.851285457611084
3617.42822265625,5.289775848388672,1.955688238143921
3618.262451171875,7.692378997802734,2.049562931060791
3619.0947265625,8.905104637145996,2.058481216430664
3619.92919921875,9.408819198608398,2.160099744796753
3620.761962890625,9.41168212890625,2.167919158935547
3621.596923828125,8.658903121948242,2.08270525932312
3622.43017578125,7.218801021575928,1.9712642431259155
3623.263427734375,6.438457489013672,1.9496551752090454
3624.098876953125,10.20252513885498,2.103839874267578
3624.9326171875,8.774144172668457,1.9565517902374268
3625.7685546875,5.6263957023620605,1.8225855827331543
3626.602783203125,6.803386211395264,1.8460466861724854
3627.43896484375,7.946842193603516,1.8347059488296509
3628.2734375,3.0106453895568848,1.6671370267868042
3629.108154296875,3.7803003787994385,1.6469694375991821
3629.945068359375,5.504025459289551,1.7312654256820679
3630.780029296875,4.464123725891113,1.6865897178649902
3631.617431640625,3.2638087272644043,1.6495527029037476
3632.452880859375,4.979790210723877,1.5794479846954346
3633.290283203125,2.0860259532928467,1.4931182861328125
3634.126220703125,5.266488075256348,1.6126617193222046
3634.962158203125,2.12188982963562,1.3811227083206177
3635.800537109375,3.407195806503296,1.6018459796905518
3636.636962890625,10.522544860839844,1.7334500551223755
3637.4755859375,2.917304515838623,1.5990313291549683
3638.312255859375,2.1547234058380127,1.4959332942962646
3639.1513671875,5.0832366943359375,1.6355006694793701
3639.988525390625,6.4571003913879395,1.7368836402893066
3640.825927734375,8.055853843688965,1.8430296182632446
3641.665283203125,8.743358612060547,1.7622344493865967
3642.503173828125,4.270114898681641,1.6977840662002563
3643.343017578125,7.041340351104736,1.7098504304885864
3644.18115234375,2.2662465572357178,1.5092672109603882
3645.021484375,6.346916675567627,1.702490210533142
3645.860107421875,8.340432167053223,1.6355301141738892
3646.698974609375,3.3332152366638184,1.6736540794372559
3647.539794921875,9.330890655517578,1.7230740785598755
3648.37890625,5.420708656311035,1.6110228300094604
3649.22021484375,2.914383888244629,1.4795690774917603
3650.0595703125,3.7995193004608154,1.6265978813171387
3650.9013671875,4.88777494430542,1.7269614934921265
3651.7412109375,5.181004047393799,1.7334012985229492
3652.581298828125,6.19294548034668,1.6745619773864746
3653.423583984375,4.542139053344727,1.6471315622329712
3654.26416015625,9.642577171325684,1.807662844657898
3655.106689453125,7.67058801651001,1.6706783771514893
3655.947509765625,4.673203468322754,1.6500425338745117
3656.790771484375,6.820916175842285,1.6122252941131592
3657.6318359375,5.972375869750977,1.6507469415664673
3658.473388671875,10.138076782226562,1.7231864929199219
3659.31689453125,5.220782279968262,1.6193026304244995
3660.15869140625,3.552983045578003,1.4695087671279907
3661.0029296875,5.210284233093262,1.525614857673645
3661.844970703125,5.300467491149902,1.5740580558776855
3662.689453125,5.654040813446045,1.5794810056686401
3663.531982421875,4.277529716491699,1.5590540170669556
3664.374755859375,6.278825759887695,1.603345513343811
3665.2197265625,7.655267238616943,1.6369233131408691
3666.06298828125,8.009664535522461,1.616822600364685
3666.908447265625,8.566229820251465,1.603770136833191
3667.751953125,7.865784645080566,1.487949013710022
3668.59765625,5.18488073348999,1.4305410385131836
3669.441650390625,8.742659568786621,1.5119872093200684
3670.285888671875,4.587522029876709,1.3383375406265259
3671.132080078125,5.026973247528076,1.5025840997695923
3671.976806640625,12.503937721252441,1.5679643154144287
3672.823486328125,5.877635955810547,1.5550193786621094
3673.66845703125,10.1178617477417,1.5641498565673828
3674.515625,9.633515357971191,1.5879958868026733
3675.36083984375,5.635616779327393,1.4088019132614136
3676.206298828125,5.095791339874268,1.3592325448989868
3677.05419921875,7.5668511390686035,1.4051690101623535
3677.89990234375,6.049841403961182,1.4019699096679688
3678.748046875,6.808210849761963,1.4117480516433716
3679.594482421875,9.842839241027832,1.4862788915634155
3680.44287109375,10.088134765625,1.5508077144622803
3681.28955078125,6.357888221740723,1.3179298639297485
3682.136474609375,4.539422512054443,1.3236277103424072
3682.985595703125,9.29280948638916,1.3608278036117554
3683.832763671875,4.852737903594971,1.3337421417236328
