wavelength,flux,error
3609.10888671875,0.8461868762969971,3.4570353031158447
3609.939208984375,9.586894989013672,3.2975845336914062
3610.771728515625,7.0378546714782715,3.2636733055114746
3611.602294921875,4.113991737365723,3.1509010791778564
3612.43505859375,6.922032833099365,2.9129133224487305
3613.26611328125,-2.5505599975585938,2.706543207168579
3614.099365234375,-0.11144070327281952,2.7099738121032715
3614.9306640625,6.315649509429932,3.079338312149048
3615.762451171875,10.431828498840332,3.396634340286255
3616.59619140625,4.362105369567871,3.132545232772827
3617.42822265625,-2.6986024379730225,2.857093334197998
3618.262451171875,3.104647159576416,2.911794424057007
3619.0947265625,0.8816590905189514,2.9846818447113037
3619.92919921875,5.338493824005127,3.0640854835510254
3620.761962890625,5.348499774932861,3.153233051300049
3621.596923828125,5.957923889160156,3.032723903656006
3622.43017578125,7.529137134552002,2.994751453399658
3623.263427734375,3.4866507053375244,2.899034023284912
3624.098876953125,7.008007049560547,2.9279356002807617
3624.9326171875,6.895772457122803,2.992403030395508
3625.7685546875,5.810945510864258,2.738924264907837
3626.602783203125,7.394465446472168,3.0882632732391357
3627.43896484375,8.552276611328125,3.008922576904297
3628.2734375,5.309909343719482,2.9720993041992188
3629.108154296875,6.046055793762207,2.9423470497131348
3629.945068359375,4.569941997528076,2.9731807708740234
3630.780029296875,7.659067630767822,3.0582594871520996
3631.617431640625,5.718454837799072,2.9580912590026855
3632.452880859375,-0.4489441215991974,2.6715633869171143
3633.290283203125,2.372081756591797,2.7080271244049072
3634.126220703125,4.513683319091797,2.827786445617676
3634.962158203125,6.939535140991211,2.9514269828796387
3635.800537109375,11.225893020629883,3.153684616088867
3636.636962890625,7.614282131195068,2.9239702224731445
3637.4755859375,-0.8884974122047424,2.503492593765259
3638.312255859375,0.9300574660301208,2.5427610874176025
3639.1513671875,5.4508161544799805,2.6183931827545166
3639.988525390625,2.394265651702881,2.636908769607544
3640.825927734375,9.634178161621094,2.8089563846588135
3641.665283203125,9.577375411987305,2.8622424602508545
3642.503173828125,-0.4100591838359833,2.329955816268921
3643.343017578125,2.2809576988220215,2.3762364387512207
3644.18115234375,5.053364276885986,2.4642186164855957
3645.021484375,1.5497066974639893,2.395216703414917
3645.860107421875,2.9455432891845703,2.374955415725708
3646.698974609375,6.750435829162598,2.5896849632263184
3647.539794921875,5.288410186767578,2.367964029312134
3648.37890625,-0.04999866336584091,2.2905213832855225
3649.22021484375,4.431094646453857,2.469334840774536
3650.0595703125,5.623403549194336,2.7546892166137695
3650.9013671875,6.119947910308838,2.774524450302124
3651.7412109375,4.052619934082031,2.6222493648529053
3652.581298828125,2.578749418258667,2.5189571380615234
3653.423583984375,6.422382831573486,2.4818670749664307
3654.26416015625,1.9227955341339111,2.4233922958374023
3655.106689453125,8.293449401855469,2.491525650024414
3655.947509765625,6.757199287414551,2.5751914978027344
3656.790771484375,2.262962818145752,2.3214023113250732
3657.6318359375,4.622588157653809,2.515469551086426
3658.473388671875,9.441692352294922,2.613084077835083
3659.31689453125,7.886420726776123,2.4926600456237793
3660.15869140625,6.766232967376709,2.382589101791382
3661.0029296875,5.065000057220459,2.3797738552093506
3661.844970703125,7.590407848358154,2.3911163806915283
3662.689453125,10.108038902282715,2.6157689094543457
3663.531982421875,3.569234848022461,2.2747058868408203
3664.374755859375,3.582207679748535,2.2213051319122314
3665.2197265625,3.25764536857605,2.260744094848633
3666.06298828125,7.564087390899658,2.3623976707458496
3666.908447265625,9.22636890411377,2.3989298343658447
3667.751953125,5.225368976593018,2.182321310043335
3668.59765625,3.4823551177978516,2.1266958713531494
3669.441650390625,4.523072719573975,2.1496453285217285
3670.285888671875,6.478075981140137,2.1184518337249756
3671.132080078125,2.92349910736084,2.0307676792144775
3671.976806640625,3.6695070266723633,1.981566071510315
3672.823486328125,7.813097953796387,2.2140109539031982
3673.66845703125,2.742814540863037,1.882836937904358
3674.515625,3.5681238174438477,1.9491633176803589
3675.36083984375,8.640349388122559,2.1129229068756104
3676.206298828125,7.2260212898254395,2.086759567260742
3677.05419921875,5.183632850646973,1.984642744064331
3677.89990234375,6.102064609527588,1.9698408842086792
3678.748046875,4.4279961585998535,1.8837941884994507
3679.594482421875,4.643391132354736,1.8740363121032715
3680.44287109375,3.5764880180358887,1.8092899322509766
3681.28955078125,4.087710857391357,1.7779494524002075
3682.136474609375,3.1828291416168213,1.7546299695968628
3682.985595703125,3.4142463207244873,1.7054622173309326
3683.832763671875,9.068682670593262,2.0429444313049316
3684.682373046875,3.33502459526062,1.7314940690994263
3685.530029296875,2.8026208877563477,1.7145664691925049
3686.3798828125,6.344338417053223,1.844214916229248
3687.227783203125,6.416391372680664,1.8320358991622925
3688.078125,3.4147088527679443,1.7077903747558594
3688.926513671875,4.498081207275391,1.7319377660751343
3689.775146484375,5.761831760406494,1.7776353359222412
3690.6259765625,6.351894378662109,1.8247374296188354
3691.47509765625,7.577101707458496,1.8643567562103271
3692.326416015625,6.2320556640625,1.8089923858642578
3693.17578125,4.703476428985596,1.7550127506256104
3694.02734375,8.74243450164795,1.9081392288208008
3694.877197265625,7.848045825958252,1.895050287246704
3695.727294921875,7.751352310180664,1.8000496625900269
3696.579345703125,5.458070755004883,1.7142926454544067
3697.429931640625,4.689327716827393,1.7035871744155884
3698.282470703125,5.603636741638184,1.7398957014083862
3699.13330078125,3.512596845626831,1.669814944267273
3699.986328125,5.753173351287842,1.7817312479019165
3700.83740234375,3.691622018814087,1.6664841175079346
3701.688720703125,5.520662784576416,1.7192195653915405
3702.54248046875,6.226052761077881,1.7390655279159546
3703.394287109375,3.427993059158325,1.6845895051956177
3704.248291015625,4.672395706176758,1.7099628448486328
3705.100341796875,6.031571388244629,1.7467210292816162
3705.954833984375,4.309626579284668,1.7001616954803467
3706.807373046875,4.815526008605957,1.7163445949554443
3707.659912109375,4.269265651702881,1.6720582246780396
3708.514892578125,3.02079439163208,1.6199615001678467
3709.3681640625,6.252162456512451,1.6868921518325806
3710.223388671875,3.4785404205322266,1.6690595149993896
3711.0771484375,1.8215934038162231,1.555156946182251
3711.932861328125,5.94045877456665,1.7407580614089966
3712.78662109375,7.692941188812256,1.7680413722991943
3713.640869140625,4.3723883628845215,1.7049509286880493
3714.497314453125,4.048998832702637,1.6343984603881836
3715.351806640625,4.777965068817139,1.6404036283493042
3716.20849609375,6.458657741546631,1.7270705699920654
3717.0634765625,4.2253618240356445,1.5743091106414795
3717.92041015625,2.695565700531006,1.5038971900939941
3718.77587890625,3.4097626209259033,1.501685619354248
3719.63134765625,0.9078693985939026,1.4039913415908813
3720.489013671875,0.3922916352748871,1.3475087881088257
3721.344970703125,3.8018624782562256,1.4467027187347412
3722.203125,3.1910605430603027,1.519899845123291
3723.059326171875,3.7161948680877686,1.5490437746047974
3723.91796875,7.245715141296387,1.6859939098358154
3724.774658203125,6.071536064147949,1.6865198612213135
3725.631591796875,5.29189395904541,1.638012170791626
3726.490478515625,4.367666244506836,1.562139630317688
3727.347900390625,2.837700605392456,1.548688292503357
3728.207275390625,3.648371458053589,1.5276726484298706
3729.06494140625,5.821832180023193,1.6503461599349976
3729.925048828125,4.280553340911865,1.552819013595581
3730.782958984375,3.058610439300537,1.4918484687805176
3731.641357421875,3.7997207641601562,1.515183448791504
3732.501708984375,3.810833692550659,1.492499828338623
3733.3603515625,3.4763314723968506,1.4997938871383667
3734.221435546875,4.001313209533691,1.5261999368667603
3735.080322265625,4.123762130737305,1.4930442571640015
3735.941650390625,1.410563349723816,1.415657639503479
3736.80126953125,2.7183215618133545,1.383438229560852
3737.660888671875,2.577057361602783,1.3967409133911133
3738.522705078125,2.173694372177124,1.443805456161499
3739.3828125,3.4662022590637207,1.5226291418075562
3740.2451171875,3.7067837715148926,1.5023248195648193
3741.10546875,3.0460453033447266,1.4534460306167603
3741.96826171875,3.797759532928467,1.4679280519485474
3742.8291015625,2.774111270904541,1.462796688079834
3743.68994140625,3.206057548522949,1.424914836883545
3744.55322265625,4.161276340484619,1.4445050954818726
3745.414794921875,0.27154630422592163,1.2373358011245728
3746.278564453125,3.0924530029296875,1.3426681756973267
3747.140380859375,4.6712751388549805,1.4044486284255981
3748.00439453125,2.1821794509887695,1.2960039377212524
3748.86669921875,1.6415126323699951,1.224446415901184
3749.72900390625,3.9819655418395996,1.3120490312576294
3750.59375,2.9518492221832275,1.2755926847457886
3751.45654296875,4.639991760253906,1.3443528413772583
3752.321533203125,4.5507893562316895,1.326073408126831
3753.184814453125,5.782420635223389,1.3800004720687866
3754.05029296875,5.593485355377197,1.4085513353347778
3754.913818359375,2.973151445388794,1.2946076393127441
3755.77978515625,2.732215642929077,1.2508597373962402
3756.643798828125,3.388672351837158,1.286018967628479
3757.508056640625,4.682670593261719,1.258086919784546
3758.37451171875,2.09861421585083,1.0678987503051758
3759.239013671875,1.1051918268203735,1.0754355192184448
3760.10595703125,3.489166498184204,1.170326590538025
3760.970947265625,2.9206573963165283,1.1997742652893066
3761.838134765625,5.783320426940918,1.3058260679244995
3762.70361328125,5.583207130432129,1.2732536792755127
3763.5693359375,4.030364036560059,1.1523089408874512
3764.43701171875,2.7416398525238037,1.1318728923797607
3765.30322265625,3.3718490600585938,1.2099032402038574
3766.17138671875,6.923313140869141,1.3280905485153198
3767.037841796875,7.513837814331055,1.3605334758758545
3767.906494140625,6.303202152252197,1.3247535228729248
3768.773193359375,5.9270148277282715,1.3126978874206543
3769.64013671875,5.657121181488037,1.2848303318023682
3770.509521484375,4.929965019226074,1.2554298639297485
3771.376953125,5.21433687210083,1.2485564947128296
3772.24658203125,5.532623767852783,1.2579737901687622
3773.114501953125,5.314116954803467,1.2817875146865845
3773.984375,6.939755916595459,1.3493032455444336
3774.852783203125,7.493903636932373,1.3560436964035034
3775.720947265625,5.406342506408691,1.2756049633026123
3776.591796875,4.638833522796631,1.2338049411773682
3777.46044921875,5.96235990524292,1.2476987838745117
3778.33154296875,5.778332233428955,1.2513747215270996
3779.200927734375,5.475173473358154,1.2265071868896484
3780.072265625,7.423028945922852,1.33360755443573
3780.94189453125,8.540655136108398,1.3325594663619995
3781.811767578125,4.542640686035156,1.2429310083389282
3782.683837890625,7.596029281616211,1.265821099281311
3783.553955078125,6.61660623550415,1.3082599639892578
3784.426513671875,6.505074501037598,1.284914255142212
3785.297119140625,7.559087753295898,1.3520156145095825
3786.169921875,6.68538761138916,1.332746982574463
3787.041015625,4.782371997833252,1.2559021711349487
3787.912109375,6.653048038482666,1.2650731801986694
3788.78564453125,5.821744918823242,1.2225074768066406
3789.6572265625,3.7935104370117188,1.20071280002594
3790.531005859375,4.65980339050293,1.2394949197769165
3791.403076171875,6.695716857910156,1.3299578428268433
3792.27734375,4.414532661437988,1.2264487743377686
3793.14990234375,5.688209056854248,1.2667546272277832
3794.0224609375,4.625039577484131,1.205851435661316
3794.897216796875,4.0901312828063965,1.1757593154907227
3795.770263671875,4.285879135131836,1.146363377571106
3796.6455078125,4.252682685852051,1.1470030546188354
3797.51904296875,4.816868305206299,1.1644515991210938
3798.394775390625,5.009440898895264,1.160130262374878
3799.2685546875,6.9357523918151855,1.230463981628418
3800.142578125,5.453988552093506,1.1685816049575806
3801.018798828125,3.4974348545074463,1.1181020736694336
3801.893310546875,4.474659442901611,1.1319527626037598
3802.77001953125,5.077232360839844,1.138086199760437
3803.644775390625,4.5445685386657715,1.113447666168213
3804.52197265625,7.747596263885498,1.2959965467453003
3805.397216796875,7.215280055999756,1.2582086324691772
3806.272705078125,6.2000732421875,1.255318284034729
3807.150390625,7.003629207611084,1.1915476322174072
3808.026123046875,4.123907566070557,1.146026611328125
3808.904296875,6.174370288848877,1.1619936227798462
3809.780517578125,4.948430061340332,1.1413991451263428
3810.658935546875,5.1755499839782715,1.1812986135482788
3811.53564453125,5.719983100891113,1.138323426246643
3812.41259765625,4.030857086181641,1.0962343215942383
3813.291748046875,3.118159055709839,1.0867407321929932
3814.1689453125,4.3702898025512695,1.1250473260879517
3815.04833984375,4.652705192565918,1.1421761512756348
3815.926025390625,2.686053514480591,1.0720633268356323
3816.805908203125,3.362360954284668,1.126185655593872
3817.68408203125,6.18856954574585,1.1838432550430298
3818.562255859375,3.573030710220337,1.114158034324646
3819.44287109375,4.175121307373047,1.076364278793335
3820.321533203125,2.9199626445770264,1.0159956216812134
3821.202392578125,2.1430556774139404,0.9565001726150513
3822.08154296875,2.999785900115967,1.0004593133926392
3822.962890625,3.7854557037353516,1.0430692434310913
3823.84228515625,3.0076005458831787,1.0240670442581177
3824.72412109375,3.4246323108673096,1.0134474039077759
3825.60400390625,2.038686513900757,0.9451702833175659
3826.484130859375,2.67763614654541,0.9404780864715576
3827.366455078125,3.523726463317871,0.9998286962509155
3828.246826171875,2.974838972091675,1.0012226104736328
3829.129638671875,3.8817975521087646,1.0573599338531494
3830.010498046875,2.261381149291992,1.0301839113235474
3830.893798828125,2.231707811355591,1.042571783065796
3831.775146484375,5.1681718826293945,1.12003755569458
3832.656494140625,5.0951385498046875,1.0925328731536865
3833.540283203125,1.5209681987762451,0.9677221179008484
3834.42236328125,3.0608224868774414,1.0076886415481567
3835.306396484375,3.3344929218292236,1.010575771331787
3836.188720703125,3.950039863586426,1.0417304039001465
3837.073486328125,3.122385263442993,0.9694933891296387
3837.9560546875,1.8378005027770996,0.9098777770996094
3838.839111328125,1.8594778776168823,0.8955450654029846
3839.724365234375,2.6388707160949707,0.9352701902389526
3840.607666015625,3.4403603076934814,0.9815731644630432
3841.4931640625,3.5208985805511475,1.000634789466858
3842.376953125,3.5714921951293945,1.0246036052703857
3843.262939453125,4.955146312713623,1.0492528676986694
3844.147216796875,5.97467041015625,1.05610990524292
3845.031494140625,3.748882293701172,1.0283607244491577
3845.918212890625,6.335732460021973,1.0624827146530151
3846.802978515625,6.240503787994385,1.1102721691131592
3847.68994140625,5.309910774230957,1.0525161027908325
3848.5751953125,3.8237478733062744,0.9978631138801575
3849.462646484375,3.2801482677459717,1.0004241466522217
3850.34814453125,6.798383712768555,1.0488300323486328
3851.23388671875,4.573273181915283,1.0288569927215576
3852.1220703125,4.7170729637146,1.0026781558990479
3853.00830078125,5.752434730529785,1.0615036487579346
3853.896728515625,5.8942365646362305,1.057565450668335
3854.783203125,5.405068874359131,1.0399280786514282
3855.672119140625,4.732580661773682,1.0011570453643799
3856.55908203125,3.3574423789978027,0.9110357165336609
3857.4462890625,2.989150285720825,0.8780779242515564
3858.3359375,2.848663806915283,0.8652969598770142
3859.223388671875,2.6204886436462402,0.8452661037445068
3860.113525390625,2.832639694213867,0.8461952209472656
3861.00146484375,3.7907962799072266,0.9109643697738647
3861.891845703125,4.618229866027832,0.967017412185669
3862.7802734375,6.327460289001465,1.037341594696045
3863.668701171875,4.88642692565918,0.9635834097862244
3864.559814453125,2.712924003601074,0.8774402737617493
3865.44873046875,3.536125659942627,0.8815784454345703
3866.340087890625,5.095475196838379,0.9512783288955688
3867.229736328125,4.051762580871582,0.9120907783508301
3868.121337890625,4.392273426055908,0.9327016472816467
3869.01123046875,4.137953281402588,0.9178727269172668
3869.9013671875,3.8717710971832275,0.9198212623596191
3870.793701171875,4.3753485679626465,0.8854214549064636
3871.68408203125,3.6778318881988525,0.869001567363739
3872.576904296875,3.7917792797088623,0.8677064776420593
3873.4677734375,4.800626277923584,0.9136012196540833
3874.361083984375,4.609164714813232,0.9094709753990173
3875.25244140625,4.7000226974487305,0.9261741638183594
3876.143798828125,4.80440092086792,0.8851112127304077
3877.03759765625,1.9910873174667358,0.8570786714553833
3877.9296875,5.579591751098633,0.8975584506988525
3878.82373046875,4.594146728515625,0.9405879378318787
3879.716064453125,4.927487850189209,0.9053067564964294
3880.61083984375,4.934050559997559,0.9312218427658081
3881.503662109375,2.7078938484191895,0.8362878561019897
3882.396484375,4.55230712890625,0.8722217082977295
3883.291748046875,3.2739367485046387,0.8348190188407898
3884.18505859375,2.8136205673217773,0.8200615644454956
3885.080810546875,3.8709418773651123,0.8408257961273193
3885.974609375,3.6550772190093994,0.8323910236358643
3886.87060546875,2.2123875617980957,0.7562965750694275
3887.764892578125,3.8694632053375244,0.8233873844146729
3888.6591796875,4.333991050720215,0.848704993724823
3889.555908203125,4.02495002746582,0.8485555052757263
3890.45068359375,3.5733513832092285,0.8413421511650085
3891.347900390625,4.410743713378906,0.864721417427063
3892.242919921875,4.521564960479736,1.0187972784042358
3893.140625,0.6488144397735596,0.8970892429351807
3894.0361328125,5.488062381744385,0.8861307501792908
3894.93408203125,4.739873886108398,0.8751335740089417
3895.830078125,3.8493425846099854,0.8589705228805542
3896.726318359375,4.65920352935791,0.8890940546989441
