mjd,phase,mag,magerr
53769.532647558,0.4788169990060851,20.097804,0.4504907308951164
53769.5509452317,0.5365651890751906,19.811013,0.4040272540335323
53884.3151996066,0.7371425664459821,19.636363,0.3254481937248114
53884.3207431599,0.7546382424188778,20.161037,0.3993123388412515
53884.326158368,0.7717288557614665,19.966435,0.37362210861035433
53884.3315744908,0.7888223560003098,19.572637,0.31642338692980954
54001.1053521992,0.3315357548126485,19.141438,0.2362194261984424
54001.1091375696,0.3434825351869222,19.518753,0.29261940072903764
54001.1129144905,0.3554026486526709,19.523748,0.2942715699128699
54001.1166917593,0.3673238600604236,19.675712,0.31564234185479345
54208.3332855903,0.35118265444179997,19.924964,0.38359585341054847
54208.3402381368,0.37312516930978745,20.436895,0.46941758677566314
54208.3471549075,0.3949547742959112,19.757901,0.365101807042516
54208.3540955322,0.41685966349905357,19.705986,0.34924950306313723
54216.4319848842,0.911001573986141,20.169185,0.37982038274000945
54216.4451283682,0.9524829351867083,19.439978,0.28103765375955087
54216.4516909607,0.9731947396649048,20.024521,0.3616667661275187
54138.4971323265,0.945489507750608,19.281315,0.2628074749749213
54138.5015140162,0.9593182957323734,20.555688,0.4480689491910975
54138.5102065858,0.9867523930734023,20.362213,0.39623254215704673
54158.40411897,0.7727356340910774,20.249689,0.3667090304688361
54158.4096300001,0.7901286655396689,19.831046,0.3237843886513176
54158.4151631482,0.8075915022636764,20.010818,0.36221634647170486
54158.4206460649,0.8248958066978958,19.824167,0.3259394276324654
54266.2346620602,0.09024284849874675,19.473921,0.2968718144989579
54266.2413134375,0.11123486133874394,19.688755,0.32894315635719057
54266.2480251156,0.13241718590143137,19.636676,0.3219605122937886
54266.2546596993,0.15335619740653783,20.013436,0.37507394013861023
54276.2484857175,0.6942708638962358,20.0057,0.4042409814408014
54276.2540073959,0.7116975017997902,19.990018,0.402782721787707
54178.4908920834,0.1673950509284623,19.405883,0.2675402873318071
54178.4971104399,0.1870204327860847,19.857009,0.32873534490516026
54178.5032989467,0.20655160778551362,20.460584,0.40250087103513027
54238.3504688195,0.08661361315171234,20.559581,0.4530218258725208
54238.355463854,0.10237814180436544,19.496786,0.30498410187729375
54238.3604452428,0.11809960412210785,20.043407,0.3857935116621579
54538.468666065,0.2716488478181418,19.590174,0.2943739818185387
54538.4691925924,0.27331058934214525,19.782946,0.32045023432365294
54538.4697237616,0.2749869805993512,19.992486,0.3468910642556719
54538.4702495951,0.2766465321474243,19.835114,0.3272923786578901
54946.2472001505,0.23701356301899068,19.647383,0.30642046775365495
54946.2526263543,0.2541388792451471,19.297722,0.25595262004035957
54946.2581312615,0.2715125865943264,20.026078,0.3539459553589511
54946.2636092128,0.2888012200128287,20.161332,0.37043492698388464
54862.4060389814,0.6309552668826655,19.895754,0.3360889775866949
54862.417132014,0.6659653215028811,19.964247,0.34412800595162585
54862.4281924074,0.7008723655017093,19.433419,0.2722053025299814
54862.4393070717,0.7359506906068418,19.994475,0.3461974091677881
55006.3227672568,0.8379063731990755,19.579256,0.40967515078591377
55006.3323889235,0.8682727381819859,19.880753,0.358096827127539
55006.3371867128,0.8834147531306371,19.667788,0.33014698733632974
54892.3843301156,0.24364121808321215,19.675655,0.3406489768579307
54892.3915708683,0.26649332320084795,19.838241,0.37008011632093196
54892.3987925233,0.2892851552751381,19.627472,0.3431888561308413
54892.4059980901,0.3120262123120483,19.607601,0.3415405097617689
54908.3148580208,0.5210245079942979,19.464317,0.28607425969838246
54908.3197825812,0.5365666176076047,19.392142,0.26784496068751407
54908.3246600232,0.5519600196857937,19.836557,0.3272328305789494
54908.3295748495,0.56747140805237,19.267838,0.24773918772833
54915.410305428,0.9145403430156875,18.66943,0.25364710024456666
54915.4132808104,0.9239307688840199,19.611689,0.48183095251885405
54915.4162353586,0.9332554411957972,18.993475,0.3944383211552144
54915.4162353586,0.9332554411957972,20.169875,0.7561403036753053
54915.4191609837,0.9424888310604729,19.703048,0.3899897720588357
55298.4461241202,0.7909055683412589,19.889275,0.33828656096704335
55298.4519159836,0.8091849209158681,19.453249,0.2791007144750862
55298.4576860648,0.8273955280019436,19.558353,0.2941189992220537
55298.4635560648,0.845921482774429,19.825533,0.3306536768615263
55360.2518971874,0.8523975993739441,19.799217,0.3317645271338321
55360.257695972,0.8706987955083605,19.416894,0.278297628226129
55360.2634429978,0.8888366387982387,19.235921,0.2516012179180122
55360.2692047339,0.9070209084020462,19.60396,0.30409615616088476
55281.3841447456,0.9426161829615012,19.227576,0.29064443922781796
55281.3877353587,0.953948301525088,18.851058,0.22282422091134285
55327.4116680673,0.20732088715885766,19.530522,0.2964884013493927
55327.4175036345,0.22573817064403556,19.648039,0.31329006410082033
55327.4233232522,0.2441051169007551,20.08988,0.372478080760125
55327.4291569446,0.26251648348988965,19.91391,0.3499477621296855
55722.2871244215,0.4500561592867598,20.360238,0.4244246415246393
55722.2940625232,0.47195308574009687,20.337396,0.4219495246151888
55635.4172639006,0.28530156091437675,19.980133,0.48078510789435197
55635.4245582406,0.30832278967136517,20.741047,0.6595217163777727
55635.4281771874,0.31974433053983375,20.636982,0.5965872817617272
55682.360188588,0.4390495913103223,20.206765,0.39336254367214796
55682.3740343172,0.48274726650561206,19.144359,0.24279082014672754
55682.380923206,0.5044888750999235,20.810874,0.48017643957365075
56047.4477788541,0.6700879747222643,20.114267,0.3807403363187731
56047.453680567,0.6887140167236794,20.089241,0.37759662535809224
56047.4595117825,0.7071175660821609,19.576167,0.30786788435091933
56047.465353854,0.7255553774302825,20.033761,0.3719041232095978
56065.3548395257,0.18548773674410768,19.550616,0.2860862384341355
56065.3616356943,0.20693671668414026,19.717989,0.30842331918519605
56065.3684452083,0.22842781525105238,20.726031,0.43365752488878667
56065.3752408447,0.24987511555082165,19.615285,0.29510467982671656
56076.285660324,0.6835954090056475,19.667946,0.3415433130751287
56076.2916212732,0.702408403129084,20.430134,0.45146208773078916
56076.2976136113,0.7213204618601594,19.538227,0.3213661565924401
56076.303598183,0.7402080095198471,20.232879,0.4243322155754056
56092.3076791898,0.2497278302325867,19.783687,0.3252037806315437
56092.3221256598,0.2953214673907496,20.335522,0.39575444362182904
56092.3294639932,0.31848154112230986,19.613292,0.3033320431383979
56126.2282259259,0.30433015123708174,20.297822,0.4082664410752334
56126.2338613193,0.32211567819467746,20.89676,0.4813707054227057
56191.1098260647,0.07325545325875282,19.476528,0.30503075557791287
56191.114953646,0.0894383049744647,20.260059,0.420123061329582
56191.1201570253,0.10586037818575278,18.938542,0.22200384638525553
56191.1280841897,0.1308788261085283,19.579188,0.3240005166904279
56375.3888944443,0.6653664220357314,20.341661,0.40444768905845113
56397.4114635997,0.16947557925595902,19.801384,0.3324007178123725
56397.4194515161,0.19468576289364137,19.414927,0.2774065104131799
56397.4354183101,0.2450776034675073,20.3962,0.408459622022729
56421.4102960299,0.9107506822329015,19.800064,0.3492680070285297
56421.4148532059,0.9251333119755145,19.633287,0.3242303380725922
56421.4194101738,0.9395152849901933,19.803458,0.34899279117974374
56421.4239754397,0.9539234467665665,19.219732,0.259379702799567
56434.315492338,0.6400664384418633,20.017756,0.37177694679563317
56434.3205660763,0.656079359469004,19.997129,0.37134133404870767
56449.308363264,0.958166795753641,19.664649,0.3284674445631134
56449.3139998033,0.9759559392696247,20.017921,0.37674105123806456
56449.3196424423,0.993764333659783,19.63667,0.3246068190237708
56449.3253130093,0.011660869902698323,19.84423,0.35483601349334903
56471.221411759,0.11662436788901687,19.565155,0.37740686633265047
56748.4593381132,0.09060945882811211,19.196564,0.2504804929134305
56748.4670570949,0.11497087383759208,20.316871,0.40885522660241846
56748.4747463311,0.1392384108621627,19.341035,0.2735943632894456
56748.4824471413,0.16354247587150894,19.6812,0.3250966830269269
56774.407151354,0.9829459592874628,19.161378,0.251396323761536
56774.4148971876,0.007392119994619861,20.858143,0.5016993971322959
56782.3774743402,0.13760411669500172,20.118579,0.39638003661853327
56782.384885903,0.16099530534120277,19.797217,0.35153815180982895
56782.3922385648,0.18420060008065775,19.564483,0.31735596325765153
56782.3995703706,0.20734007249120623,19.738736,0.344153975991425
56803.3775087036,0.4145525689527858,21.197496,0.5907132966510823
56803.3837381713,0.4342130181903485,19.443089,0.30847851827913153
56803.3899855902,0.45393012213753536,20.101629,0.43155607726790646
56803.3962306827,0.4736398838576861,20.589706,0.49178920198921344
56813.3069529631,0.7522758297272958,19.64736,0.33010133619268395
56813.3130113543,0.7713963546557352,19.539836,0.31408541528354206
56813.3190305093,0.7903930486354511,19.797407,0.3542109695999221
56813.3250693521,0.8094518780126236,20.10527,0.398998454228464
56830.3403541087,0.5103711812698748,19.993614,0.38901610093336575
56830.3479024768,0.5341941329534166,19.981931,0.3877795634726677
56830.3554340624,0.5579641183721833,19.649559,0.3408324693484673
56830.3630177314,0.5818984810321126,19.962612,0.3884262708624694
57106.4825772918,0.026273236057022586,19.965062,0.35322123680687156
57106.4866268286,0.03905373616726138,19.926579,0.3478426109868876
57106.4906704747,0.05181564501253888,19.969854,0.3540529198359597
57106.4947109837,0.06456765305483714,19.813417,0.3336671995136033
57129.4512279863,0.5162535739364102,19.712729,0.3236567989600642
57129.4562654053,0.5321518697892316,19.889488,0.34786771517087817
57129.4613076854,0.5480655074934475,19.872325,0.3460535463133411
57129.4663526272,0.5639875455817673,19.870356,0.3459172588996545
57141.4262299771,0.30983885694877245,19.624163,0.30507589775736726
57141.4319388312,0.3278562288614921,19.559362,0.2960967516860333
57141.4376344909,0.3458319586934522,19.382368,0.27111240149407234
57141.4433189118,0.3637722184357699,19.648719,0.30938652107821063
57155.3909843983,0.3831624004524201,19.727322,0.32408985552323544
57155.3955822224,0.39767331720213406,20.014292,0.36215978586877573
57155.4001967129,0.4122368337993976,20.580899,0.4347562133593886
57155.4047949999,0.4267492115031928,19.704152,0.3213004854586569
57165.2901905673,0.6254530380829237,19.281447,0.2569465049093151
57165.2952184952,0.6413213796331547,19.677159,0.31454791673575605
57165.300241678,0.6571747454581782,19.479443,0.2867145390832963
57165.3052637037,0.6730244594509713,19.960722,0.35271970641500633
57171.2731245835,0.5078321105393115,19.670178,0.312569610240289
57171.2776520369,0.5221209345909301,19.967545,0.3515786971899227
57189.347335544,0.5507648703060113,20.314519,0.42281297275825336
57189.3513794099,0.5635274728701916,20.318969,0.42442403058571726
57189.3554295371,0.5763098363240715,20.098379,0.39596095488625643
57189.3594597569,0.5890293712145649,21.148078,0.562436536305416
57195.2935165856,0.3171500848548021,19.637188,0.3388171481694973
57195.298041956,0.33143233484588563,20.050155,0.40177584305901815
57195.3070976622,0.36001250584376976,20.813078,0.5174635925684724
57426.477077778,0.9417165505001321,18.967903,0.21291671463047124
57426.4816082409,0.9560148726741318,19.101666,0.23238624514924275
57426.4861229514,0.9702634795976337,19.036244,0.22316974961262478
57426.4906601273,0.9845829882251564,19.042804,0.22391779834536316
57445.5141061572,0.023339596431469545,19.254482,0.2570583172093321
57445.517110521,0.03282148874131963,19.37018,0.2746593161581625
