HJD              Vmag     Imag
2452313.871990   8.3174   7.1814
2452313.878380   8.3150   7.1713
2452314.868980   8.3024   7.1684
2452314.875360   8.2906   7.1604
2452315.865540   8.2646   7.1336
2452315.871910   8.2644   7.1330
2452316.866060   8.3400   7.1773
2452317.860490   8.2456   7.1249
2452317.866850   8.2461   7.1255
2452318.857060   8.3514   7.2028
2452318.863420   8.3516   7.2005
2452324.840210   8.2459   7.1355
2452324.846610   8.2454   7.1377
2452325.846440   8.3354   7.1907
2452325.867220   8.3387   7.1895
2452326.840230   8.2991   7.1756
2452326.856160   8.2961   7.1747
2452327.833160   8.2854   7.1566
2452327.839570   8.2852   7.1647
2452330.829850   8.3663   7.2126
2452335.812050   8.3771   7.2231
2452335.818420   8.3808   7.2244
2452336.807880   8.2736   7.1457
2452336.842660   8.2728   7.1464
2452337.807800   8.3294   7.1845
2452337.814180   8.3332   7.1873
2452338.803220   8.3086   7.1737
2452338.809590   8.3057   7.1734
2452344.786900   8.2956   7.1662
2452344.793260   8.2902   7.1595
2452345.785670   8.3163   7.1795
2452345.792040   8.3119   7.1624
2452346.786460   8.2451   7.1290
2452346.802570   8.2454   7.1336
2452347.779740   8.3613   7.2109
2452348.781520   8.2783   7.1445
2452348.797430   8.2636   7.1306
2452349.778890   8.3262   7.1920
2452351.773550   8.2681   7.1442
2452351.789680   8.2640   7.1444
2452352.811240   8.3402   7.1991
2452353.763690   8.2466   7.1272
2452353.798210   8.2456   7.1293
2452354.761820   8.3628   7.2114
2452354.768190   8.3587   7.2162
2452356.753450   8.2836   7.1532
2452356.759800   8.2856   7.1598
2452357.752500   8.3395   7.1912
2452357.758870   8.3417   7.1889
2452358.749470   8.2484   7.1378
2452358.755840   8.2424   7.1170
2452359.745660   8.3621   7.2071
2452359.752030   8.3563   7.1988
2452360.744270   8.2822   7.1208
2452362.869740   8.3256   7.1870
2452363.735810   8.2437   7.1258
