MJD,magV
39597.0,10.4
39597.7,11.0
39597.7,11.0
39597.9,10.8
39597.9,10.9
39598.9,10.2
39598.9,10.4
39599.0,10.4
39599.9,10.3
39600.0,10.2
39600.9,10.9
39601.9,10.9
39602.8,10.6
39602.9,11.1
39603.8,11.5
39603.9,10.8
39603.9,11.5
39604.9,10.8
39604.9,11.8
39605.0,11.7
39605.9,11.2
39606.0,12.3
39606.9,11.2
39607.0,12.1
39607.9,11.3
39607.9,12.0
39608.0,11.9
39608.9,11.7
39609.8,12.1
39609.9,11.7
39610.1,11.5
39611.9,11.7
39611.9,12.1
39612.9,11.7
39612.9,12.2
39613.9,11.7
39614.9,11.7
39614.9,11.8
39614.9,11.9
39614.9,11.9
39615.9,11.7
39616.8,12.3
39618.9,11.7
39618.9,11.8
39619.9,11.8
39619.9,12.2
39621.9,11.9
39621.9,11.9
39622.9,12.1
39623.0,12.0
39623.9,12.1
39623.9,12.2
39624.8,12.2
39624.9,12.0
39624.9,12.3
39625.9,11.9
39626.9,11.6
39626.9,12.2
39627.9,11.1
39627.9,11.9
39627.9,12.2
39630.8,12.1
39631.8,12.3
39631.9,11.9
39635.9,12.0
39636.9,12.0
39636.9,12.3
39638.8,12.3
39638.9,12.0
39639.8,12.1
39639.9,12.3
39639.9,12.4
39640.9,12.2
39641.9,12.3
39641.9,12.3
39642.9,12.2
39642.9,12.3
39643.9,12.1
39644.9,12.1
39645.9,12.1
39645.9,12.3
39646.8,12.4
39647.9,12.2
39648.9,12.2
39651.0,12.2
39651.8,12.4
39653.9,12.3
39653.9,12.3
39654.9,12.5
39655.8,12.4
39655.9,12.2
39656.9,12.2
39656.9,12.4
39657.9,12.2
39658.9,12.4
39659.9,12.3
39660.9,12.3
39666.9,11.9
39666.9,12.3
39668.8,12.4
39668.9,12.2
39669.9,12.3
39669.9,12.3
39670.9,12.4
39671.8,12.4
39671.9,12.0
39673.9,12.2
39675.9,12.3
39676.9,12.3
39677.8,12.2
39677.8,12.6
39677.9,12.3
39678.8,12.5
39678.9,12.4
39679.8,12.1
39679.8,12.6
39680.8,12.2
39681.9,12.6
39682.8,12.3
39682.8,12.6
39683.8,12.2
39683.8,12.6
39687.8,12.4
39694.8,12.4
39695.9,12.5
39707.3,13.0
39708.3,13.1
39710.3,13.0
39715.3,13.3
39718.2,13.3
39730.2,13.1
39732.2,13.1
39738.2,13.4
39747.2,13.7
39748.2,13.9
39763.2,14.2
39768.2,13.7
39775.2,14.0
39777.2,14.1
39791.1,13.9
39794.1,13.9
39876.0,14.3
39981.0,15.0
39992.0,9.7
39993.0,9.3
39994.0,9.1
39995.0,9.2
40008.0,14.9
40043.0,12.7
40044.0,13.1
40200.1,10.0
40200.1,10.0
40201.1,9.1
40201.2,9.0
40202.1,8.6
40203.1,8.2
40206.1,7.8
40207.1,7.8
40208.1,7.9
40209.0,7.8
40267.0,15.0
40284.0,8.9
40285.0,9.0
40286.0,9.1
40290.0,9.3
40291.0,8.7
40292.0,8.8
40293.0,9.2
40294.0,9.4
40295.0,9.4
40296.0,9.7
43652.0,15.5
44553.3,15.4
46227.9,15.7
46451.0,15.7
46852.0,15.0
46852.0,15.3
46885.9,14.6
46918.3,15.3
46960.2,15.3
47507.5,15.4
47530.4,15.3
47532.0,15.0
47554.0,15.2
47560.0,15.3
47569.0,15.0
47569.1,15.0
47589.4,14.9
47624.9,15.0
47643.7,14.8
47650.9,15.5
47699.9,14.8
47881.1,14.8
47893.0,14.8
47917.2,14.8
47922.0,15.0
47923.0,15.0
47929.2,14.8
47938.0,14.8
47943.0,14.8
47947.0,15.0
47951.9,14.8
47967.0,14.8
47973.9,14.8
47977.0,15.0
47979.0,14.8
48000.0,14.8
48001.7,14.8
48007.9,14.8
48178.3,14.8
48183.3,14.9
48188.2,14.8
48238.2,14.8
48247.2,14.8
48251.2,15.0
48264.0,14.8
48267.1,15.2
48269.0,14.8
48270.1,15.0
48278.0,14.8
48284.2,15.0
48295.0,14.8
48304.0,15.0
48306.0,15.3
48308.0,14.8
48321.0,14.8
48331.0,15.0
48335.0,14.8
48339.0,15.1
48352.9,14.8
48361.0,14.8
48389.9,14.8
48390.0,15.0
48420.9,15.0
48630.2,14.8
48632.0,15.0
48651.0,15.0
48654.0,14.8
48654.1,15.0
48663.0,14.8
48677.0,15.0
48680.0,15.0
48683.9,14.8
48687.0,15.0
48691.0,15.0
48707.0,14.8
48717.0,15.0
48719.0,15.0
48743.0,14.8
48764.9,14.8
48777.9,15.3
48889.8,15.7
48928.9,15.8
48983.8,15.1
48985.8,15.6
49033.1,15.5
49036.9,15.3
49061.0,15.3
49066.0,15.3
49069.9,14.8
49082.7,15.5
49093.7,15.0
49101.9,14.8
49103.9,14.8
49126.0,15.1
49332.1,15.5
49358.0,15.5
49364.0,15.5
49372.0,15.3
49384.0,15.5
49391.0,15.5
49415.0,15.2
49442.9,15.5
49446.9,15.5
49447.0,15.5
49449.7,15.2
49450.9,15.3
49456.0,15.0
49461.0,15.3
49480.0,15.5
49485.0,15.3
49486.0,15.3
49512.0,15.3
49514.9,15.0
49646.0,15.5
49742.1,15.2
49746.6,15.0
49746.8,15.3
49747.0,15.0
49749.0,15.5
49750.0,15.3
49752.0,15.5
49756.0,15.3
49759.2,15.0
49774.0,15.0
49778.0,15.3
49780.0,15.3
49790.7,15.0
49796.9,15.3
49799.0,15.0
49803.7,14.9
49807.0,15.0
49814.0,15.3
49816.7,15.0
49819.7,15.5
49829.9,15.3
50053.2,14.8
50075.1,14.8
50096.9,15.0
50098.9,15.5
50104.0,14.9
50107.0,15.0
50110.2,15.0
50125.0,14.9
50127.0,14.8
50127.0,14.9
50128.0,14.9
50128.0,15.4
50129.0,15.0
50130.0,15.0
50131.0,15.0
50131.0,15.0
50137.9,15.0
50150.8,15.5
50151.9,15.0
50152.9,15.0
50153.9,15.0
50154.9,15.0
50156.0,15.0
50164.9,15.0
50167.9,15.0
50186.0,15.2
50186.9,15.0
50187.7,15.2
50189.9,15.0
50191.9,15.0
50193.9,15.0
50194.7,14.9
50195.9,15.0
50214.9,15.0
50216.0,15.2
50369.2,15.0
50425.9,15.2
50451.0,15.3
50453.2,15.0
50477.9,15.3
50480.7,15.3
50487.7,15.5
50492.1,15.0
50511.1,15.5
50516.8,14.9
50518.9,15.3
50523.0,15.2
50540.6,15.3
50542.9,15.3
50547.0,15.2
50547.9,15.2
50549.5,15.0
50551.9,15.0
50565.9,15.0
50566.9,15.0
50575.0,15.5
50606.9,15.2
50608.9,15.2
50761.1,15.4
50767.1,15.4
50769.0,15.1
50774.0,15.1
50787.0,15.5
50794.1,15.4
50805.9,15.4
50810.9,14.9
50811.3,15.2
50825.8,15.4
50839.0,15.3
50839.0,15.3
50839.9,15.4
50841.0,15.3
50841.8,15.3
50845.7,15.1
50846.1,15.5
50854.9,15.2
50859.8,15.2
50862.0,15.3
50864.0,15.0
50865.9,15.3
50866.0,15.2
50866.9,15.2
50867.0,15.2
50867.2,15.1
50867.9,15.2
50869.0,15.0
50869.0,15.2
50870.0,15.1
50870.3,15.0
50871.0,15.3
50872.0,15.2
50873.0,15.0
50873.9,15.3
50875.0,15.1
50876.0,15.2
50880.2,15.2
50883.8,15.1
50889.9,15.0
50890.9,15.2
50891.9,15.1
50891.9,15.3
50893.9,15.1
50893.9,15.2
50894.9,15.1
50896.9,15.4
50897.0,15.3
50898.0,15.1
50898.9,15.2
50899.0,15.0
50900.0,15.2
50903.0,15.2
50903.8,15.3
50904.0,15.2
50905.9,15.0
50907.9,15.0
50914.8,15.3
50918.9,15.3
50920.9,15.3
50921.9,15.2
50923.9,15.3
50925.7,15.0
50925.9,15.3
50926.9,15.3
50927.0,15.0
50927.9,15.3
50933.9,15.3
50935.9,15.2
50940.7,15.3
50946.9,15.1
50950.9,15.1
50951.9,15.1
50956.9,15.2
50957.9,15.2
50958.9,15.3
50960.9,15.1
50961.9,15.2
50978.9,15.2
50979.9,15.2
50980.9,15.2
50982.0,15.3
50990.9,15.2
50991.9,15.2
50993.9,15.1
51102.2,15.3
51111.3,15.2
51112.2,15.3
51113.1,15.3
51114.2,15.2
51135.2,15.3
51136.2,15.2
51137.2,15.2
51140.2,15.2
51158.1,15.1
51159.1,15.1
51164.0,15.0
51164.0,15.1
51166.0,15.1
51166.0,15.1
51168.0,15.1
51171.0,14.8
51171.0,15.1
51171.2,15.1
51171.9,15.6
51172.0,15.0
51176.2,15.1
51176.8,15.5
51178.0,15.4
51185.0,15.2
51185.0,15.4
51187.4,15.0
51187.8,15.4
51188.1,15.0
51189.0,15.2
51189.5,15.2
51191.0,15.1
51191.8,15.4
51192.0,15.1
51192.4,15.3
51193.0,15.1
51194.0,15.3
51195.0,15.1
51195.4,15.2
51195.4,15.2
51196.0,15.1
51196.0,15.2
51196.1,15.3
51197.0,15.2
51198.0,15.2
51202.1,15.0
51207.0,15.3
51211.8,15.3
51212.8,15.3
51214.0,15.0
51214.0,15.0
51216.8,15.3
51217.0,15.0
51218.0,15.2
51219.0,15.1
51222.8,15.4
51224.0,15.2
51225.9,15.3
51226.2,15.1
51227.2,15.2
51227.3,15.2
51229.0,15.3
51230.2,15.1
51231.8,15.2
51232.0,15.0
51232.1,15.2
51232.2,15.2
51232.9,15.3
51233.2,15.3
51233.6,15.1
51234.8,15.3
51237.8,15.6
51239.8,15.5
51243.8,15.3
51244.9,15.3
51246.0,15.3
51246.8,15.4
51247.0,15.2
51248.0,15.2
51251.0,15.2
51253.0,15.2
51254.0,15.2
51254.8,15.2
51255.7,15.0
51256.7,15.3
51257.6,15.2
51260.0,15.2
51261.8,15.2
51262.8,15.4
51265.5,15.1
51274.9,15.2
51277.0,15.1
51277.9,15.2
51278.7,15.2
51286.7,15.2
51287.0,15.2
51288.0,15.1
51288.0,15.1
51289.0,15.5
51289.1,15.2
51291.2,15.2
51291.7,15.4
51299.7,15.2
51305.9,15.1
51308.9,15.1
51311.9,15.1
51312.9,15.1
51313.9,15.1
51315.9,15.2
51317.9,15.0
51319.9,15.1
51332.9,15.1
51458.2,15.1
51463.2,15.1
51485.2,15.0
51486.2,15.0
51490.9,15.1
51499.2,15.2
51501.2,15.1
51502.2,15.2
51513.9,15.2
51514.1,15.1
51518.2,15.1
51522.0,15.2
51526.1,15.1
51530.2,15.1
51530.9,15.3
51536.8,15.3
51538.9,15.2
51541.3,15.1
51544.3,15.1
51545.0,15.2
51546.9,15.4
51547.1,15.1
51547.3,15.0
51548.0,15.2
51549.1,15.1
51549.3,15.1
51550.0,15.1
51550.3,15.0
51551.3,15.0
51554.0,15.1
51554.0,15.2
51555.3,14.9
51556.0,15.1
51556.0,15.6
51556.3,15.0
51557.2,15.1
51561.3,15.1
51562.3,15.0
51570.8,15.2
51570.8,15.5
51571.0,15.1
51574.0,15.1
51574.1,15.5
51575.0,15.1
51576.0,15.1
51576.3,15.0
51576.8,15.5
51577.0,15.1
51577.0,15.3
51577.3,15.0
51578.1,15.1
51579.3,15.0
51580.0,15.1
51580.1,15.0
51580.3,14.9
51581.0,15.0
51581.8,15.3
51582.0,14.9
51582.0,15.0
51582.0,15.2
51582.2,15.1
51583.0,15.1
51584.0,15.0
51584.0,15.0
51584.0,15.2
51584.2,15.0
51585.3,15.1
51586.0,15.0
51587.0,15.0
51587.2,15.0
51587.3,15.1
51588.0,15.0
51588.3,15.1
51589.3,15.0
51590.2,15.0
51601.9,15.0
51604.0,15.2
51604.0,15.2
51604.1,15.0
51604.9,15.1
51605.0,15.2
51606.0,15.0
51606.3,15.0
51606.9,15.2
51608.2,15.1
51609.9,15.2
51610.3,15.2
51610.8,15.1
51610.9,15.2
51611.0,15.0
51611.3,15.1
51611.9,15.1
51612.0,15.0
51612.3,15.0
51613.2,15.1
51614.3,15.0
51614.8,15.1
51621.8,15.2
51627.0,15.0
51627.9,15.0
51628.7,15.2
51628.9,15.0
51632.0,15.0
51632.9,15.1
51636.9,15.0
51637.9,15.1
51639.7,15.1
51639.9,15.1
51640.9,14.9
51640.9,14.9
51641.1,15.0
51641.9,15.0
51642.9,15.0
51643.2,15.0
51643.2,15.0
51643.9,15.0
51644.7,15.3
51645.2,15.1
51648.8,15.1
51653.7,15.3
51657.9,15.0
51659.9,15.0
51660.9,15.1
51661.9,15.1
51662.7,15.4
51662.9,15.1
51663.9,15.0
51664.9,15.0
51665.7,15.2
51665.9,15.1
51666.9,15.0
51672.0,15.1
51684.9,15.1
51686.0,15.1
51686.9,15.2
51687.0,15.1
51690.0,15.1
51691.0,15.1
51691.9,15.2
51697.0,15.1
51699.9,15.0
51700.9,15.0
51855.2,15.1
51856.2,15.1
51864.0,15.5
51869.3,15.2
51870.3,15.1
51871.3,15.1
51873.3,15.1
51874.2,15.1
51878.2,15.1
51878.3,15.2
51879.3,15.1
51880.3,15.1
51881.2,15.1
51881.3,15.2
51882.1,15.1
51882.3,15.1
51886.3,15.1
51897.3,15.1
51899.0,15.1
51900.3,15.1
51901.1,15.1
51901.3,15.1
51902.1,15.1
51902.3,15.2
51903.3,15.2
51905.2,15.1
51909.2,15.1
51911.2,15.1
51911.3,14.9
51912.1,15.5
51912.3,15.0
51913.3,15.0
51914.3,15.0
51919.3,15.0
51923.1,15.0
51929.3,15.1
51930.1,15.0
51932.3,15.0
51937.3,15.1
51942.3,15.1
51945.8,15.3
51952.0,15.1
51952.1,15.0
51953.0,15.2
51953.1,15.0
51953.3,15.1
51954.1,15.0
51958.0,15.1
51959.0,14.9
51960.0,14.8
51960.9,15.1
51963.0,15.1
51963.8,15.3
51966.0,15.1
51967.1,15.1
51968.1,15.1
51969.0,15.1
51969.0,15.5
51969.4,15.0
51970.0,15.0
51970.0,15.2
51972.4,15.0
51975.2,15.1
51982.1,14.9
51982.9,15.1
51983.0,15.0
51984.0,15.0
51984.3,15.3
51991.9,15.0
51994.3,15.2
51995.3,15.1
51996.2,15.1
51997.4,15.0
51998.2,15.3
52008.7,15.3
52012.9,14.8
52012.9,14.8
52015.0,15.0
52015.0,15.2
52015.9,15.0
52016.7,15.3
52018.2,15.3
52024.3,15.1
52024.7,15.3
52027.3,15.3
52027.9,15.0
52027.9,15.0
52028.9,15.0
52029.0,15.0
52029.0,15.0
52040.2,15.3
52042.9,15.0
52043.0,15.0
52044.0,15.1
52048.9,15.2
52049.2,15.1
52054.9,15.0
52055.2,15.0
52055.2,15.0
52057.2,15.2
52078.9,15.5
52265.2,14.8
52266.2,14.8
52269.6,15.2
52280.1,14.8
52294.1,15.0
52309.3,15.2
52315.3,15.1
52317.3,15.1
52320.0,15.0
52320.0,15.0
52330.8,15.3
52344.7,15.3
52345.0,15.1
52353.9,15.5
52366.2,15.0
52371.1,14.9
52382.6,15.3
52383.0,15.0
52400.9,15.0
52405.2,15.3
52407.9,15.0
52426.9,15.0
52427.9,15.1
52585.1,15.3
52589.2,15.0
52592.2,15.0
52598.0,15.3
52611.0,15.3
52636.0,15.1
52636.9,15.4
52641.9,15.4
52642.0,15.1
52642.8,15.3
52642.8,15.3
52643.0,15.1
52643.1,15.0
52644.0,15.2
52645.0,15.1
52646.0,15.1
52646.8,15.5
52648.0,15.1
52648.7,15.5
52652.3,15.0
52652.8,15.4
52654.8,15.5
52656.9,15.5
52657.8,15.3
52662.0,15.1
52664.0,15.1
52667.0,15.1
52670.8,15.4
52671.0,15.1
52672.0,15.1
52673.8,15.3
52678.9,15.4
52679.8,15.2
52680.8,15.4
52681.8,15.6
52684.2,15.2
52692.8,15.3
52697.0,15.1
52698.6,15.6
52699.0,15.1
52701.8,15.4
52718.7,15.1
52720.7,15.3
52725.7,15.2
52726.7,15.6
52733.7,15.3
52737.7,15.4
52739.0,15.1
52739.6,15.3
52745.6,15.6
52745.7,15.3
52747.6,15.8
52747.6,15.8
52749.7,15.3
52750.9,15.0
52752.9,15.1
52754.9,15.1
52755.9,15.1
52757.0,15.0
52757.9,15.0
52758.9,15.0
52762.9,15.1
52765.9,15.1
52784.0,14.8
52784.9,15.1
52785.9,15.1
52786.9,15.0
52788.6,15.8
52789.9,15.0
52789.9,15.2
52948.2,15.2
52962.1,15.2
52973.9,15.5
52976.0,15.3
52979.8,15.3
52984.8,15.4
52987.4,15.1
52988.0,15.2
52992.8,15.3
52993.9,15.3
52993.9,15.5
52994.0,15.3
52994.9,15.4
52994.9,15.6
52997.0,15.2
52997.9,15.4
52998.0,15.1
53000.8,15.4
53001.0,15.2
53002.1,15.1
53003.8,15.3
53006.0,15.2
53013.9,15.4
53014.9,15.3
53015.9,15.3
53015.9,15.5
53016.0,15.1
53016.8,15.3
53017.0,15.0
53018.9,15.4
53019.0,15.0
53020.0,15.0
53023.0,15.0
53026.0,15.1
53026.9,15.4
53042.8,15.3
53044.9,15.3
53045.0,15.2
53046.8,15.4
53048.0,15.2
53049.0,15.1
53052.0,15.1
53053.0,15.0
53053.0,15.1
53054.0,15.1
53054.8,15.4
53054.8,15.5
53055.0,15.2
53056.0,15.1
53059.0,15.0
53061.0,15.2
53063.0,15.2
53066.0,15.1
53071.8,15.3
53072.8,15.4
53074.8,15.3
53074.9,15.1
53075.7,15.3
53075.9,15.0
53076.9,15.2
53079.9,15.3
53081.9,15.2
53082.9,15.1
53084.0,15.1
53085.9,15.2
53086.9,15.1
53087.9,15.1
53087.9,15.2
53088.2,15.1
53088.9,15.3
53090.1,15.1
53092.0,15.2
53095.6,15.3
53103.7,15.3
53105.7,15.2
53109.6,15.3
53109.6,15.3
53109.6,15.5
53109.7,15.4
53111.0,15.1
53112.0,14.8
53112.0,15.0
53112.9,15.2
53115.7,15.5
53115.9,15.2
53118.7,15.3
53119.9,15.1
53123.7,15.4
53131.7,15.2
53134.9,15.2
53135.9,15.0
53137.0,15.2
53137.9,15.2
53138.0,15.1
53138.9,15.0
53139.9,15.0
53140.9,15.0
53146.9,15.2
53147.9,15.1
53162.9,15.2
53163.9,15.2
53167.9,15.2
53172.9,15.2
53190.9,15.2
53297.2,15.2
53299.2,15.2
53315.9,15.6
53324.1,15.2
53326.1,15.4
53330.2,15.3
53342.0,15.3
53344.0,15.3
53351.9,15.6
53355.0,15.3
53359.8,15.5
53369.0,15.3
53371.0,15.3
53372.0,15.3
53373.0,15.4
53376.0,15.2
53378.0,15.3
53379.0,15.4
53379.8,15.6
53381.0,15.3
53383.0,15.1
53383.0,15.3
53384.0,15.4
53387.8,15.5
53401.0,15.3
53402.0,15.4
53412.6,15.7
53414.0,15.4
53415.0,15.2
53415.0,15.3
53419.2,15.3
53428.9,15.3
53429.9,15.3
53430.6,15.6
53432.9,15.2
53434.8,15.9
53436.1,15.3
53439.0,15.2
53440.2,15.2
53440.6,15.7
53441.0,15.2
53442.0,15.2
53442.8,15.7
53442.9,15.2
53443.7,15.6
53444.9,15.3
53447.1,15.0
53449.1,15.2
53450.0,15.2
53459.9,15.2
53460.6,15.4
53465.0,15.0
53466.0,15.1
53467.1,15.3
53468.6,15.6
53469.0,15.2
53470.0,15.3
53472.0,15.0
53472.6,15.5
53474.0,15.2
53475.0,15.0
53484.7,16.0
53488.6,15.6
53492.0,15.3
53492.6,15.5
53496.6,15.7
53497.9,15.2
53499.0,15.3
53499.9,15.3
