C.D.S.  -  SIMBAD4 rel 1.7  -  2021.11.16CET18:50:31

otype="BY*" & dec >-10 & Rmag >14 & Rmag< 17
--------------------------------------------

Number of objects : 77

# 	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
--	-----------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
42	Cl* NGC 6819 SHLP 26924            	BY*	19 40 42.10 +40 22 21.5                	     ~	     ~	17.500	16.600	     ~	~              	   1	   0
43	Cl* NGC 6819 SHLP 27704            	BY*	19 40 32.0256828807 +40 26 03.644352417	     ~	     ~	17.400	16.840	     ~	~              	   1	   0
44	HAT 192-04547                      	BY*	16 12 12.9668282487 +34 14 16.464340464	     ~	15.59 	14.29 	14.16 	     ~	~              	   2	   0
45	1SWASP J171733.62+495515.7         	BY*	17 17 33.6088668295 +49 55 15.506457812	     ~	14.76 	13.87 	14.04 	     ~	~              	   1	   0
46	1SWASP J172524.34+504212.2         	BY*	17 25 24.3362145049 +50 42 12.067054338	     ~	16.03 	14.65 	14.80 	     ~	~              	   1	   0
47	1SWASP J180859.30+454910.7         	BY*	18 08 59.2875131271 +45 49 10.482331126	     ~	15.61 	14.70 	14.31 	     ~	~              	   2	   0
48	V* V763 Cep                        	BY*	00 39 05.8798491639 +85 18 39.425564038	17.231	16.978	16.239	15.795	15.374	~              	   9	   0
49	V* V779 Cep                        	BY*	00 49 36.4674670183 +85 06 26.166273591	18.000	17.571	16.767	16.250	15.819	~              	   7	   0
50	V* V788 Cep                        	BY*	00 55 43.5976399382 +85 24 00.877742380	17.186	17.005	16.168	15.658	15.188	~              	   4	   0
51	V* V691 Aur                        	BY*	05 06 29.368944 +35 51 06.29424        	     ~	16.64 	14.97 	14.67 	     ~	~              	   1	   0
52	V* V692 Aur                        	BY*	05 06 49.0545885471 +35 42 27.580210055	     ~	16.01 	14.71 	14.51 	     ~	~              	   1	   0
53	V* V669 Aur                        	BY*	05 03 09.7147116174 +36 19 30.645226693	     ~	16.86 	15.90 	15.69 	     ~	~              	   1	   0
54	V* KP Psc                          	BY*	01 18 16.7484482070 +30 18 35.118252301	     ~	15.28 	14.35 	14.19 	     ~	~              	   1	   0
55	V* V762 Per                        	BY*	02 40 05.9834541398 +42 38 57.450738133	     ~	     ~	     ~	14.89 	     ~	~              	   4	   0
56	V* V765 Per                        	BY*	02 40 19.3177077958 +42 36 12.967577996	     ~	     ~	     ~	16.25 	     ~	~              	   4	   0
57	V* V768 Per                        	BY*	02 40 26.7146952281 +42 40 15.630370168	     ~	     ~	     ~	16.15 	     ~	~              	   4	   0
58	V* V771 Per                        	BY*	02 40 30.8165315207 +42 36 25.038991426	     ~	     ~	14.86 	15.06 	     ~	~              	   4	   0
59	V* V774 Per                        	BY*	02 40 42.7868497557 +42 38 59.183711117	     ~	17.981	16.639	16.27 	15.039	~              	   7	   0
60	V* V775 Per                        	BY*	02 40 48.5370064877 +42 39 25.791693280	     ~	16.97 	15.88 	15.40 	14.516	~              	   5	   0
61	V* V776 Per                        	BY*	02 40 48.9059408609 +42 30 34.140954102	     ~	     ~	     ~	14.17 	     ~	~              	   4	   0
62	V* V777 Per                        	BY*	02 40 49.0918026960 +42 48 20.466539842	     ~	17.957	16.604	16.20 	15.054	~              	   6	   0
63	V* V806 Per                        	BY*	02 41 46.3663211255 +42 32 31.932770992	     ~	17.65 	16.48 	15.65 	14.843	~              	   5	   0
64	V* V813 Per                        	BY*	02 41 53.2453209361 +42 35 26.294769082	     ~	17.519	16.294	15.59 	14.660	~              	   5	   0
65	V* V819 Per                        	BY*	02 41 55.9445991602 +42 58 30.718379003	     ~	17.36 	16.05 	15.89 	     ~	~              	   5	   0
66	V* V827 Per                        	BY*	02 42 10.3022125865 +42 34 50.204506286	     ~	     ~	     ~	15.99 	     ~	~              	   4	   0
67	V* V831 Per                        	BY*	02 42 11.6698080004 +42 31 17.874067384	     ~	     ~	     ~	16.01 	     ~	~              	   4	   0
68	V* V484 UMa                        	BY*	11 54 14.0325432872 +52 19 21.792698559	     ~	15.66 	14.55 	14.24 	     ~	~              	   1	   0
69	V* V487 Dra                        	BY*	16 17 59.5295058852 +67 55 35.958525211	     ~	15.23 	14.13 	14.02 	     ~	~              	   0	   0
70	V* V535 Lac                        	BY*	22 45 38.0749875766 +51 45 01.212995497	     ~	     ~	     ~	15.76 	     ~	~              	   1	   0
71	V* V578 Lac                        	BY*	22 50 26.0679616044 +51 50 15.776104559	     ~	16.08 	14.80 	14.40 	     ~	~              	   0	   0
72	V* V592 Lac                        	BY*	22 51 34.4779818416 +51 01 46.378168847	     ~	15.87 	14.70 	14.55 	     ~	~              	   0	   0
73	V* V621 Lac                        	BY*	22 54 43.9455799584 +52 10 54.617249500	     ~	15.85 	14.72 	14.53 	     ~	~              	   0	   0
74	V* V648 Lac                        	BY*	22 56 44.3863249025 +53 07 52.453314774	     ~	16.25 	15.09 	14.96 	     ~	~              	   0	   0
75	V* MX Lyn                          	BY*	09 04 21.0455714800 +41 55 12.813066980	     ~	15.31 	14.59 	14.80 	     ~	~              	   0	   0
76	V* V815 Lyr                        	BY*	19 24 10.5318583028 +42 07 42.409771132	     ~	15.76 	14.80 	14.23 	     ~	~              	   0	   0
77	V* V489 UMa                        	BY*	12 00 01.6249851669 +56 13 54.420052454	     ~	16.41 	15.14 	14.80 	     ~	~              	   1	   0
================================================================================
