Wavelength,Flux,,Flux
5115,4.00E-14,1.00E+14,4.00E+00
5125,3.99E-14,1.00E+14,3.99E+00
5135,3.99E-14,1.00E+14,3.99E+00
5145,4.00E-14,1.00E+14,4.00E+00
5155,4.07E-14,1.00E+14,4.07E+00
5165,4.06E-14,1.00E+14,4.06E+00
5175,4.04E-14,1.00E+14,4.04E+00
5185,4.00E-14,1.00E+14,4.00E+00
5195,4.04E-14,1.00E+14,4.04E+00
5205,3.98E-14,1.00E+14,3.98E+00
5215,3.98E-14,1.00E+14,3.98E+00
5225,4.01E-14,1.00E+14,4.01E+00
5235,3.98E-14,1.00E+14,3.98E+00
5245,3.92E-14,1.00E+14,3.92E+00
5255,3.93E-14,1.00E+14,3.93E+00
5265,3.92E-14,1.00E+14,3.92E+00
5275,3.89E-14,1.00E+14,3.89E+00
5285,3.79E-14,1.00E+14,3.79E+00
5295,3.71E-14,1.00E+14,3.71E+00
5305,3.71E-14,1.00E+14,3.71E+00
5315,3.65E-14,1.00E+14,3.65E+00
5325,3.64E-14,1.00E+14,3.64E+00
5335,3.56E-14,1.00E+14,3.56E+00
5345,3.51E-14,1.00E+14,3.51E+00
5355,3.54E-14,1.00E+14,3.54E+00
5365,3.46E-14,1.00E+14,3.46E+00
5375,3.51E-14,1.00E+14,3.51E+00
5385,3.50E-14,1.00E+14,3.50E+00
5395,3.57E-14,1.00E+14,3.57E+00
5405,3.53E-14,1.00E+14,3.53E+00
5415,3.50E-14,1.00E+14,3.50E+00
5425,3.39E-14,1.00E+14,3.39E+00
5435,3.37E-14,1.00E+14,3.37E+00
5445,3.42E-14,1.00E+14,3.42E+00
5455,3.33E-14,1.00E+14,3.33E+00
5465,3.33E-14,1.00E+14,3.33E+00
5475,3.33E-14,1.00E+14,3.33E+00
5485,3.29E-14,1.00E+14,3.29E+00
5495,3.29E-14,1.00E+14,3.29E+00
5505,3.24E-14,1.00E+14,3.24E+00
5515,3.22E-14,1.00E+14,3.22E+00
5525,3.16E-14,1.00E+14,3.16E+00
5535,3.15E-14,1.00E+14,3.15E+00
5545,3.21E-14,1.00E+14,3.21E+00
5555,3.17E-14,1.00E+14,3.17E+00
5565,3.29E-14,1.00E+14,3.29E+00
5575,3.27E-14,1.00E+14,3.27E+00
5585,3.23E-14,1.00E+14,3.23E+00
5595,3.28E-14,1.00E+14,3.28E+00
5605,3.30E-14,1.00E+14,3.30E+00
5615,3.26E-14,1.00E+14,3.26E+00
5625,3.25E-14,1.00E+14,3.25E+00
5635,3.20E-14,1.00E+14,3.20E+00
5645,3.19E-14,1.00E+14,3.19E+00
5655,3.17E-14,1.00E+14,3.17E+00
5665,3.14E-14,1.00E+14,3.14E+00
5675,3.06E-14,1.00E+14,3.06E+00
5685,3.03E-14,1.00E+14,3.03E+00
5695,3.05E-14,1.00E+14,3.05E+00
5705,3.03E-14,1.00E+14,3.03E+00
5715,2.95E-14,1.00E+14,2.95E+00
5725,3.01E-14,1.00E+14,3.01E+00
5735,3.01E-14,1.00E+14,3.01E+00
5745,3.08E-14,1.00E+14,3.08E+00
5755,3.18E-14,1.00E+14,3.18E+00
5765,3.18E-14,1.00E+14,3.18E+00
5775,3.18E-14,1.00E+14,3.18E+00
5785,3.29E-14,1.00E+14,3.29E+00
5795,3.30E-14,1.00E+14,3.30E+00
5805,3.32E-14,1.00E+14,3.32E+00
5815,3.40E-14,1.00E+14,3.40E+00
5825,3.38E-14,1.00E+14,3.38E+00
5835,3.37E-14,1.00E+14,3.37E+00
5845,3.47E-14,1.00E+14,3.47E+00
5855,3.40E-14,1.00E+14,3.40E+00
5865,3.46E-14,1.00E+14,3.46E+00
5875,3.39E-14,1.00E+14,3.39E+00
5885,3.32E-14,1.00E+14,3.32E+00
5895,3.14E-14,1.00E+14,3.14E+00
5905,3.21E-14,1.00E+14,3.21E+00
5915,3.16E-14,1.00E+14,3.16E+00
5925,3.16E-14,1.00E+14,3.16E+00
5935,3.16E-14,1.00E+14,3.16E+00
5945,3.07E-14,1.00E+14,3.07E+00
5955,3.09E-14,1.00E+14,3.09E+00
5965,3.05E-14,1.00E+14,3.05E+00
5975,3.01E-14,1.00E+14,3.01E+00
5985,3.00E-14,1.00E+14,3.00E+00
5995,3.00E-14,1.00E+14,3.00E+00
6005,2.99E-14,1.00E+14,2.99E+00
6015,2.90E-14,1.00E+14,2.90E+00
6025,2.89E-14,1.00E+14,2.89E+00
6035,2.89E-14,1.00E+14,2.89E+00
6045,2.88E-14,1.00E+14,2.88E+00
6055,2.86E-14,1.00E+14,2.86E+00
6065,2.85E-14,1.00E+14,2.85E+00
6075,2.86E-14,1.00E+14,2.86E+00
6085,2.79E-14,1.00E+14,2.79E+00
6095,2.74E-14,1.00E+14,2.74E+00
6105,2.76E-14,1.00E+14,2.76E+00
6115,2.72E-14,1.00E+14,2.72E+00
6125,2.65E-14,1.00E+14,2.65E+00
6135,2.58E-14,1.00E+14,2.58E+00
6145,2.46E-14,1.00E+14,2.46E+00
6155,2.40E-14,1.00E+14,2.40E+00
6165,2.37E-14,1.00E+14,2.37E+00
6175,2.31E-14,1.00E+14,2.31E+00
6185,2.30E-14,1.00E+14,2.30E+00
6195,2.27E-14,1.00E+14,2.27E+00
6205,2.31E-14,1.00E+14,2.31E+00
6215,2.32E-14,1.00E+14,2.32E+00
6225,2.36E-14,1.00E+14,2.36E+00
6235,2.38E-14,1.00E+14,2.38E+00
6245,2.45E-14,1.00E+14,2.45E+00
6255,2.53E-14,1.00E+14,2.53E+00
6265,2.57E-14,1.00E+14,2.57E+00
6275,2.51E-14,1.00E+14,2.51E+00
6285,2.59E-14,1.00E+14,2.59E+00
6295,2.59E-14,1.00E+14,2.59E+00
6305,2.56E-14,1.00E+14,2.56E+00
6315,2.55E-14,1.00E+14,2.55E+00
6325,2.49E-14,1.00E+14,2.49E+00
6335,2.44E-14,1.00E+14,2.44E+00
6345,2.41E-14,1.00E+14,2.41E+00
6355,2.44E-14,1.00E+14,2.44E+00
6365,2.47E-14,1.00E+14,2.47E+00
6375,2.47E-14,1.00E+14,2.47E+00
6385,2.57E-14,1.00E+14,2.57E+00
6395,2.60E-14,1.00E+14,2.60E+00
6405,2.68E-14,1.00E+14,2.68E+00
6415,2.77E-14,1.00E+14,2.77E+00
6425,2.89E-14,1.00E+14,2.89E+00
6435,2.96E-14,1.00E+14,2.96E+00
6445,3.12E-14,1.00E+14,3.12E+00
6455,3.31E-14,1.00E+14,3.31E+00
6465,3.34E-14,1.00E+14,3.34E+00
6475,3.36E-14,1.00E+14,3.36E+00
6485,3.40E-14,1.00E+14,3.40E+00
6495,3.47E-14,1.00E+14,3.47E+00
6505,3.44E-14,1.00E+14,3.44E+00
6515,3.39E-14,1.00E+14,3.39E+00
6525,3.34E-14,1.00E+14,3.34E+00
6535,3.30E-14,1.00E+14,3.30E+00
6545,3.18E-14,1.00E+14,3.18E+00
6555,3.18E-14,1.00E+14,3.18E+00
6565,3.17E-14,1.00E+14,3.17E+00
6575,3.11E-14,1.00E+14,3.11E+00
6585,3.11E-14,1.00E+14,3.11E+00
6595,3.09E-14,1.00E+14,3.09E+00
6605,3.06E-14,1.00E+14,3.06E+00
6615,3.03E-14,1.00E+14,3.03E+00
6625,2.95E-14,1.00E+14,2.95E+00
6635,2.96E-14,1.00E+14,2.96E+00
6645,2.87E-14,1.00E+14,2.87E+00
6655,2.81E-14,1.00E+14,2.81E+00
6665,2.76E-14,1.00E+14,2.76E+00
6675,2.81E-14,1.00E+14,2.81E+00
6685,2.77E-14,1.00E+14,2.77E+00
6695,2.71E-14,1.00E+14,2.71E+00
6705,2.68E-14,1.00E+14,2.68E+00
6715,2.68E-14,1.00E+14,2.68E+00
6725,2.62E-14,1.00E+14,2.62E+00
6735,2.56E-14,1.00E+14,2.56E+00
6745,2.56E-14,1.00E+14,2.56E+00
6755,2.56E-14,1.00E+14,2.56E+00
6765,2.45E-14,1.00E+14,2.45E+00
6775,2.40E-14,1.00E+14,2.40E+00
6785,2.43E-14,1.00E+14,2.43E+00
6795,2.36E-14,1.00E+14,2.36E+00
6805,2.29E-14,1.00E+14,2.29E+00
6815,2.28E-14,1.00E+14,2.28E+00
6825,2.27E-14,1.00E+14,2.27E+00
6835,2.21E-14,1.00E+14,2.21E+00
6845,2.18E-14,1.00E+14,2.18E+00
6855,2.15E-14,1.00E+14,2.15E+00
6865,1.95E-14,1.00E+14,1.95E+00
6875,1.97E-14,1.00E+14,1.97E+00
6885,2.04E-14,1.00E+14,2.04E+00
6895,2.02E-14,1.00E+14,2.02E+00
6905,2.05E-14,1.00E+14,2.05E+00
6915,2.05E-14,1.00E+14,2.05E+00
6925,2.05E-14,1.00E+14,2.05E+00
6935,1.99E-14,1.00E+14,1.99E+00
6945,2.06E-14,1.00E+14,2.06E+00
6955,2.04E-14,1.00E+14,2.04E+00
6965,2.01E-14,1.00E+14,2.01E+00
6975,1.99E-14,1.00E+14,1.99E+00
6985,2.00E-14,1.00E+14,2.00E+00
6995,2.03E-14,1.00E+14,2.03E+00
7005,1.97E-14,1.00E+14,1.97E+00
7015,1.95E-14,1.00E+14,1.95E+00
7025,1.95E-14,1.00E+14,1.95E+00
7035,1.97E-14,1.00E+14,1.97E+00
7045,1.96E-14,1.00E+14,1.96E+00
7055,1.92E-14,1.00E+14,1.92E+00
7065,1.88E-14,1.00E+14,1.88E+00
7075,1.91E-14,1.00E+14,1.91E+00
7085,1.89E-14,1.00E+14,1.89E+00
7095,1.88E-14,1.00E+14,1.88E+00
7105,1.85E-14,1.00E+14,1.85E+00
7115,1.89E-14,1.00E+14,1.89E+00
7125,1.89E-14,1.00E+14,1.89E+00
7135,1.89E-14,1.00E+14,1.89E+00
7145,1.89E-14,1.00E+14,1.89E+00
7155,1.91E-14,1.00E+14,1.91E+00
7165,1.88E-14,1.00E+14,1.88E+00
7175,1.80E-14,1.00E+14,1.80E+00
7185,1.77E-14,1.00E+14,1.77E+00
