# delta T(ms), flux(Jy)
31.3868,0.8467
32.5712,-0.2655
33.7556,-0.3557
34.9400,-0.4892
36.1244,0.4586
37.3088,-0.1805
38.4932,0.1654
39.6776,-0.9486
40.8620,-0.9012
42.0465,-0.4734
43.2309,-0.2022
44.4153,-0.3581
45.5997,-1.2535
46.7841,-1.3495
47.9685,0.6976
49.1529,-0.1005
50.3373,-0.2246
51.5217,-0.5531
52.7061,0.5810
53.8905,0.3537
55.0749,-0.2143
56.2593,-0.4093
57.4437,-1.1266
58.6281,-0.0166
59.8126,-0.3325
60.9970,0.0081
62.1814,-0.3340
63.3658,-0.1602
64.5502,0.3379
65.7346,-0.5114
66.9190,-0.9256
68.1034,-0.2619
69.2878,-0.5032
70.4722,-0.5112
71.6566,1.5401
72.8410,-0.0473
74.0254,-0.5642
75.2098,-1.3044
76.3943,-0.9974
77.5787,-1.0840
78.7631,0.2797
79.9475,0.7887
81.1319,-0.0712
82.3163,-0.7324
83.5007,-0.3310
84.6851,0.0225
85.8695,-0.1327
87.0539,-0.7208
88.2383,-0.2610
89.4227,-0.8511
90.6071,0.5270
91.7915,-0.2727
92.9760,0.4125
94.1604,-1.5530
95.3448,-0.8206
96.5292,0.5751
97.7136,0.2497
98.8980,-0.7807
100.0824,-0.6723
101.2668,-0.8951
102.4512,-0.6550
103.6356,1.2370
104.8200,0.8002
106.0044,0.3805
107.1888,-0.1520
108.3732,1.5208
109.5577,0.2388
110.7421,-0.4039
111.9265,0.4819
113.1109,0.3832
114.2953,0.2021
115.4797,-0.7768
116.6641,-0.5327
117.8485,-0.4170
119.0329,0.0583
120.2173,-0.2734
121.4017,2.4047
122.5861,-1.3105
123.7705,-0.4426
124.9549,-0.1144
126.1394,-0.6661
127.3238,-0.2340
128.5082,-0.9672
129.6926,-0.6003
130.8770,0.3180
132.0614,-0.4530
133.2458,-0.2920
134.4302,-0.7939
135.6146,0.8937
136.7990,0.1304
137.9834,0.0727
139.1678,0.4445
140.3522,-0.0945
141.5366,0.5070
142.7210,-0.0477
143.9055,-1.0692
145.0899,-0.3370
146.2743,-1.0392
147.4587,-0.1456
148.6431,-0.2147
149.8275,-1.5828
151.0119,1.3143
152.1963,-0.5886
153.3807,0.3087
154.5651,-0.4992
155.7495,-0.4871
156.9339,-1.2027
158.1183,-0.2672
159.3027,1.1071
160.4872,-1.0180
161.6716,-0.1994
162.8560,0.6913
164.0404,0.2423
165.2248,0.0311
166.4092,-0.7088
167.5936,0.4538
168.7780,-0.5197
169.9624,0.2374
171.1468,0.0377
172.3312,0.6677
173.5156,-0.1651
174.7000,-0.2764
175.8844,0.1587
177.0689,-1.2342
178.2533,-0.1082
179.4377,-0.4686
180.6221,-0.3795
181.8065,0.6007
182.9909,-0.1540
184.1753,0.7398
185.3597,-1.2425
186.5441,-0.0450
187.7285,0.6136
188.9129,-0.1000
190.0973,0.4719
191.2817,-0.0603
192.4661,-1.6343
193.6506,0.2530
194.8350,-0.2020
196.0194,0.2698
197.2038,-0.8454
198.3882,-0.5146
199.5726,0.7089
200.7570,-0.1994
201.9414,0.2521
203.1258,-0.1073
204.3102,-0.1773
205.4946,0.5227
206.6790,-0.2410
207.8634,-0.5441
209.0478,-1.1181
210.2323,-0.4661
211.4167,-0.1705
212.6011,-0.0869
213.7855,-0.0071
214.9699,0.6056
216.1543,-0.8480
217.3387,0.2499
218.5231,0.4958
219.7075,-1.7886
220.8919,-0.7013
222.0763,-0.0608
223.2607,0.5165
224.4451,-0.2628
225.6295,-0.3034
226.8139,-0.4298
227.9984,-0.1244
229.1828,0.2049
230.3672,-0.1307
231.5516,0.5655
232.7360,-0.5308
233.9204,1.1648
235.1048,0.6979
236.2892,0.3855
237.4736,-0.7614
238.6580,-0.8426
239.8424,-0.1922
241.0268,0.3172
242.2112,0.3508
243.3956,0.5679
244.5801,-0.5713
245.7645,-0.4649
246.9489,-0.6474
248.1333,0.0625
249.3177,0.4849
250.5021,-0.7587
251.6865,-0.5030
252.8709,-0.9828
254.0553,0.6820
255.2397,-0.4321
256.4241,-1.0820
257.6085,-0.9413
258.7929,0.2370
259.9773,0.5779
261.1618,-0.7154
262.3462,-0.3320
263.5306,-0.6151
264.7150,0.2812
265.8994,-1.2987
267.0838,-0.3194
268.2682,1.1365
269.4526,0.4392
270.6370,-0.1355
271.8214,-0.4103
273.0058,0.7511
274.1902,0.5715
275.3746,-1.0162
276.5590,-0.4925
277.7435,0.2729
278.9279,-0.1547
280.1123,0.4901
281.2967,-0.4152
282.4811,0.0000
283.6655,-0.7025
284.8499,-0.9491
286.0343,-0.7231
287.2187,1.4084
288.4031,0.6473
289.5875,1.1335
290.7719,-1.5017
291.9563,0.8526
293.1407,-0.1422
294.3252,-0.4644
295.5096,-0.3247
296.6940,0.0264
297.8784,-0.5495
299.0628,0.7301
300.2472,0.3369
301.4316,-0.2185
302.6160,-0.1905
