Seconds,Flux
5.0,-0.02263829
15.0,-0.020859975
25.0,-0.020775365
35.0,-0.017773900000000002
45.0,-0.025187105
55.0,-0.020310324999999997
65.0,-0.010855455
75.0,-0.009894364999999999
85.0,-0.010978085
95.0,-0.0018851500000000002
105.0,0.007600569999999999
115.0,0.02025803
125.0,0.027171439999999998
135.0,0.03857181
145.0,0.023772255
155.0,0.027665905
165.0,0.036022465000000004
175.0,0.03569416
185.0,0.026846035
195.0,0.01869989
205.0,0.00794827
215.0,0.007536310000000001
225.0,-0.00047262
235.0,-0.0030702349999999997
245.0,-0.01426005
255.0,-0.022766345
265.0,-0.023184339999999998
275.0,-0.034878690000000004
285.0,-0.037067779999999995
295.0,-0.029228455
305.0,-0.040744045000000007
315.0,-0.034252045
325.0,-0.02325261
335.0,-0.024334325
345.0,-0.02078125
355.0,-0.01657562
365.0,-0.00010768499999999994
375.0,0.01894743
385.0,0.03730427
395.0,0.032321605
405.0,0.03841125
415.0,0.043314605
425.0,0.038994379999999995
435.0,0.029528810000000003
445.0,0.018002805
455.0,0.011411405
465.0,0.01753795
475.0,0.006671665
485.0,-0.0018940749999999998
495.0,-0.01198984
505.0,-0.017577415
515.0,-0.035040695
525.0,-0.02230392
535.0,-0.025239925
545.0,-0.025818575
555.0,-0.01619425
565.0,-0.02901251
575.0,-0.01728362
585.0,-0.011439465
595.0,-0.014255165
605.0,-0.01672384
615.0,-0.000257665
625.0,-0.0063374550000000005
635.0,-0.00043288000000000007
645.0,-0.00212996
655.0,0.009873924999999999
665.0,0.010822604999999999
675.0,0.017038245
685.0,0.02819545
695.0,0.031281915
705.0,0.028010550000000002
715.0,0.026708085
725.0,0.02590862
735.0,0.02062244
745.0,0.016017999999999998
755.0,0.012451485
765.0,0.006436570000000001
775.0,-0.001960175
785.0,0.004286005
795.0,0.002441485
805.0,-0.00028788999999999985
815.0,-0.01541149
825.0,-0.01366582
835.0,-0.019675445
845.0,-0.02362778
855.0,-0.02659551
865.0,-0.027711479999999997
875.0,-0.020063265
885.0,-0.02121026
895.0,-0.019712765
905.0,-0.008642529999999999
915.0,-0.0151787
925.0,-0.00724577
935.0,0.005421445
945.0,0.01108347
955.0,0.02076588
965.0,0.034475889999999995
975.0,0.035304145
985.0,0.023876015
995.0,0.021696515
1005.0,0.020419180000000002
1015.0,0.010672275
1025.0,0.013042874999999999
1035.0,0.009465355000000002
1045.0,0.000507715
1055.0,-0.009257405
1065.0,-0.008773949999999999
1075.0,-0.01512583
1085.0,-0.017226345
1095.0,-0.021942475
1105.0,-0.015861995
1115.0,-0.014019355
1125.0,-0.02204368
1135.0,-0.015400545
1145.0,-0.0142831
1155.0,-0.014466989999999999
1165.0,-0.0041895299999999995
1175.0,-0.002404735
1185.0,-0.0010861900000000001
1195.0,0.011526555
1205.0,0.011216325
1215.0,0.024413209999999998
1225.0,0.020907565
1235.0,0.020780680000000003
1245.0,0.013949145
1255.0,0.005172055
1265.0,-0.0069754
1275.0,0.0012473200000000001
1285.0,0.003093585
1295.0,-0.000708165
1305.0,-0.00187719
1315.0,-0.0018854100000000001
1325.0,-0.0011931900000000002
1335.0,-0.00336621
1345.0,-0.002357505
1355.0,-0.00602269
1365.0,0.00117819
1375.0,0.0039664
1385.0,0.004915999999999999
1395.0,0.00234223
1405.0,-0.00471379
1415.0,0.0031543099999999996
1425.0,-0.006789975
1435.0,-0.005166775
1445.0,-0.004836905000000001
1455.0,0.0041705449999999995
1465.0,-0.002022515
1475.0,0.00507898
1485.0,0.00257582
1495.0,-0.006634265
1505.0,0.00351467
1515.0,-0.002650725
1525.0,-0.001140725
1535.0,0.0014128600000000002
1545.0,0.00720546
1555.0,0.004800935
1565.0,-0.00145771
1575.0,0.00150688
1585.0,-0.0025670050000000002
1595.0,0.001516555
1605.0,-0.004093775
1615.0,-0.0039694150000000004
1625.0,-0.01404012
1635.0,-0.012966835
1645.0,-0.011102325
1655.0,-0.017058459999999998
1665.0,-0.014288055000000001
1675.0,-0.015065605
1685.0,-0.007403679999999999
1695.0,-0.00593578
1705.0,-0.00219996
1715.0,-0.0007548149999999998
1725.0,0.008639415
1735.0,0.014117655
1745.0,0.010991705000000001
1755.0,0.0251105
1765.0,0.020007724999999997
1775.0,0.019573705
1785.0,0.018950175
1795.0,-0.0024358
1805.0,0.00728968
1815.0,0.012937475
1825.0,-0.001733545
1835.0,-0.003564445
1845.0,-0.004769875
1855.0,-0.012903920000000001
1865.0,-0.01359252
1875.0,-0.016186975
1885.0,-0.021192225
1895.0,-0.01593894
1905.0,-0.014659525
1915.0,-0.01047403
1925.0,-0.00657752
1935.0,-0.003102325
1945.0,0.0060944
1955.0,0.006426645
1965.0,0.012432144999999999
1975.0,0.022395514999999998
1985.0,0.026043035
1995.0,0.02905978
2005.0,0.01972577
2015.0,0.023534315
2025.0,0.018248635
2035.0,0.008896945
2045.0,0.006698460000000001
2055.0,0.004338835
2065.0,-0.003888745
2075.0,-0.00865201
2085.0,-0.008461585
2095.0,-0.013791285
2105.0,-0.00971953
2115.0,-0.022258189999999997
2125.0,-0.00842544
2135.0,-0.01061617
2145.0,-0.01703202
2155.0,-0.008383005
2165.0,-0.01092854
2175.0,-0.007561955
2185.0,-0.009009885
2195.0,-0.01202628
2205.0,-0.01380194
2215.0,-0.0032383299999999998
2225.0,0.004968705
2235.0,0.00807285
2245.0,0.009416965
2255.0,0.007322230000000001
2265.0,0.01455583
2275.0,0.01279577
2285.0,0.01259657
2295.0,0.01130629
2305.0,0.019807105
2315.0,0.01484303
2325.0,0.017087915000000002
2335.0,0.012483745000000001
2345.0,0.01848666
2355.0,0.012179395
2365.0,0.00629095
2375.0,0.00435052
2385.0,-0.008394519999999999
2395.0,-0.008095675
2405.0,-0.01092298
2415.0,-0.009281520000000001
2425.0,-0.013570374999999999
2435.0,-0.01090296
2445.0,-0.027480415
2455.0,-0.02190764
2465.0,-0.023311409999999998
2475.0,-0.018564845
2485.0,-0.013767385
2495.0,-0.020185255
2505.0,-0.004919895
2515.0,-0.0046921
2525.0,0.00618671
2535.0,0.016952235000000003
2545.0,0.022971685
2555.0,0.037283365
2565.0,0.030222279999999997
2575.0,0.03831358
2585.0,0.033784665000000005
2595.0,0.026973320000000002
2605.0,0.020612605
2615.0,0.019653805
2625.0,0.0052688100000000005
2635.0,0.0018853950000000002
2645.0,-0.00318688
2655.0,-0.006623525
2665.0,-0.011808454999999999
2675.0,-0.01547329
2685.0,-0.009789659999999999
2695.0,-0.02267536
2705.0,-0.026908975
2715.0,-0.02436142
2725.0,-0.01394829
2735.0,-0.02118367
2745.0,-0.02240464
2755.0,-0.022961895
2765.0,-0.009754765
2775.0,-0.013511275
2785.0,-0.00022573000000000008
