oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,phase
587104200017362,159539878,2459349.902922326,59349.3987847,14.972294807434082,0.011876452714204788,0,zg,263.4707595,16.9195138,0.5440000295639038,-0.03400000184774399,20210515398785,587,4,2,21.790000915527344,26.2855167388916,0.017313210293650627,-0.06617317348718643,5.292440619086847e-06,30.0,1.0379999876022339,1,0
587104200017362,159937386,2459353.878134538,59353.3738657,14.968703269958496,0.01187487319111824,0,zg,263.4707588,16.9195245,0.4830000102519989,-0.006000000052154064,20210519373854,587,4,2,21.059999465942383,26.268978118896484,0.018336810171604156,-0.04198706895112991,5.8468017414270435e-06,30.0,1.0509999990463257,1,0
587104200017362,160242246,2459356.9268222405,59356.4224653,15.082844734191895,0.011930791661143303,0,zg,263.4707511,16.9195195,0.7649999856948853,-0.04899999871850014,20210522422465,587,4,2,21.229999542236328,26.2761287689209,0.016814980655908585,-0.05131623148918152,4.857962721871445e-06,30.0,1.0399999618530273,1,0
587104200017362,160839488,2459362.8993816404,59362.3948843,14.989712715148926,0.011884286999702454,0,zg,263.4707428,16.9195173,0.45500001311302185,-0.004999999888241291,20210528394884,587,4,2,20.420000076293945,26.327388763427734,0.02239290066063404,-0.055612560361623764,8.546965545974672e-06,30.0,1.034000039100647,1,0
587104200017362,161231098,2459366.815549606,59366.3109838,15.11791706085205,0.01195041835308075,0,zg,263.4707588,16.91952,1.1030000448226929,-0.052000001072883606,20210601310984,587,4,2,21.56999969482422,26.243152618408203,0.016781607642769814,-0.04807009920477867,4.870604243478738e-06,30.0,1.0980000495910645,1,0
587104200017362,161435857,2459368.863170446,59368.3585764,15.049884796142578,0.01191342156380415,0,zg,263.470741,16.9195139,0.25600001215934753,-0.0,20210603358565,587,4,2,21.65999984741211,26.2784423828125,0.016809025779366493,-0.05535093694925308,5.025088285037782e-06,30.0,1.0329999923706055,1,0
587104200017362,161639363,2459370.898251187,59370.3936343,14.931354522705078,0.011859067715704441,0,zg,263.4707378,16.9195039,0.49000000953674316,0.028999999165534973,20210605393600,587,4,2,21.729999542236328,26.258909225463867,0.016341520473361015,-0.03800072520971298,4.547790013020858e-06,30.0,1.0490000247955322,1,0
587104200017362,162037731,2459374.881961262,59374.3773148,14.966045379638672,0.011873708106577396,0,zg,263.4707435,16.9195178,1.065000057220459,-0.017000000923871994,20210609377315,587,4,2,21.6299991607666,26.259958267211914,0.016264410689473152,-0.05063830316066742,4.596912731358316e-06,30.0,1.0440000295639038,1,0
587104200017362,162235769,2459376.862350468,59376.3576968,15.114374160766602,0.01194838061928749,0,zg,263.4707527,16.9195043,0.37700000405311584,0.01600000075995922,20210611357697,587,4,2,21.690000534057617,26.328414916992188,0.016168562695384026,-0.06682668626308441,4.592342975229258e-06,30.0,1.034000039100647,1,0
587104200017362,162435458,2459378.8592391764,59378.3545833,14.975465774536133,0.011877859942615032,0,zg,263.4707411,16.9195147,0.781000018119812,0.008999999612569809,20210613354572,587,4,2,21.610000610351562,26.337013244628906,0.016389722004532814,-0.06077263504266739,4.87013858219143e-06,30.0,1.034999966621399,1,0
587104200017362,162630962,2459380.8142827298,59380.3096296,14.977727890014648,0.011878869496285915,32768,zg,263.4707561,16.9195209,0.9330000281333923,-0.008999999612569809,20210615309618,587,4,2,19.950000762939453,24.87063980102539,0.03378656506538391,-0.03616686910390854,1.9465489458525553e-05,30.0,1.0420000553131104,1,0
587104200017362,163233976,2459386.8443827345,59386.3397685,14.980643272399902,0.011880176141858101,0,zg,263.4707429,16.9195159,0.9769999980926514,-0.04100000113248825,20210621339769,587,4,2,20.56999969482422,26.283967971801758,0.020470580086112022,-0.058769866824150085,7.300930064957356e-06,30.0,1.0399999618530273,1,0
587104200017362,163625468,2459390.75925218,59390.2546875,15.114335060119629,0.011948357336223125,0,zg,263.4707432,16.9195099,0.5139999985694885,-0.03799999877810478,20210625254676,587,4,2,20.040000915527344,26.318267822265625,0.026352744549512863,-0.058349914848804474,1.1698891285050195e-05,30.0,1.0789999961853027,1,0
587104200017362,163826928,2459392.7738142256,59392.2692824,15.007742881774902,0.01189267449080944,0,zg,263.4707411,16.9195181,0.6159999966621399,0.01600000075995922,20210627269271,587,4,2,20.670000076293945,26.28912925720215,0.020924435928463936,-0.058573655784130096,7.625472335348604e-06,30.0,1.0490000247955322,1,0
587104200017362,164527592,2459399.780305012,59399.2759259,15.135135650634766,0.011960495263338089,0,zg,263.4707476,16.9195083,0.609000027179718,0.02500000037252903,20210704275914,587,4,2,21.459999084472656,26.290754318237305,0.019340313971042633,-0.0790228471159935,6.79419008520199e-06,30.0,1.031999945640564,1,0
587104200017362,164726689,2459401.7712230836,59401.2668981,14.972090721130371,0.0118763642385602,0,zg,263.4707373,16.9195001,1.1109999418258667,-0.04899999871850014,20210706266898,587,4,2,21.360000610351562,26.315153121948242,0.01750916801393032,-0.06274272501468658,5.42540419701254e-06,30.0,1.0329999923706055,1,0
587104200017362,165132034,2459405.824547642,59405.3203472,14.998948097229004,0.01188854780048132,0,zg,263.4707,16.9194983,0.4519999921321869,0.0010000000474974513,20210710320336,587,4,2,20.989999771118164,26.143571853637695,0.02264988236129284,-0.019722910597920418,8.76928424986545e-06,30.0,1.0829999446868896,1,0
587104200017362,165531726,2459409.8213278293,59409.3172685,15.033590316772461,0.011905207298696041,0,zg,263.4707528,16.9194945,1.0679999589920044,-0.09600000083446503,20210714317222,587,4,2,21.260000228881836,26.087095260620117,0.01947675459086895,-0.053566623479127884,6.8406534410314634e-06,30.0,1.0989999771118164,1,0
587104200017362,165730042,2459411.8044109787,59411.3004282,15.014933586120605,0.011896101757884026,0,zg,263.4707343,16.9195037,0.8330000042915344,0.032999999821186066,20210716300428,587,4,2,21.309999465942383,26.00525665283203,0.018297825008630753,-0.05526385083794594,5.8891178014164325e-06,30.0,1.0759999752044678,1,0
587104200017362,166026486,2459414.768721633,59414.2648611,14.967621803283691,0.011874396353960037,0,zg,263.4707141,16.9194989,0.4620000123977661,0.041999999433755875,20210719264861,587,4,2,20.760000228881836,26.20229148864746,0.01972021535038948,-0.0437542088329792,6.930124982318375e-06,30.0,1.0410000085830688,1,0
