Modified Julian Day,Magnitude,mjd
58280.0,16.660583,58281.9446875
58284.0,16.621725,58286.4433218
58288.0,16.65846,58289.4349537
58292.0,16.661798,58293.94427665
58296.0,,
58300.0,16.63078,58301.4647801
58304.0,,
58308.0,,
58312.0,,
58316.0,16.652824,58318.4192593
58320.0,16.6565,58321.4395139
58324.0,16.644257,58327.4409144
58328.0,,
58332.0,16.654892,58333.4604051
58336.0,16.650837,58336.3298148
58340.0,16.660278,58342.4355787
58344.0,16.652103,58345.4144444
58348.0,16.65773,58351.4243287
58352.0,,
58356.0,,
58360.0,16.665585,58361.887641775
58364.0,16.65783,58366.3986458
58368.0,16.66262,58369.3262037
58372.0,16.659622,58373.8573264
58376.0,16.649082,58378.3393634
58380.0,16.63644,58382.3936111
58384.0,16.638763,58384.3266435
58388.0,16.649124,58389.01654706666
58392.0,,
58396.0,,
58400.0,,
58404.0,,
58408.0,,
58412.0,,
58416.0,,
58420.0,,
58424.0,16.618862,58425.1893403
58428.0,16.654083,58429.7063947
58432.0,16.618835,58434.1470139
58436.0,16.635094,58437.2359144
58440.0,16.660637,58443.3063079
58444.0,,
58448.0,,
58452.0,,
58456.0,,
58460.0,,
58464.0,,
58468.0,,
58472.0,,
58476.0,,
58480.0,16.646332,58482.1283333
58484.0,16.65897,58487.1283796
58488.0,16.654734,58491.1486227
58492.0,,
58496.0,,
58500.0,,
58504.0,16.589596,58505.1611227
58508.0,16.68817,58510.1301505
58512.0,,
58516.0,,
58520.0,,
58524.0,,
58528.0,,
58532.0,,
58536.0,,
58540.0,,
58544.0,,
58548.0,,
58552.0,,
58556.0,,
58560.0,,
58564.0,,
58568.0,,
58572.0,,
58576.0,,
58580.0,,
58584.0,,
58588.0,,
58592.0,,
58596.0,,
58600.0,,
58604.0,,
58608.0,,
58612.0,,
58616.0,,
58620.0,,
58624.0,,
58628.0,,
58632.0,,
58636.0,,
58640.0,,
58644.0,16.660633,58646.4477894
58648.0,,
58652.0,16.636467,58655.4793634
58656.0,,
58660.0,16.661781,58661.4764931
58664.0,16.688843,58667.458588
58668.0,16.699875,58670.440787
58672.0,16.693806,58673.4790278
58676.0,16.659103,58679.4450926
58680.0,,
58684.0,,
58688.0,16.711245,58690.478387333336
58692.0,16.690376,58694.4587384
58696.0,16.700226,58697.4609144
58700.0,16.699394,58700.4610417
58704.0,,
58708.0,16.726688,58709.4545486
58712.0,,
58716.0,16.726742,58718.4138889
58720.0,,
58724.0,16.78761,58725.9093345
58728.0,16.70037,58730.3265394
58732.0,16.728092,58733.370162
58736.0,16.744099,58736.4596991
58740.0,16.771538,58743.3791435
58744.0,16.748877,58746.3800347
58748.0,16.75761,58749.3177315
58752.0,16.78131,58754.2908565
58756.0,,
58760.0,16.754913,58761.8647454
58764.0,16.771217,58765.6623534
58768.0,,
58772.0,16.738785,58772.2770139
58776.0,,
58780.0,16.757824,58783.210544
58784.0,16.752468,58786.21078705
58788.0,16.774311,58789.2069676
58792.0,,
58796.0,16.766338,58797.209456
58800.0,16.777853,58801.68177665
58804.0,16.800875,58806.172662
58808.0,16.791245,58811.1705556
58812.0,16.834497,58814.1052199
58816.0,,
58820.0,16.77806,58820.1472917
58824.0,,
58828.0,16.802523,58828.0917245
58832.0,,
58836.0,,
58840.0,,
58844.0,,
58848.0,,
58852.0,16.78481,58852.1070255
58856.0,,
58860.0,16.8271,58863.1082407
58864.0,,
58868.0,,
58872.0,16.811108,58873.1080208
58876.0,,
58880.0,,
58884.0,,
58888.0,,
58892.0,,
58896.0,,
58900.0,,
58904.0,,
58908.0,,
58912.0,,
58916.0,,
58920.0,,
58924.0,,
58928.0,,
58932.0,,
58936.0,,
58940.0,,
58944.0,,
58948.0,,
58952.0,,
58956.0,,
58960.0,,
58964.0,,
58968.0,,
58972.0,,
58976.0,,
58980.0,,
58984.0,,
58988.0,,
58992.0,,
58996.0,,
59000.0,,
59004.0,,
59008.0,,
59012.0,,
59016.0,,
59020.0,,
59024.0,,
59028.0,,
59032.0,,
59036.0,16.755693,59036.4647801
59040.0,,
59044.0,16.709143,59045.9060301
59048.0,,
59052.0,,
59056.0,16.694382,59056.4396528
59060.0,16.678278,59060.4611806
59064.0,16.661598,59064.4781829
59068.0,16.62436,59071.4798727
59072.0,16.637316,59074.07152393333
59076.0,16.627235,59077.733464499994
59080.0,16.621262,59081.75425153333
59084.0,16.606997,59085.93691555
59088.0,16.599768,59090.11248265
59092.0,,
59096.0,,
59100.0,,
59104.0,16.557735,59107.3459606
59108.0,16.58247,59110.3303472
59112.0,16.584682,59113.3596065
59116.0,16.574375,59116.7884433
59120.0,16.561218,59120.82643515
59124.0,,
59128.0,16.57407,59129.2713426
59132.0,16.570381,59134.2527315
59136.0,16.560926,59137.231956
59140.0,16.574276,59140.2751273
59144.0,16.558823,59144.3186574
59148.0,,
59152.0,16.571562,59153.287332199994
59156.0,16.57087,59157.20653355
59160.0,,
59164.0,16.588531,59164.2537847
59168.0,16.574604,59170.23594905
59172.0,16.580925,59174.204305549996
59176.0,,
59180.0,16.577503,59181.1602373
59184.0,16.555412,59185.644566
59188.0,16.571686,59189.1321528
59192.0,16.586088,59193.18859955
59196.0,16.515297,59198.14925925
59200.0,16.550556,59202.1711574
59204.0,,
59208.0,16.600971,59211.1035069
59212.0,,
59216.0,16.55738,59216.1336921
59220.0,16.68313,59222.1375
59224.0,16.542782,59225.6297049
59228.0,16.618809,59230.1484722
59232.0,,
59236.0,,
59240.0,,
59244.0,,
59248.0,,
59252.0,,
59256.0,,
59260.0,,
59264.0,,
59268.0,,
59272.0,,
59276.0,,
59280.0,,
59284.0,,
59288.0,,
59292.0,,
59296.0,,
59300.0,,
59304.0,,
59308.0,,
59312.0,,
59316.0,,
59320.0,,
59324.0,,
59328.0,,
59332.0,,
59336.0,,
59340.0,,
59344.0,,
59348.0,,
59352.0,,
59356.0,,
59360.0,,
59364.0,,
59368.0,,
59372.0,,
59376.0,,
59380.0,16.583637,59382.4367245
59384.0,16.573694,59385.4348727
59388.0,16.602938,59390.4505324
59392.0,16.599722,59392.4517245
