hjd,camera,filter,mag,magerr,flux (mJy),flux err
2458196.737,bf,V,8.24,0.02,1939.915,35.694
2458370.91,bf,V,8.127,0.02,2153.225,39.619
2458041.827,bf,V,8.25,0.02,1922.488,35.374
2457457.578,bf,V,8.3,0.02,1835.947,33.781
2458179.507,bf,V,8.299,0.02,1837.041,33.802
2458036.874,bf,V,8.316,0.02,1808.976,33.285
2457456.501,bf,V,8.226,0.02,1965.872,36.172
2457453.729,bf,V,8.228,0.02,1962.236,36.105
2458229.668,bf,V,8.427,0.02,1633.122,30.049
2458178.688,bf,V,8.234,0.02,1950.889,35.896
2457701.761,bf,V,8.07,0.02,2268.977,41.749
2457798.807,bf,V,8.359,0.02,1738.775,31.993
2457806.771,bf,V,8.34,0.02,1769.802,32.564
2457850.476,bf,V,8.25,0.02,1923.396,35.39
2457836.492,bf,V,8.156,0.02,2096.027,38.567
2457423.711,bf,V,8.727,0.02,1239.363,22.804
2458375.896,bf,V,8.203,0.02,2008.477,36.956
2458222.688,bf,V,8.224,0.02,1969.476,36.238
2457689.79,bf,V,8.191,0.02,2030.929,37.369
2457670.842,bf,V,8.142,0.02,2123.867,39.079
2457778.73,bf,V,8.338,0.02,1773.405,32.631
2457775.819,bf,V,8.47,0.02,1569.743,28.883
2457768.794,bf,V,8.288,0.02,1856.109,34.152
2458095.757,bf,V,8.271,0.02,1886.358,34.709
2457480.706,bf,V,8.251,0.02,1920.441,35.336
2457437.826,bf,V,8.182,0.02,2046.528,37.656
2458371.906,bf,V,8.294,0.02,1846.167,33.969
2457479.48,bf,V,8.171,0.02,2067.216,38.037
2458209.543,bf,V,8.452,0.02,1596.409,29.374
2457421.542,bf,V,8.108,0.02,2190.388,40.303
2458159.642,bf,V,8.368,0.02,1724.598,31.733
2458244.628,bf,V,8.422,0.02,1640.55,30.186
2458216.567,bf,V,8.403,0.02,1670.506,30.737
2457757.612,bf,V,8.334,0.02,1778.972,32.733
2457833.599,bf,V,8.221,0.02,1973.98,36.321
2458183.627,bf,V,8.428,0.02,1631.618,30.022
2458007.903,bf,V,8.292,0.02,1849.899,34.038
2457756.608,bf,V,8.058,0.02,2294.917,42.226
2458022.878,bf,V,8.394,0.02,1683.726,30.981
2458369.913,bf,V,8.198,0.02,2017.196,37.116
2458191.775,bf,V,8.427,0.02,1634.137,30.068
2458175.627,bf,V,8.364,0.02,1731.332,31.857
2457913.514,bf,V,8.422,0.02,1641.482,30.203
2457478.586,bf,V,8.256,0.02,1912.705,35.194
