Phase,Magnitude
0.005,14.967508316040039
0.015,14.917116165161133
0.025,14.937683343887329
0.035,14.938317934672037
0.045,14.962271308898925
0.055,14.941062609354654
0.065,14.957361698150635
0.07500000000000001,14.931340217590332
0.08499999999999999,14.91276502609253
0.095,14.966927846272787
0.10500000000000001,14.871557474136353
0.11499999999999999,15.02410364151001
0.125,14.963866551717123
0.135,15.012714385986328
0.14500000000000002,14.972136974334717
0.155,14.994144439697266
0.165,15.062308311462402
0.175,14.98739496866862
0.185,15.052758932113647
0.195,15.041571617126465
0.20500000000000002,15.024062156677246
0.215,15.008835315704346
0.225,15.033595403035482
0.235,
0.245,15.029560089111328
0.255,15.01370620727539
0.265,15.042999585469564
0.275,15.017404874165853
0.28500000000000003,15.0602445602417
0.295,15.049143075942993
0.305,15.059180736541748
0.315,15.036894798278809
0.325,15.046738147735596
0.335,
0.34500000000000003,15.057404518127441
0.355,15.010311961174011
0.365,15.033237218856812
0.375,15.063950061798096
0.385,15.075589179992676
0.395,15.067354679107666
0.405,
0.41500000000000004,15.033185958862305
0.425,15.068516254425049
0.435,15.035255432128906
0.445,15.0686616897583
0.455,15.076208114624023
0.465,15.048017501831055
0.475,15.078965504964193
0.485,15.086747805277506
0.495,15.102573871612549
0.505,15.083260536193848
0.515,14.936445474624634
0.525,
0.535,15.035544713338217
0.545,15.039192199707031
0.555,15.075279235839844
0.5650000000000001,15.060585975646973
0.575,15.029532591501871
0.585,15.06185531616211
0.595,15.063278198242188
0.605,15.051288286844889
0.615,
0.625,14.997450351715088
0.635,15.018548011779785
0.645,14.806829452514648
0.655,15.044676303863525
0.665,14.474509239196777
0.675,14.995993614196777
0.685,15.040022532145182
0.6950000000000001,15.01698112487793
0.7050000000000001,14.874273300170898
0.715,14.962809801101685
0.725,15.04366397857666
0.735,15.013211568196615
0.745,15.006457805633545
0.755,15.008428891499838
0.765,14.99897289276123
0.775,15.026712417602539
0.785,14.961442708969116
0.795,
0.805,14.982574939727783
0.8150000000000001,14.989689826965332
0.8250000000000001,14.976949532826742
0.835,14.951264381408691
0.845,14.953170776367188
0.855,14.965017318725586
0.865,14.965869665145874
0.875,14.948017120361328
0.885,14.960020383199057
0.895,14.955781936645508
0.905,14.948721647262573
0.915,14.93830223083496
0.925,14.929764747619629
0.935,14.954804420471191
0.9450000000000001,14.920462290445963
0.9550000000000001,14.946295499801636
0.965,14.904613971710205
0.975,14.923685073852539
0.985,14.949064254760742
0.995,14.963159561157227
1.005,14.967508316040039
1.015,14.917116165161133
1.025,14.937683343887329
1.035,14.938317934672037
1.045,14.962271308898925
1.055,14.941062609354654
1.065,14.957361698150635
1.075,14.931340217590332
1.085,14.91276502609253
1.095,14.966927846272787
1.105,14.871557474136353
1.115,15.02410364151001
1.125,14.963866551717123
1.135,15.012714385986328
1.145,14.972136974334717
1.155,14.994144439697266
1.165,15.062308311462402
1.175,14.98739496866862
1.185,15.052758932113647
1.195,15.041571617126465
1.205,15.024062156677246
1.215,15.008835315704346
1.225,15.033595403035482
1.2349999999999999,
1.245,15.029560089111328
1.255,15.01370620727539
1.2650000000000001,15.042999585469564
1.275,15.017404874165853
1.2850000000000001,15.0602445602417
1.295,15.049143075942993
1.305,15.059180736541748
1.315,15.036894798278809
1.325,15.046738147735596
1.335,
1.345,15.057404518127441
1.355,15.010311961174011
1.365,15.033237218856812
1.375,15.063950061798096
1.385,15.075589179992676
1.395,15.067354679107666
1.405,
1.415,15.033185958862305
1.425,15.068516254425049
1.435,15.035255432128906
1.445,15.0686616897583
1.455,15.076208114624023
1.465,15.048017501831055
1.475,15.078965504964193
1.4849999999999999,15.086747805277506
1.495,15.102573871612549
1.505,15.083260536193848
1.5150000000000001,14.936445474624634
1.525,
1.5350000000000001,15.035544713338217
1.545,15.039192199707031
1.5550000000000002,15.075279235839844
1.565,15.060585975646973
1.575,15.029532591501871
1.585,15.06185531616211
1.595,15.063278198242188
1.605,15.051288286844889
1.615,
1.625,14.997450351715088
1.635,15.018548011779785
1.645,14.806829452514648
1.655,15.044676303863525
1.665,14.474509239196777
1.675,14.995993614196777
1.685,15.040022532145182
1.695,15.01698112487793
1.705,14.874273300170898
1.7149999999999999,14.962809801101685
1.725,15.04366397857666
1.7349999999999999,15.013211568196615
1.745,15.006457805633545
1.755,15.008428891499838
1.7650000000000001,14.99897289276123
1.775,15.026712417602539
1.7850000000000001,14.961442708969116
1.795,
1.8050000000000002,14.982574939727783
1.815,14.989689826965332
1.8250000000000002,14.976949532826742
1.835,14.951264381408691
1.845,14.953170776367188
1.855,14.965017318725586
1.865,14.965869665145874
1.875,14.948017120361328
1.885,14.960020383199057
1.895,14.955781936645508
1.905,14.948721647262573
1.915,14.93830223083496
1.925,14.929764747619629
1.935,14.954804420471191
1.945,14.920462290445963
1.955,14.946295499801636
1.9649999999999999,14.904613971710205
1.975,14.923685073852539
1.9849999999999999,14.949064254760742
1.995,14.963159561157227
