hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458347.53409,be,V,13.918,0.02333,10.396,0.223
2458342.74929,be,V,14.149,0.02521,8.4,0.195
2458182.84429,be,V,14.883,0.03729,4.274,0.147
2457974.63194,be,V,15.507,0.05761,2.404,0.127
2457867.88806,be,V,14.512,0.02989,6.016,0.165
2457837.8814,be,V,13.756,0.02247,12.068,0.249
2458363.69696,be,V,13.529,0.02188,14.866,0.299
2458335.59589,be,V,14.439,0.02876,6.432,0.17
2458210.78078,be,V,15.094,0.04293,3.517,0.139
2458195.88298,be,V,15.17,0.04525,3.281,0.137
2458224.9106,be,V,15.064,0.04205,3.617,0.14
2457481.78334,be,V,15.506,0.05756,2.406,0.127
2458313.76378,be,V,14.931,0.03847,4.089,0.145
2458167.88108,be,V,14.881,0.03724,4.279,0.147
2457836.90602,be,V,13.75,0.02244,12.13,0.25
2457465.86106,be,V,15.121,0.04373,3.431,0.138
2457994.55999,be,V,15.208,0.04647,3.169,0.135
2457624.71604,be,V,15.029,0.04107,3.737,0.141
2458319.76186,be,V,14.765,0.03461,4.763,0.152
2457960.69174,be,V,15.15,0.04462,3.342,0.137
2458365.68902,be,V,13.571,0.02193,14.309,0.289
2457675.5177,be,V,15.503,0.05744,2.413,0.128
2458225.87618,be,V,15.048,0.0416,3.669,0.14
2458202.89996,be,V,15.066,0.04211,3.609,0.14
2458047.5233,be,V,14.798,0.03532,4.621,0.15
2457876.79396,be,V,14.502,0.02973,6.069,0.166
2457458.88179,be,V,15.119,0.04367,3.438,0.138
2458226.89085,be,V,15.152,0.04468,3.336,0.137
2457973.64264,be,V,15.112,0.04346,3.462,0.138
2457871.69991,be,V,14.426,0.02857,6.508,0.171
2457557.68647,be,V,13.412,0.02187,16.562,0.333
2458193.86893,be,V,15.028,0.04104,3.74,0.141
2458018.51492,be,V,15.139,0.04428,3.375,0.138
2457882.68715,be,V,14.577,0.03098,5.664,0.161
2457838.78753,be,V,13.877,0.02308,10.794,0.229
2458192.88823,be,V,15.031,0.04112,3.728,0.141
2458038.5791,be,V,14.872,0.03702,4.317,0.147
2457607.61991,be,V,14.725,0.03377,4.942,0.154
2458001.62842,be,V,15.108,0.04334,3.474,0.139
2457606.53592,be,V,14.678,0.03283,5.16,0.156
2458019.57026,be,V,15.06,0.04194,3.631,0.14
2457878.86327,be,V,14.573,0.03091,5.683,0.162
2457846.86689,be,V,13.982,0.02377,9.793,0.214
2457874.88417,be,V,14.706,0.03339,5.029,0.154
2458042.52854,be,V,14.878,0.03716,4.294,0.147
2458013.51254,be,V,15.093,0.0429,3.523,0.139
2457461.8597,be,V,15.216,0.04673,3.143,0.135
2457456.8478,be,V,15.192,0.04595,3.215,0.136
2458375.51819,be,V,13.642,0.02208,13.406,0.272
2458199.81105,be,V,15.071,0.04226,3.593,0.14
2457688.53535,be,V,15.094,0.04293,3.52,0.139
2457683.53639,be,V,15.214,0.04667,3.149,0.135
2457630.59302,be,V,14.956,0.03911,3.994,0.144
2458373.61409,be,V,13.63,0.02205,13.554,0.275
2458204.79321,be,V,15.038,0.04132,3.706,0.141
2457848.83977,be,V,14.045,0.02427,9.246,0.206
2458360.49866,be,V,13.548,0.0219,14.619,0.295
2457821.8798,be,V,13.785,0.0226,11.748,0.244
2457547.69406,be,V,13.385,0.02189,16.985,0.342
2458340.63607,be,V,14.163,0.02535,8.293,0.193
2458217.83576,be,V,15.129,0.04398,3.408,0.138
2458213.78249,be,V,15.019,0.04079,3.77,0.141
2457853.74465,be,V,14.08,0.02457,8.949,0.202
2457659.55056,be,V,15.177,0.04547,3.26,0.136
