,mag,magerr,mjd
0,15.077,0.04243,57936.31376999989
1,15.190999999999999,0.045919999999999996,57903.34867999982
2,14.639000000000001,0.03209,57604.1152900001
3,14.442,0.028810000000000002,57593.22899000021
4,14.193,0.025660000000000002,57585.11746999994
5,14.658,0.03245,57872.195369999856
6,14.753,0.03435,58043.04123000009
7,14.987,0.03992,57523.15139999986
8,14.457,0.02903,58334.099930000026
9,13.392999999999999,0.02188,57546.18577999994
10,15.084000000000001,0.04263,58183.34647000022
11,15.08,0.04252,58235.40040000016
12,15.029000000000002,0.041069999999999995,57636.08630000008
13,14.674000000000001,0.032760000000000004,57605.10760999983
14,14.515999999999998,0.02995,57600.01053000009
15,14.832,0.03609,58174.376250000205
16,14.73,0.03387,58048.01665999973
17,15.144,0.04444,57894.25222999975
18,14.59,0.0312,57870.20027999999
19,15.136,0.04419,57953.23120999988
20,14.969000000000001,0.03945,58306.12687000027
21,15.163,0.04503,58223.389130000025
22,15.084000000000001,0.04263,57959.0975200003
23,13.94,0.02348,57843.27172000008
24,15.014000000000001,0.04065,58196.40054000029
25,14.241,0.026189999999999998,57802.385479999706
26,13.345,0.02195,57550.29603999993
27,13.589,0.02197,58369.179409999866
28,15.009,0.04052,58191.400570000056
29,13.673,0.02217,57567.22206000006
30,15.491,0.05694,57486.36317999987
31,13.782,0.022580000000000003,58383.028270000126
32,15.144,0.04444,57917.238729999866
33,14.549000000000001,0.0305,57797.38867000025
34,14.76,0.0345,58045.0150700002
35,15.085,0.042660000000000003,57660.015660000034
36,13.765999999999998,0.02251,57568.208240000065
37,15.126,0.04389,57480.37135000015
38,14.98,0.03974,58206.29084999999
39,13.847000000000001,0.02291,57839.28630999988
40,13.573,0.02194,58366.18646
41,14.524000000000001,0.030080000000000003,57879.40059999982
42,13.579,0.02195,58370.10930999974
43,14.918,0.03814,58180.35662000021
44,15.050999999999998,0.04168,58018.016199999955
45,15.023,0.0409,58017.04130999977
46,15.139000000000001,0.04428,58005.002590000164
47,14.65,0.0323,57873.1990799997
48,14.161,0.025330000000000002,57803.37696000002
49,15.099,0.04307,57662.01605000021
50,15.124,0.04382,58207.2872299999
51,15.12,0.0437,58012.03289000038
52,15.057,0.04185,58200.39373000013
53,14.780999999999999,0.03495,57900.35289000021
54,14.155,0.025269999999999997,58341.22378000012
55,14.833,0.03611,58040.06272000028
56,13.651,0.022109999999999998,57828.33866999997
57,14.744000000000002,0.03416,58046.02349000005
58,15.164000000000001,0.04506,57686.03300000029
59,15.130999999999998,0.044039999999999996,58229.31376999989
60,13.715,0.02231,57817.39474000037
61,15.119000000000002,0.04367,58222.340139999986
62,15.24,0.04753,57966.09355999995
63,14.044,0.02426,58345.2384200003
64,14.918,0.03814,58175.36129999999
65,13.654000000000002,0.022109999999999998,58376.030059999786
66,13.593,0.02197,58371.11779000005
67,15.16,0.04493,57957.186819999944
68,15.482000000000001,0.05657,57664.02896999987
69,14.04,0.02423,57851.25763999997
70,15.304,0.04975,58238.31933999993
71,15.062000000000001,0.042,57905.371679999866
72,14.717,0.03361,57610.20438000001
73,15.081,0.04255,57663.059650000185
74,14.969000000000001,0.03945,57625.2122200001
75,13.945,0.02351,57845.35760000022
76,14.802,0.035410000000000004,57617.054349999875
77,14.274000000000001,0.02657,58339.12783000013
78,15.023,0.0409,58212.27149000019
79,14.908,0.03789,58175.3600300001
80,15.239,0.0475,57979.1246199999
81,13.387,0.02189,57558.08999000024
82,14.056,0.02436,57855.376009999774
83,14.378,0.0279,57801.38230999978
84,13.602,0.02199,58368.15540999966
85,15.062000000000001,0.042,58205.340619999915
86,14.857999999999999,0.03669,58171.374760000035
87,15.056,0.04183,58209.27753000008
88,15.04,0.04137,58015.096729999874
89,15.068,0.04217,58011.039249999914
90,15.315999999999999,0.05018,57944.130540000275
91,14.335999999999999,0.027339999999999996,58338.26464999979
92,15.171,0.04528,58010.142759999726
93,15.015,0.04068,58194.39055999974
94,14.945,0.03883,58032.02920000022
95,15.229000000000001,0.04717,58003.11660999991
96,13.532,0.02188,58359.197879999876
97,14.835999999999999,0.036180000000000004,58041.05862999987
98,15.285,0.04908,57923.19785000011
99,15.47,0.05608,57671.05031999992
100,14.585999999999999,0.03113,57603.08204999985
101,14.847000000000001,0.036430000000000004,58310.26674999995
102,14.927,0.03837,58035.080289999954
103,13.622,0.02203,57824.32410999993
104,14.841,0.036289999999999996,57691.005790000316
105,15.423,0.0542,57946.122310000006
106,14.42,0.028489999999999998,57864.36647999985
107,14.849,0.03648,57626.20470999973
108,15.14,0.04431,57473.37117000017
109,15.198,0.04615,57935.20035000006
110,14.9,0.0377,58311.22837999975
111,14.968,0.03942,58021.06813000003
112,15.228,0.04713,58233.21249999991
113,13.918,0.02333,58347.034090000205
114,14.149000000000001,0.02521,58342.24929000018
115,14.883,0.03729,58182.34428999992
116,15.507,0.05761,57974.131940000225
117,14.512,0.029889999999999996,57867.388059999794
118,13.755999999999998,0.02247,57837.38139999984
119,13.529000000000002,0.02188,58363.196959999856
120,14.439,0.02876,58335.09589
121,15.094000000000001,0.04293,58210.28078000015
122,15.17,0.04525,58195.38297999976
123,15.064,0.04205,58224.41060000006
124,15.505999999999998,0.05756,57481.28334000008
125,14.931,0.03847,58313.263780000154
126,14.880999999999998,0.037239999999999995,58167.38107999973
127,13.75,0.02244,57836.40602000011
128,15.120999999999999,0.04373,57465.361060000025
129,15.208,0.04647,57994.05998999998
130,15.029000000000002,0.041069999999999995,57624.21604000032
131,14.765,0.03461,58319.26185999997
132,15.15,0.04462,57960.191740000155
133,13.571,0.02193,58365.18901999993
134,15.503,0.05744,57675.0177000002
135,15.048,0.0416,58225.37618000014
136,15.065999999999999,0.04211,58202.39996000007
137,14.798,0.03532,58047.0233
138,14.502,0.02973,57876.29395999992
139,15.119000000000002,0.04367,57458.381790000014
140,15.152000000000001,0.044680000000000004,58226.39085000008
141,15.112,0.043460000000000006,57973.14264000021
142,14.425999999999998,0.028569999999999998,57871.19990999997
143,13.412,0.02187,57557.18647000007
144,15.027999999999999,0.04104,58193.36892999988
145,15.139000000000001,0.04428,58018.01491999999
146,14.577,0.03098,57882.18715000013
147,13.877,0.02308,57838.287529999856
148,15.030999999999999,0.04112,58192.38822999969
149,14.872,0.03702,58038.07910000021
150,14.725,0.03377,57607.11990999989
151,15.107999999999999,0.04334,58001.128419999965
152,14.677999999999999,0.03283,57606.03592000017
153,15.06,0.04194,58019.07025999995
154,14.573,0.030910000000000003,57878.36327000009
155,13.982000000000001,0.02377,57846.36689000018
156,14.706,0.033389999999999996,57874.384169999976
157,14.878,0.037160000000000006,58042.02854000032
158,15.093,0.0429,58013.012540000025
159,15.216,0.04673,57461.35969999991
160,15.192,0.04595,57456.347800000105
161,13.642000000000001,0.022080000000000002,58375.018190000206
162,15.071,0.04226,58199.311050000135
163,15.094000000000001,0.04293,57688.03535000002
164,15.214,0.046669999999999996,57683.03639000002
165,14.956,0.03911,57630.09302000003
166,13.63,0.02205,58373.11409000028
167,15.038,0.041319999999999996,58204.2932099998
168,14.045,0.02427,57848.33976999996
169,13.548,0.0219,58359.99866000004
170,13.785,0.0226,57821.37980000023
171,13.385,0.02189,57547.19405999966
172,14.163,0.02535,58340.13607000001
173,15.129000000000001,0.04398,58217.335759999696
174,15.019,0.04079,58213.28249000013
175,14.08,0.024569999999999998,57853.244649999775
176,15.177,0.04547,57659.05055999989
