wave,fluxE10
4208.62,4.45494
4211.45,4.42505
4214.28,4.46725
4217.11,4.13862
4219.94,3.47044
4222.77,3.19257
4225.6,3.44943
4228.43,3.77926
4231.26,4.11182
4234.09,4.65637
4236.92,5.23479
4239.75,5.38977
4242.59,5.03087
4245.42,4.56884
4248.25,4.3241
4251.08,4.3283
4253.91,4.59906
4256.74,5.09058
4259.57,5.53712
4262.4,5.504
4265.23,4.97313
4268.06,4.48819
4270.89,4.54108
4273.72,4.90843
4276.55,5.04259
4279.38,4.81868
4282.21,4.39663
4285.04,3.99488
4287.87,3.93059
4290.71,4.12036
4293.54,4.22343
4296.37,4.18132
4299.2,4.12889
4302.03,4.34525
4304.86,5.12845
4307.69,6.20266
4310.52,7.02738
4313.35,7.42375
4316.18,7.27978
4319.01,6.8502
4321.84,6.90149
4324.67,7.57913
4327.5,8.17424
4330.33,8.08965
4333.16,7.23463
4335.99,6.22913
4338.83,5.87268
4341.66,6.04754
4344.49,6.23976
4347.32,6.4178
4350.15,6.79543
4352.98,7.17921
4355.81,7.47587
4358.64,7.76668
4361.47,7.74965
4364.3,7.42552
4367.13,7.11935
4369.96,6.90159
4372.79,6.76068
4375.62,6.49529
4378.45,6.03416
4381.28,5.74189
4384.11,5.84244
4386.95,6.322
4389.78,6.95235
4392.61,7.35526
4395.44,7.29852
4398.27,6.75463
4401.1,6.1736
4403.93,6.35114
4406.76,7.08406
4409.59,7.33122
4412.42,7.09771
4415.25,7.06024
4418.08,7.11276
4420.91,7.04634
4423.74,7.01197
4426.57,7.05801
4429.4,7.184
4432.23,7.47389
4435.07,7.66839
4437.9,7.50663
4440.73,7.52916
4443.56,7.85709
4446.39,7.77639
4449.22,7.10369
4452.05,6.42082
4454.88,6.23076
4457.71,6.47485
4460.54,6.81495
4463.37,7.19535
4466.2,7.87485
4469.03,8.77558
4471.86,9.2818
4474.69,9.07171
4477.52,8.79363
4480.35,9.01192
4483.19,9.24556
4486.02,9.03783
4488.85,8.72639
4491.68,8.7829
4494.51,9.42927
4497.34,10.393
4500.17,10.9727
4503,10.9031
4505.83,10.59
4508.66,10.2749
4511.49,10.0594
4514.32,10.1337
4517.15,10.1973
4519.98,9.61228
4522.81,8.6138
4525.64,8.03938
4528.47,8.08835
4531.31,8.62548
4534.14,9.31637
4536.97,9.53961
4539.8,9.33323
4542.63,9.19986
4545.46,9.20755
4548.29,9.2421
4551.12,9.65562
4553.95,10.3239
4556.78,10.5151
4559.61,10.5436
4562.44,11.0632
4565.27,11.5748
4568.1,11.6269
4570.93,11.4661
4573.76,11.2959
4576.59,11.1277
4579.43,10.9834
4582.26,10.9045
4585.09,10.8723
4587.92,10.7574
4590.75,10.6678
4593.58,10.6862
4596.41,10.5952
4599.24,10.6334
4602.07,11.2836
4604.9,12.4214
4607.73,13.4794
4610.56,13.9383
4613.39,14.0035
4616.22,13.9876
4619.05,13.7484
4621.88,13.1788
4624.71,12.4766
4627.55,11.8693
4630.38,11.2144
4633.21,10.6576
4636.04,10.5759
4638.87,10.7202
4641.7,10.8313
4644.53,10.9945
4647.36,11.1814
4650.19,11.5308
4653.02,12.3548
4655.85,13.0683
4658.68,12.8061
4661.51,11.8481
4664.34,11.1947
4667.17,11.3535
4670,11.9349
4672.83,12.3204
4675.67,12.3358
4678.5,12.1622
4681.33,12.0001
4684.16,12.0311
4686.99,12.5085
4689.82,13.2438
4692.65,13.6198
4695.48,13.5878
4698.31,13.4448
4701.14,13.1582
4703.97,12.8407
4706.8,12.857
4709.63,13.1449
4712.46,13.6339
4715.29,14.2716
4718.12,14.5242
4720.95,14.1119
4723.79,13.4081
4726.62,13.3
4729.45,14.0331
4732.28,14.7063
4735.11,14.8728
4737.94,14.9756
4740.77,15.3176
4743.6,15.638
4746.43,15.7021
4749.26,15.5097
4752.09,14.9551
4754.92,13.9146
4757.75,12.6577
4760.58,11.8961
4763.41,11.9828
4766.24,12.5888
4769.07,13.2894
