Phase,Magnitude
0.005,11.501303739181315
0.015,11.503215101502505
0.025,11.506910346563611
0.035,11.512241374876021
0.045,11.519074030201725
0.055,11.527298313481996
0.065,11.536833449231583
0.07500000000000001,11.547627162799923
0.08499999999999999,11.559649290881588
0.095,11.5728805978681
0.10500000000000001,11.58729830470103
0.11499999999999999,11.602860269075482
0.125,11.619489928989667
0.135,11.637064014960002
0.14500000000000002,11.655404667923438
0.155,11.67427702416282
0.165,11.693392627737683
0.175,11.71241830313435
0.185,11.730989466318196
0.195,11.748726358859864
0.20500000000000002,11.765251420369006
0.215,11.780205998744957
0.225,11.79326482819702
0.235,11.804147138512668
0.245,11.81262382384649
0.255,11.818520705780289
0.265,11.821718479705055
0.275,11.822150351615969
0.28500000000000003,11.819798592450075
0.295,11.814691228941758
0.305,11.806899859503385
0.315,11.796539171937841
0.325,11.783768216994462
0.335,11.768792946537937
0.34500000000000003,11.751869051135182
0.355,11.73330381362278
0.365,11.713455594682781
0.375,11.692729713113778
0.385,11.671569868945863
0.395,11.650444835686098
0.405,11.629830840682802
0.41500000000000004,11.610190760370298
0.425,11.591951873159946
0.435,11.575484338269906
0.445,11.56108272799526
0.455,11.548952792692132
0.465,11.539205182902299
0.475,11.531857135776495
0.485,11.526842236193657
0.495,11.524027398145186
0.505,11.523235304493433
0.515,11.524269815750857
0.525,11.526941414035473
0.535,11.531089655608131
0.545,11.536599888746432
0.555,11.543412128722238
0.5650000000000001,11.551520897229889
0.575,11.560965920464586
0.585,11.571814704404417
0.595,11.584139026658491
0.605,11.597988171574249
0.615,11.613362187447903
0.625,11.630188501717257
0.635,11.648304881877706
0.645,11.66745101794083
0.655,11.687270014185737
0.665,11.70731993631103
0.675,11.727094406487677
0.685,11.746050215499826
0.6950000000000001,11.763639152644028
0.7050000000000001,11.779340831109055
0.715,11.792693254793338
0.725,11.803318227021641
0.735,11.810939388308157
0.745,11.815391593762984
0.755,11.816621377432494
0.765,11.814679265955409
0.775,11.809705569259272
0.785,11.801911887006685
0.795,11.791560858431136
0.805,11.778946627457575
0.8150000000000001,11.764378118937815
0.8250000000000001,11.748166592256869
0.835,11.730618154521753
0.845,11.7120310938488
0.855,11.692697151910576
0.865,11.672905296608468
0.875,11.652946253944927
0.885,11.633116047395841
0.895,11.613717064895683
0.905,11.595055678659977
0.915,11.577436099170821
0.925,11.561150848795887
0.935,11.546468884259538
0.9450000000000001,11.533622882330686
0.9550000000000001,11.522797455740756
0.965,11.514120047367628
0.975,11.507655961134844
0.985,11.503408468635673
0.995,11.50132425560148
1.005,11.501303739181315
1.015,11.503215101502505
1.025,11.506910346563611
1.035,11.512241374876021
1.045,11.519074030201725
1.055,11.527298313481996
1.065,11.536833449231583
1.075,11.547627162799923
1.085,11.559649290881588
1.095,11.5728805978681
1.105,11.58729830470103
1.115,11.602860269075482
1.125,11.619489928989667
1.135,11.637064014960002
1.145,11.655404667923438
1.155,11.67427702416282
1.165,11.693392627737683
1.175,11.71241830313435
1.185,11.730989466318196
1.195,11.748726358859864
1.205,11.765251420369006
1.215,11.780205998744957
1.225,11.79326482819702
1.2349999999999999,11.804147138512668
1.245,11.81262382384649
1.255,11.818520705780289
1.2650000000000001,11.821718479705055
1.275,11.822150351615969
1.2850000000000001,11.819798592450075
1.295,11.814691228941758
1.305,11.806899859503385
1.315,11.796539171937841
1.325,11.783768216994462
1.335,11.768792946537937
1.345,11.751869051135182
1.355,11.73330381362278
1.365,11.713455594682781
1.375,11.692729713113778
1.385,11.671569868945863
1.395,11.650444835686098
1.405,11.629830840682802
1.415,11.610190760370298
1.425,11.591951873159946
1.435,11.575484338269906
1.445,11.56108272799526
1.455,11.548952792692132
1.465,11.539205182902299
1.475,11.531857135776495
1.4849999999999999,11.526842236193657
1.495,11.524027398145186
1.505,11.523235304493433
1.5150000000000001,11.524269815750857
1.525,11.526941414035473
1.5350000000000001,11.531089655608131
1.545,11.536599888746432
1.5550000000000002,11.543412128722238
1.565,11.551520897229889
1.575,11.560965920464586
1.585,11.571814704404417
1.595,11.584139026658491
1.605,11.597988171574249
1.615,11.613362187447903
1.625,11.630188501717257
1.635,11.648304881877706
1.645,11.66745101794083
1.655,11.687270014185737
1.665,11.70731993631103
1.675,11.727094406487677
1.685,11.746050215499826
1.695,11.763639152644028
1.705,11.779340831109055
1.7149999999999999,11.792693254793338
1.725,11.803318227021641
1.7349999999999999,11.810939388308157
1.745,11.815391593762984
1.755,11.816621377432494
1.7650000000000001,11.814679265955409
1.775,11.809705569259272
1.7850000000000001,11.801911887006685
1.795,11.791560858431136
1.8050000000000002,11.778946627457575
1.815,11.764378118937815
1.8250000000000002,11.748166592256869
1.835,11.730618154521753
1.845,11.7120310938488
1.855,11.692697151910576
1.865,11.672905296608468
1.875,11.652946253944927
1.885,11.633116047395841
1.895,11.613717064895683
1.905,11.595055678659977
1.915,11.577436099170821
1.925,11.561150848795887
1.935,11.546468884259538
1.945,11.533622882330686
1.955,11.522797455740756
1.9649999999999999,11.514120047367628
1.975,11.507655961134844
1.9849999999999999,11.503408468635673
1.995,11.50132425560148
