 55802  696.32 3188.09 18.157  1.816 16.341  78   0 0.021 1009   2 0.017
 55803  857.63 3187.63 18.274  2.128 16.147  77   1 0.029 1010   1 0.010
 55804  911.10 3193.43 17.998  1.990 16.008  78   0 0.039 1010   1 0.011
 55806  637.73 3194.47 18.104  1.926 16.178  78   0 0.016 1010   1 0.010
 55807  916.43 3195.85 18.626  2.064 16.562  77   1 0.067 1011   0 0.018
 55808 1000.55 3197.04 18.150  2.347 15.802  78   0 0.057 1009   2 0.012
 55809  823.91 3201.40 18.147  2.179 15.968  78   0 0.026 1009   2 0.008
 55810 1017.96 3202.25 17.639  1.894 15.744  78   0 0.042 1011   0 0.014
 55811  917.51 3203.75 17.950  1.856 16.093  77   1 0.038 1007   4 0.015
 55812  685.71 3205.87 18.186  2.110 16.076  78   0 0.024 1009   2 0.009
 55813  890.77 3208.25 17.585  1.700 15.885  78   0 0.032 1008   3 0.010
 55814  814.70 3217.26 18.416  1.990 16.426  78   0 0.030 1010   1 0.012
 55815  710.66 3219.71 18.175  2.061 16.114  78   0 0.024 1008   3 0.009
 55817  695.84 3231.59 18.536  2.081 16.455  77   0 0.026 1008   3 0.011
 55818  776.31 3233.21 18.587  2.245 16.342  77   1 0.037 1009   2 0.010
 55819  846.05 3233.27 18.492  1.916 16.577  78   0 0.042 1010   1 0.013
 55821  785.85 3238.41 18.194  2.174 16.020  78   0 0.030 1006   5 0.009
 55822  615.10 3237.97 18.698  2.057 16.641  76   1 0.026 1010   1 0.014
 55824  758.42 3248.22 17.725  1.304 16.421  78   0 0.024 1011   0 0.013
 55825  631.60 3252.49 17.910  1.871 16.039  78   0 0.019 1009   2 0.009
 55826  681.17 3256.67 18.370  2.546 15.825  77   1 0.024 1010   1 0.008
 55827  562.48 3260.46 18.380  2.015 16.365  76   1 0.019 1009   2 0.012
 55828  784.35 3267.51 17.810  1.976 15.834  77   1 0.029 1007   4 0.029
 55829  697.12 3272.80 17.884  1.987 15.896  76   2 0.020 1011   0 0.008
 55830  613.73 3274.77 18.366  2.076 16.289  77   0 0.023 1010   1 0.011
 55831  579.72 3278.91 18.318  1.950 16.368  76   1 0.019 1010   1 0.012
 55832  735.13 3290.22 18.207  1.790 16.417  76   2 0.059 1010   1 0.011
 55833  934.15 3292.51 99.999  9.999 16.151   0   0 9.999  869   0 0.497
 55834  720.52 3292.75 18.358  2.415 15.943  76   2 0.091 1009   2 0.009
 55837  934.01 3300.37 99.999  9.999 15.812   0   0 9.999 1004   0 0.687
 55840  748.11 3315.00 18.378  2.111 16.267  75   1 0.028 1009   2 0.010
 55841  663.70 3316.46 18.042  2.093 15.949  78   0 0.020 1009   2 0.009
 55842  790.36 3321.61 17.853  1.448 16.405  78   0 0.021 1009   2 0.011
 55843  886.43 3328.41 17.594  1.613 15.981  77   0 0.397 1011   0 0.102
 55844  985.15 3335.10 99.999  9.999 16.400   0   0 9.999 1008   0 0.336
 55845  673.55 3338.38 18.227  1.998 16.229  78   0 0.024 1009   2 0.014
 55846  678.97 3338.99 18.120  2.025 16.095  78   0 0.021 1010   1 0.011
 55847  784.77 3340.93 18.136  2.082 16.054  78   0 0.081 1008   3 0.013
 55848  791.94 3339.91 18.491  1.847 16.643  78   0 0.132 1011   0 0.021
 55850  611.00 3365.03 18.349  1.896 16.453  78   0 0.021 1009   2 0.018
 55860  723.47 3294.30 18.146  0.309 17.838  77   1 0.107 1008   3 0.044
 55861  614.10 3363.95 18.460  1.353 17.108  78   0 0.025 1009   2 0.028
 55946  798.26 3111.63 18.724  1.494 17.230  77   0 0.030 1008   2 0.018
 55947  833.87 3114.06 18.600  1.832 16.768  78   0 0.022 1005   6 0.014
 55948  816.33 3115.60 18.284  1.413 16.871  78   0 0.021 1008   3 0.015
 55949  915.90 3114.06 19.452  2.008 17.444  77   0 0.054 1008   3 0.035
 55950  604.35 3117.25 18.686  1.955 16.731  77   0 0.022 1008   3 0.013
 55951  814.24 3131.08 19.089  2.328 16.760  77   0 0.045 1011   0 0.014
 55952  651.74 3138.68 18.796  2.105 16.692  77   0 0.028 1009   2 0.013
 55953  681.33 3138.71 18.683  2.025 16.659  77   0 0.028 1008   3 0.013
 55954  666.42 3138.82 18.608  1.375 17.232  77   0 0.050 1011   0 0.053
 55955  713.42 3140.32 18.627  1.929 16.698  76   1 0.026 1009   2 0.013
 55956  696.70 3141.98 19.084  1.934 17.149  77   0 0.041 1008   2 0.018
 55957  646.58 3150.26 18.611  1.914 16.697  77   0 0.026 1007   4 0.014
 55958  776.33 3150.38 18.690  2.042 16.647  77   1 0.027 1008   3 0.013
 55961  630.95 3164.15 19.008  1.826 17.182  78   0 0.039 1004   7 0.034
 55963 1009.27 3168.84 19.216  2.217 16.999  78   0 0.127 1009   2 0.026
 55966  869.81 3176.53 19.243  1.925 17.319  78   0 0.069 1008   2 0.023
 55967  751.95 3180.03 18.108  1.347 16.762  77   0 0.019 1011   0 0.012
 55968  982.65 3180.31 99.999  9.999 16.250   0   0 9.999 1005   6 0.015
 55969  700.43 3180.68 19.298  2.096 17.202  78   0 0.051 1007   4 0.024
 55970  767.76 3181.23 18.463  1.602 16.861  78   0 0.028 1009   1 0.015
 55971  654.39 3184.36 19.104  2.171 16.933  77   0 0.035 1010   1 0.019
 55972  804.60 3185.92 18.742  1.990 16.752  77   0 0.045 1007   4 0.013
 55974  760.31 3196.76 19.127  1.796 17.332  76   0 0.040 1010   1 0.020
 55975  667.27 3200.45 18.917  2.028 16.889  75   1 0.032 1008   3 0.014
 55976  910.43 3199.22 19.467  2.253 17.215  78   0 0.179 1009   2 0.038
 55979  594.97 3210.79 17.989  1.256 16.733  78   0 0.016 1009   2 0.014
 55980  759.38 3214.87 19.131  2.131 17.000  78   0 0.058 1008   3 0.019
 55981  607.58 3231.43 18.879  2.099 16.780  76   0 0.026 1010   1 0.013
 55982  579.95 3231.08 19.267  1.818 17.449  76   0 0.040 1009   2 0.023
 55983  729.47 3232.79 19.280  9.999 99.999  77   0 0.246    0   0 9.999
 55984  620.77 3237.98 18.915  1.927 16.988  78   0 0.033 1010   1 0.017
 55985  734.15 3236.37 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 55986  905.74 3237.38 18.423  1.474 16.950  78   0 0.153 1011   0 0.036
 55988  746.32 3248.00 18.676  1.575 17.101  78   0 0.134 1009   2 0.053
 55989  651.14 3250.62 19.017  2.206 16.811  76   0 0.030 1009   2 0.014
 55990  699.99 3250.80 18.433  1.323 17.110  78   0 0.032 1009   1 0.019
 55991  812.23 3250.66 19.116  2.090 17.026  77   1 0.057 1008   3 0.017
 55994  587.57 3258.28 18.679  1.897 16.782  77   0 0.025 1008   3 0.015
 55995  916.40 3266.20 17.554  0.290 17.264  75   0 0.376 1000   0 0.296
 55996  704.26 3261.80 19.032  1.867 17.166  76   1 0.045 1011   0 0.020
 55997  924.70 3274.14 99.999  9.999 17.076   0   0 9.999  995   0 0.342
 55998  598.56 3271.51 19.012  1.873 17.139  77   0 0.037 1009   2 0.018
 55999  768.60 3274.73 19.117  1.984 17.133  75   2 0.087 1005   5 0.035
 56000  930.01 3280.47 99.999  9.999 16.934   0   0 9.999  961   0 0.422
 56001  992.46 3278.54 99.999  9.999 17.019   0   0 9.999  993   0 0.419
 56002  994.37 3275.67 99.999  9.999 17.055   0   0 9.999  999   0 0.368
 56003  924.91 3283.58 99.999  9.999 17.078   0   0 9.999  852   1 0.478
 56004  919.80 3279.36 99.999  9.999 17.517   0   0 9.999  836   1 0.544
 56005  991.95 3285.38 99.999  9.999 17.314   0   0 9.999  876   0 0.690
 56006  934.35 3286.13 99.999  9.999 16.582   0   0 9.999  850   0 0.525
 56007  929.81 3287.93 99.999  9.999 16.759   0   0 9.999  793   0 0.532
 56008  694.43 3284.09 18.862  1.694 17.168  75   2 0.054 1008   3 0.018
 56009 1008.48 3285.27 18.293  1.169 17.124  69   0 0.557 1010   1 0.285
 56010  871.09 3289.69 18.610  1.274 17.336  78   0 0.473 1010   1 0.175
 56011  927.47 3298.44 99.999  9.999 16.670   0   0 9.999  988   0 0.726
 56012  930.51 3299.87 99.999  9.999 16.308   0   0 9.999  994   0 0.760
 56013  934.16 3303.40 99.999  9.999 15.683   0   0 9.999  962   0 0.739
 56014  575.57 3312.02 99.999  9.999 17.032   0   0 9.999 1007   4 0.018
 56015  698.30 3316.16 18.097  1.476 16.621  76   2 0.023 1008   3 0.013
 56016  571.03 3316.84 19.584  2.707 16.877  77   0 0.070 1009   2 0.018
 56017  933.77 3320.96 99.999  9.999 16.717   0   0 9.999  940   0 0.802
 56018  934.28 3324.83 99.999  9.999 16.523   0   0 9.999  945   0 0.699
 56019  927.67 3324.26 99.999  9.999 17.548   0   0 9.999  469   0 0.778
 56021  923.61 3327.88 99.999  9.999 17.700   0   0 9.999  345   0 0.729
 56022  991.64 3329.46 99.999  9.999 17.415   0   0 9.999  876   0 0.670
 56023  732.16 3327.06 19.065  1.970 17.095  77   0 0.038 1007   4 0.016
 56024  917.40 3330.14 99.999  9.999 17.730   0   0 9.999  519   0 0.650
 56025  692.42 3328.11 18.464  1.468 16.996  78   0 0.022 1006   5 0.015
 56026  703.41 3329.42 18.692  2.109 16.584  77   0 0.028 1007   4 0.012
 56028  988.48 3332.54 99.999  9.999 15.241   0   0 9.999 1010   1 0.118
 56029  935.16 3334.13 99.999  9.999 16.456   0   0 9.999 1000   0 0.606
 56030  918.16 3334.14 99.999  9.999 17.615   0   0 9.999  628   0 0.578
 56031  988.15 3339.16 99.999  9.999 17.024   0   0 9.999  995   0 0.421
 56033  830.25 3340.32 18.009  1.400 16.609  78   0 0.120 1008   3 0.047
 56034  929.20 3339.83 99.999  9.999 16.926   0   0 9.999  981   0 0.499
 56035  990.61 3341.63 99.999  9.999 16.717   0   0 9.999 1009   0 0.284
 56036  641.91 3343.59 18.896  1.902 16.995  77   0 0.033 1007   4 0.017
 56037  993.24 3343.63 16.540 -0.774 17.314  77   0 0.298  997   0 0.387
 56038  873.92 3350.62 17.978  0.942 17.036  77   0 0.391 1009   2 0.114
 56039  630.51 3352.27 18.937  1.985 16.952  78   0 0.034 1009   2 0.018
 56041  714.03 3358.07 18.826  1.885 16.941  77   0 0.045 1010   1 0.016
 56042  984.49 3359.59 99.999  9.999 16.714   0   0 9.999 1010   1 0.141
 56043  827.28 3364.54 18.784  1.755 17.029  78   0 0.107 1007   4 0.032
 56044  724.41 3365.10 18.613  1.232 17.381  77   0 0.041 1008   3 0.024
 56045  694.50 3369.17 18.697  1.738 16.960  78   0 0.030 1009   2 0.016
 56047  613.17 3361.16 99.999  9.999 18.306   0   0 9.999 1009   2 0.074
 56059  670.49 3139.03 20.489  2.056 18.433  76   0 0.190 1004   5 0.079
 56060  632.86 3166.79 19.664  2.079 17.585  77   0 0.073 1009   2 0.070
 56061  728.80 3227.82 20.563  2.236 18.327  66   0 0.537 1002   5 0.178
 56062  702.85 3250.52 99.999  9.999 18.329   0   0 9.999 1007   3 0.057
 56237  689.46 3109.87 20.340  2.061 18.279  77   0 0.144 1005   3 0.065
 56238  858.97 3110.91 19.971  1.777 18.195  75   0 0.095 1006   3 0.059
 56239  565.67 3112.20 19.769  1.139 18.630  75   0 0.055 1005   2 0.058
 56240  704.21 3112.36 19.075  1.305 17.771  77   0 0.041 1006   3 0.030
 56241  708.38 3111.83 19.722  1.738 17.983  77   0 0.065 1009   1 0.038
 56242  884.96 3114.69 20.029  1.780 18.249  76   0 0.086 1008   1 0.046
 56243  625.59 3117.06 19.833  1.667 18.166  75   0 0.067 1006   3 0.041
 56244  638.60 3121.84 19.772  1.924 17.848  75   0 0.063 1007   2 0.030
 56245  824.80 3124.27 19.874  2.391 17.483  77   0 0.079 1008   3 0.024
 56246  685.41 3123.83 20.108  1.830 18.278  78   0 0.091 1007   1 0.047
 56247  864.23 3124.52 19.676  1.621 18.055  77   0 0.096 1006   3 0.063
 56252  892.92 3133.71 19.715  1.388 18.327  76   1 0.070 1009   0 0.049
 56253  929.04 3132.88 19.844  1.656 18.188  76   0 0.139 1006   4 0.052
 56254  690.08 3135.01 20.022  1.766 18.256  75   0 0.080 1008   2 0.043
 56256  801.22 3136.17 19.837  1.613 18.224  74   1 0.066 1007   2 0.041
 56257  825.30 3136.03 19.466  1.230 18.236  77   0 0.044 1007   1 0.041
 56258  986.18 3136.28 20.316  1.954 18.361  75   0 0.171 1006   2 0.071
 56259  946.07 3140.44 19.396  1.648 17.748  77   0 0.421  853   0 0.297
 56260  779.19 3140.76 19.488  1.600 17.888  76   0 0.068 1005   3 0.033
 56261  986.06 3142.89 19.798  1.801 17.996  76   1 0.102 1006   4 0.055
 56262  816.36 3142.81 19.734  1.569 18.165  77   0 0.074 1005   4 0.041
 56264  810.05 3148.26 19.751  2.216 17.535  75   1 0.064 1006   3 0.023
 56265  876.92 3149.15 19.566  1.590 17.976  76   0 0.138 1008   1 0.044
 56266 1016.27 3151.16 19.607  2.038 17.569  77   0 0.110 1010   1 0.038
 56267  624.26 3151.99 19.567  1.544 18.023  76   0 0.053 1008   2 0.040
 56268  678.42 3153.49 19.829  2.199 17.629  77   0 0.086 1007   3 0.027
 56269  578.96 3155.78 19.990  1.674 18.316  76   0 0.084 1006   1 0.046
 56270  712.88 3156.76 19.792  1.671 18.121  77   0 0.077 1006   3 0.039
 56271  621.65 3161.55 19.668  1.998 17.670  75   0 0.050 1007   4 0.031
 56272  814.30 3160.12 19.663  1.435 18.228  78   0 0.092 1007   2 0.053
 56273  746.61 3162.49 19.410  1.760 17.650  75   1 0.051 1006   3 0.025
 56274  933.13 3161.69 19.912  1.877 18.035  75   0 0.143 1005   5 0.051
 56275  990.05 3161.53 19.574  1.609 17.965  78   0 0.124 1008   1 0.119
 56276  641.91 3159.81 99.999  9.999 18.689   0   0 9.999 1002   2 0.153
 56279  622.17 3166.64 20.341  2.181 18.160  77   0 0.106 1007   3 0.050
 56280  803.31 3169.90 19.676  1.671 18.005  78   0 0.087 1006   2 0.036
 56281  604.20 3170.99 19.813  1.402 18.410  75   0 0.074 1005   2 0.048
 56282  661.20 3171.59 19.614  1.315 18.299  75   0 0.072 1007   3 0.062
 56283  752.41 3171.54 20.009  1.988 18.022  77   0 0.082 1007   1 0.036
 56285  796.56 3174.23 19.498  1.705 17.794  76   0 0.060 1007   3 0.029
 56286  759.56 3174.85 19.565  1.873 17.692  75   0 0.054 1007   3 0.027
 56287  703.56 3176.60 19.922  1.839 18.083  76   0 0.075 1006   3 0.042
 56288  790.22 3179.54 19.572  1.869 17.703  75   0 0.066 1008   2 0.027
 56290  730.32 3182.33 19.904  1.842 18.062  73   1 0.079 1006   2 0.036
 56294  655.09 3191.22 19.375  1.759 17.615  76   0 0.042 1011   0 0.027
 56295  859.35 3191.62 19.362  1.750 17.612  77   0 0.082 1011   0 0.035
 56296  704.94 3190.49 99.999  9.999 18.711   0   0 9.999  992   0 0.300
 56297  874.59 3195.00 19.483  1.763 17.720  77   0 0.092 1007   2 0.032
