#  puvul.279  455353.94092   60.0
#     wave       flux
   3783.81494   1.40091E-14
   3785.28613   1.15553E-14
   3786.75732   1.73442E-14
   3788.22876   2.08735E-14
   3789.69995   1.57385E-14
   3791.17114   1.59004E-14
   3792.64233   2.94237E-14
   3794.11377   3.95657E-14
   3795.58496   5.05317E-14
   3797.05615   5.06690E-14
   3798.52734   4.32605E-14
   3799.99854   2.47869E-14
   3801.46997   1.03712E-14
   3802.94116   1.76536E-14
   3804.41235   1.83537E-14
   3805.88354   1.70155E-14
   3807.35498   1.36154E-14
   3808.82617   1.48088E-14
   3810.29736   2.40304E-14
   3811.76855   2.24882E-14
   3813.23999   2.01437E-14
   3814.71118   2.16948E-14
   3816.18237   1.62807E-14
   3817.65356   2.66895E-14
   3819.12500   2.77309E-14
   3820.59619   2.58224E-14
   3822.06738   1.80426E-14
   3823.53857   1.96878E-14
   3825.00977   2.28644E-14
   3826.48120   1.74363E-14
   3827.95239   1.97244E-14
   3829.42358   1.53746E-14
   3830.89478   2.92872E-14
   3832.36621   4.58506E-14
   3833.83740   6.40918E-14
   3835.30859   5.39340E-14
   3836.77979   4.48776E-14
   3838.25122   3.82663E-14
   3839.72241   2.28813E-14
   3841.19360   2.18553E-14
   3842.66479   1.73763E-14
   3844.13623   1.62314E-14
   3845.60742   1.46187E-14
   3847.07861   2.06004E-14
   3848.54980   1.44859E-14
   3850.02100   1.55420E-14
   3851.49243   1.32964E-14
   3852.96362   2.20757E-14
   3854.43481   1.22140E-14
   3855.90601   1.88447E-14
   3857.37744   2.33700E-14
   3858.84863   2.36180E-14
   3860.31982   2.11350E-14
   3861.79102   2.14741E-14
   3863.26245   5.39005E-14
   3864.73364   1.47172E-13
   3866.20483   2.29400E-13
   3867.67603   2.32129E-13
   3869.14746   1.86628E-13
   3870.61865   1.01801E-13
   3872.08984   4.74782E-14
   3873.56104   2.15375E-14
   3875.03247   1.70622E-14
   3876.50366   1.55538E-14
   3877.97485   1.13656E-14
   3879.44604   1.42187E-14
   3880.91724   1.36003E-14
   3882.38867   1.96493E-14
   3883.85986   3.22663E-14
   3885.33105   5.67249E-14
   3886.80225   7.61090E-14
   3888.27368   8.42246E-14
   3889.74487   8.12010E-14
   3891.21606   6.25374E-14
   3892.68726   3.67907E-14
   3894.15869   3.34509E-14
   3895.62988   2.29142E-14
   3897.10107   1.77720E-14
   3898.57227   1.32469E-14
   3900.04370   1.34260E-14
   3901.51489   1.58532E-14
   3902.98608   1.52799E-14
   3904.45728   1.83592E-14
   3905.92847   1.40358E-14
   3907.39990   1.21269E-14
   3908.87109   1.63459E-14
   3910.34229   1.91838E-14
   3911.81348   1.90462E-14
   3913.28491   1.26388E-14
   3914.75610   1.38813E-14
   3916.22729   1.52576E-14
   3917.69849   9.58965E-15
   3919.16992   1.32528E-14
   3920.64111   1.75981E-14
   3922.11230   1.77065E-14
   3923.58350   2.04006E-14
   3925.05493   1.88383E-14
   3926.52612   2.35070E-14
   3927.99731   2.00815E-14
   3929.46851   9.58258E-15
   3930.93970   1.70246E-14
   3932.41113   1.63354E-14
   3933.88232   2.03878E-14
   3935.35352   1.81098E-14
   3936.82471   1.48766E-14
   3938.29614   1.77386E-14
   3939.76733   1.33404E-14
   3941.23853   1.48346E-14
   3942.70972   9.82722E-15
   3944.18115   1.77851E-14
   3945.65234   1.20111E-14
   3947.12354   1.34172E-14
   3948.59473   1.84299E-14
   3950.06616   1.36186E-14
   3951.53735   8.83647E-15
   3953.00854   1.51956E-14
   3954.47974   1.38869E-14
   3955.95117   1.55624E-14
   3957.42236   1.68083E-14
   3958.89355   1.27657E-14
   3960.36475   1.48825E-14
   3961.83594   3.01835E-14
   3963.30737   6.65897E-14
   3964.77856   1.03436E-13
   3966.24976   1.37728E-13
   3967.72095   1.39612E-13
   3969.19238   1.26996E-13
   3970.66357   8.82346E-14
   3972.13477   5.07319E-14
   3973.60596   2.55658E-14
   3975.07739   1.81900E-14
   3976.54858   1.49657E-14
   3978.01978   1.33404E-14
   3979.49097   1.37351E-14
   3980.96240   1.42275E-14
   3982.43359   2.05607E-14
   3983.90479   1.35915E-14
   3985.37598   1.48029E-14
   3986.84717   1.31438E-14
   3988.31860   9.90025E-15
   3989.78979   1.19115E-14
   3991.26099   1.32693E-14
   3992.73218   1.13794E-14
   3994.20361   1.21898E-14
   3995.67480   1.59253E-14
   3997.14600   1.54528E-14
   3998.61719   1.22339E-14
   4000.08862   1.03178E-14
   4001.55981   1.33117E-14
   4003.03101   1.32709E-14
   4004.50220   1.35429E-14
   4005.97363   1.68449E-14
   4007.44482   1.71652E-14
   4008.91602   1.39197E-14
   4010.38721   1.37909E-14
   4011.85840   1.36009E-14
   4013.32983   1.57906E-14
   4014.80103   1.63373E-14
   4016.27222   1.17048E-14
   4017.74341   1.56227E-14
   4019.21484   1.63861E-14
   4020.68604   1.60625E-14
   4022.15723   2.40927E-14
   4023.62842   3.14607E-14
   4025.09985   2.67341E-14
   4026.57104   2.94363E-14
