#  puvul.272  455147.56576   60.0
#     wave       flux
   3467.74365   4.55306E-14
   3469.21777   4.00192E-14
   3470.69214   3.93817E-14
   3472.16626   5.03657E-14
   3473.64038   3.57688E-14
   3475.11475   3.53060E-14
   3476.58887   2.08274E-14
   3478.06299   5.03969E-14
   3479.53711   5.05799E-14
   3481.01147   4.04613E-14
   3482.48560   3.80398E-14
   3483.95972   3.55750E-14
   3485.43408   6.25072E-14
   3486.90820   4.85288E-14
   3488.38232   4.90539E-14
   3489.85669   6.71344E-14
   3491.33081   5.51385E-14
   3492.80493   3.21381E-14
   3494.27905   4.78714E-14
   3495.75342   4.19339E-14
   3497.22754   5.06573E-14
   3498.70166   3.70293E-14
   3500.17603   5.54328E-14
   3501.65015   3.85550E-14
   3503.12427   6.40729E-14
   3504.59863   3.21351E-14
   3506.07275   3.15113E-14
   3507.54688   3.83398E-14
   3509.02124   3.47915E-14
   3510.49536   2.61624E-14
   3511.96948   4.07161E-14
   3513.44360   4.30058E-14
   3514.91797   5.18147E-14
   3516.39209   4.89163E-14
   3517.86621   5.78097E-14
   3519.34058   4.19024E-14
   3520.81470   3.76793E-14
   3522.28882   4.05191E-14
   3523.76318   4.28541E-14
   3525.23730   3.40965E-14
   3526.71143   3.35221E-14
   3528.18579   2.73772E-14
   3529.65991   2.94511E-14
   3531.13403   3.75555E-14
   3532.60815   4.19458E-14
   3534.08252   2.77960E-14
   3535.55664   4.19595E-14
   3537.03076   5.22225E-14
   3538.50513   4.22442E-14
   3539.97925   3.35399E-14
   3541.45337   3.44709E-14
   3542.92773   3.22548E-14
   3544.40186   3.34901E-14
   3545.87598   4.30253E-14
   3547.35010   3.24054E-14
   3548.82446   4.89349E-14
   3550.29858   5.21370E-14
   3551.77271   4.50362E-14
   3553.24707   4.34925E-14
   3554.72119   6.02537E-14
   3556.19531   4.44484E-14
   3557.66968   5.06101E-14
   3559.14380   3.32281E-14
   3560.61792   4.18411E-14
   3562.09229   2.58362E-14
   3563.56641   3.93141E-14
   3565.04053   4.49382E-14
   3566.51465   4.67751E-14
   3567.98901   3.22007E-14
   3569.46313   3.20140E-14
   3570.93726   2.96932E-14
   3572.41162   4.37285E-14
   3573.88574   4.59550E-14
   3575.35986   3.31922E-14
   3576.83423   3.29502E-14
   3578.30835   3.58978E-14
   3579.78247   3.49209E-14
   3581.25659   5.98476E-14
   3582.73096   8.39728E-14
   3584.20508   1.57453E-13
   3585.67920   2.43420E-13
   3587.15356   2.22956E-13
   3588.62769   1.46938E-13
   3590.10181   8.41372E-14
   3591.57617   4.86734E-14
   3593.05029   4.04449E-14
   3594.52441   3.48547E-14
   3595.99878   3.38222E-14
   3597.47290   3.10397E-14
   3598.94702   2.37552E-14
   3600.42114   4.44554E-14
   3601.89551   3.70237E-14
   3603.36963   2.68269E-14
   3604.84375   3.68967E-14
   3606.31812   3.30461E-14
   3607.79224   3.56912E-14
   3609.26636   4.15844E-14
   3610.74072   3.60691E-14
   3612.21484   3.67607E-14
   3613.68896   4.37811E-14
   3615.16333   3.50944E-14
   3616.63745   3.85985E-14
   3618.11157   2.76729E-14
   3619.58569   3.85842E-14
   3621.06006   3.50769E-14
   3622.53418   4.24723E-14
   3624.00830   3.68738E-14
   3625.48267   3.85244E-14
   3626.95679   2.93723E-14
   3628.43091   4.29503E-14
   3629.90527   3.79848E-14
   3631.37939   3.38669E-14
   3632.85352   3.57167E-14
   3634.32764   3.77220E-14
   3635.80200   4.06639E-14
   3637.27612   3.61147E-14
   3638.75024   1.96897E-14
   3640.22461   3.37151E-14
   3641.69873   3.84825E-14
   3643.17285   3.83233E-14
   3644.64722   3.94549E-14
   3646.12134   3.66789E-14
   3647.59546   3.94607E-14
   3649.06982   3.36344E-14
   3650.54395   4.01768E-14
   3652.01807   3.65210E-14
   3653.49219   4.29151E-14
   3654.96655   4.71733E-14
   3656.44067   3.69722E-14
   3657.91479   3.63136E-14
   3659.38916   4.56331E-14
   3660.86328   5.31929E-14
   3662.33740   5.41528E-14
   3663.81177   4.94762E-14
   3665.28589   3.96595E-14
   3666.76001   4.06664E-14
   3668.23438   4.52742E-14
   3669.70850   4.28435E-14
   3671.18262   2.83619E-14
   3672.65674   3.54234E-14
   3674.13110   3.62386E-14
   3675.60522   3.20493E-14
   3677.07935   2.78839E-14
   3678.55371   2.91903E-14
   3680.02783   2.88015E-14
   3681.50195   3.41579E-14
   3682.97632   2.91895E-14
   3684.45044   3.12495E-14
   3685.92456   3.03766E-14
   3687.39868   3.01577E-14
   3688.87305   3.37270E-14
   3690.34717   3.57739E-14
   3691.82129   2.99612E-14
   3693.29565   2.81988E-14
   3694.76978   3.20350E-14
   3696.24390   3.34519E-14
   3697.71826   3.22000E-14
   3699.19238   2.76779E-14
   3700.66650   3.10463E-14
   3702.14087   3.00773E-14
   3703.61499   4.09846E-14
   3705.08911   3.83666E-14
   3706.56323   2.56962E-14
   3708.03760   3.14582E-14
   3709.51172   3.10551E-14
   3710.98584   3.55640E-14
   3712.46021   3.57943E-14
   3713.93433   3.25991E-14
   3715.40845   2.07073E-14
   3716.88281   2.27305E-14
   3718.35693   3.40101E-14
   3719.83105   4.96115E-14
   3721.30518   5.67606E-14
   3722.77954   6.44177E-14
   3724.25366   6.89810E-14
   3725.72778   6.61943E-14
   3727.20215   4.45964E-14
   3728.67627   4.22567E-14
   3730.15039   3.89059E-14
   3731.62476   4.02146E-14
   3733.09888   4.04433E-14
   3734.57300   4.17388E-14
   3736.04736   4.08906E-14
   3737.52148   3.26808E-14
   3738.99561   2.90608E-14
   3740.46973   1.82669E-14
   3741.94409   1.72475E-14
   3743.41821   2.27047E-14
   3744.89233   1.88440E-14
   3746.36670   2.94858E-14
   3747.84082   3.82493E-14
   3749.31494   4.41858E-14
   3750.78931   4.01805E-14
   3752.26343   3.63749E-14
   3753.73755   4.74911E-14
   3755.21191   9.18654E-14
   3756.68604   2.02032E-13
   3758.16016   3.15776E-13
   3759.63428   3.16179E-13
   3761.10864   2.11697E-13
   3762.58276   1.05580E-13
   3764.05688   3.89972E-14
   3765.53125   2.24718E-14
   3767.00537   3.59508E-14
   3768.47949   5.02634E-14
   3769.95386   5.16956E-14
   3771.42798   4.38192E-14
   3772.90210   3.22460E-14
   3774.37622   2.46301E-14
   3775.85059   1.91886E-14
   3777.32471   2.01809E-14
   3778.79883   2.70065E-14
   3780.27319   2.48745E-14
   3781.74731   2.36191E-14
   3783.22144   2.83118E-14
   3784.69580   2.56219E-14
   3786.16992   2.12468E-14
   3787.64404   1.56974E-14
   3789.11841   1.71471E-14
   3790.59253   1.96857E-14
   3792.06665   2.47906E-14
   3793.54077   3.26216E-14
   3795.01514   5.23801E-14
   3796.48926   6.43322E-14
   3797.96338   6.22303E-14
   3799.43774   4.22955E-14
   3800.91187   3.14367E-14
   3802.38599   2.07641E-14
   3803.86035   2.08341E-14
   3805.33447   2.02209E-14
   3806.80859   1.82066E-14
   3808.28271   2.17759E-14
   3809.75708   2.19733E-14
   3811.23120   2.58006E-14
   3812.70532   2.92236E-14
   3814.17969   3.16795E-14
   3815.65381   2.72948E-14
   3817.12793   3.34063E-14
   3818.60229   3.35982E-14
   3820.07642   3.39950E-14
   3821.55054   3.10221E-14
   3823.02490   2.49397E-14
   3824.49902   2.16624E-14
   3825.97314   2.28583E-14
   3827.44727   2.50940E-14
   3828.92163   1.79833E-14
   3830.39575   2.35838E-14
   3831.86987   4.04171E-14
   3833.34424   6.91595E-14
   3834.81836   8.12438E-14
   3836.29248   6.27295E-14
   3837.76685   5.15893E-14
   3839.24097   3.81665E-14
   3840.71509   2.86471E-14
   3842.18945   2.37673E-14
   3843.66357   1.85874E-14
   3845.13770   2.42799E-14
   3846.61182   2.28146E-14
   3848.08618   1.69751E-14
   3849.56030   1.96547E-14
   3851.03442   2.28203E-14
   3852.50879   1.58206E-14
   3853.98291   1.44666E-14
   3855.45703   2.39186E-14
   3856.93140   2.23868E-14
   3858.40552   2.51146E-14
   3859.87964   2.30790E-14
   3861.35376   2.25020E-14
   3862.82812   3.37302E-14
   3864.30225   8.32064E-14
   3865.77637   2.44129E-13
   3867.25073   3.95970E-13
   3868.72485   3.64481E-13
   3870.19897   2.33360E-13
   3871.67334   1.18742E-13
   3873.14746   4.17305E-14
   3874.62158   1.78671E-14
   3876.09595   1.66541E-14
   3877.57007   1.72046E-14
   3879.04419   1.84385E-14
   3880.51831   1.64323E-14
   3881.99268   1.71442E-14
   3883.46680   2.87216E-14
   3884.94092   3.96877E-14
   3886.41528   7.83622E-14
   3887.88940   1.14850E-13
   3889.36353   1.20758E-13
   3890.83789   9.27790E-14
   3892.31201   6.81846E-14
   3893.78613   4.93796E-14
   3895.26050   3.49897E-14
   3896.73462   3.16154E-14
   3898.20874   2.30983E-14
   3899.68286   2.22563E-14
   3901.15723   1.72106E-14
   3902.63135   2.09960E-14
   3904.10547   1.92953E-14
   3905.57983   1.81645E-14
   3907.05396   1.65334E-14
   3908.52808   1.72640E-14
   3910.00244   2.01053E-14
   3911.47656   2.07552E-14
   3912.95068   1.75719E-14
   3914.42480   1.91348E-14
   3915.89917   1.75465E-14
   3917.37329   1.50940E-14
   3918.84741   2.04764E-14
   3920.32178   1.70097E-14
   3921.79590   2.49807E-14
   3923.27002   2.42104E-14
   3924.74438   2.74079E-14
   3926.21851   2.52389E-14
   3927.69263   1.80195E-14
   3929.16699   1.95983E-14
   3930.64111   1.26699E-14
   3932.11523   1.27907E-14
   3933.58936   1.51119E-14
   3935.06372   1.84454E-14
   3936.53784   1.87545E-14
   3938.01196   2.20253E-14
   3939.48633   2.16025E-14
   3940.96045   1.64916E-14
   3942.43457   1.73113E-14
   3943.90894   1.62664E-14
   3945.38306   1.68744E-14
   3946.85718   1.83426E-14
   3948.33130   1.53813E-14
   3949.80566   1.41345E-14
   3951.27979   1.74714E-14
   3952.75391   1.71825E-14
   3954.22827   1.88739E-14
   3955.70239   1.71109E-14
   3957.17651   1.43011E-14
   3958.65088   1.83727E-14
   3960.12500   1.92909E-14
   3961.59912   2.44621E-14
   3963.07349   4.18095E-14
   3964.54761   9.81041E-14
   3966.02173   1.53236E-13
   3967.49585   1.79579E-13
   3968.97021   1.81913E-13
   3970.44434   1.32342E-13
   3971.91846   7.65079E-14
   3973.39282   4.43030E-14
   3974.86694   2.60017E-14
   3976.34106   1.97481E-14
   3977.81543   1.57628E-14
   3979.28955   1.50015E-14
   3980.76367   1.59592E-14
   3982.23804   1.68106E-14
   3983.71216   1.79357E-14
   3985.18628   1.53676E-14
   3986.66040   1.46603E-14
   3988.13477   1.77348E-14
   3989.60889   1.71847E-14
   3991.08301   1.61081E-14
   3992.55737   1.67362E-14
   3994.03149   1.76976E-14
   3995.50562   1.59818E-14
   3996.97998   1.84429E-14
   3998.45410   1.90953E-14
   3999.92822   1.71857E-14
   4001.40234   1.91599E-14
   4002.87671   1.69558E-14
   4004.35083   1.58696E-14
   4005.82495   1.66731E-14
   4007.29932   1.96291E-14
   4008.77344   1.81430E-14
   4010.24756   1.73998E-14
   4011.72192   1.87605E-14
   4013.19604   1.93082E-14
   4014.67017   1.96294E-14
   4016.14453   1.95156E-14
   4017.61865   1.68251E-14
   4019.09277   1.76920E-14
   4020.56689   2.38080E-14
   4022.04126   2.05622E-14
   4023.51538   3.28857E-14
   4024.98950   4.41283E-14
   4026.46387   4.13497E-14
   4027.93799   3.20879E-14
   4029.41211   2.18435E-14
   4030.88647   1.68460E-14
   4032.36060   1.73628E-14
   4033.83472   1.83033E-14
   4035.30884   1.63107E-14
   4036.78320   1.65529E-14
   4038.25732   1.65815E-14
   4039.73145   1.57946E-14
   4041.20581   1.70707E-14
   4042.67993   1.63669E-14
   4044.15405   1.59443E-14
   4045.62842   1.33859E-14
   4047.10254   1.63262E-14
   4048.57666   1.20103E-14
   4050.05103   1.20267E-14
   4051.52515   1.92130E-14
   4052.99927   1.69340E-14
   4054.47339   1.44033E-14
   4055.94775   1.52601E-14
   4057.42188   1.63351E-14
   4058.89600   1.88113E-14
   4060.37036   1.57484E-14
   4061.84448   1.89037E-14
   4063.31860   1.47487E-14
   4064.79297   2.21661E-14
   4066.26709   3.00801E-14
   4067.74121   4.03760E-14
   4069.21558   4.48427E-14
   4070.68970   3.81174E-14
   4072.16382   3.58580E-14
   4073.63794   2.85848E-14
   4075.11230   2.33940E-14
   4076.58643   1.91658E-14
   4078.06055   1.75301E-14
   4079.53491   1.68292E-14
   4081.00903   1.73026E-14
   4082.48315   1.69927E-14
   4083.95752   1.82956E-14
   4085.43164   1.53765E-14
   4086.90576   1.83424E-14
   4088.37988   1.99802E-14
   4089.85425   1.82805E-14
   4091.32837   2.03420E-14
   4092.80249   2.19737E-14
   4094.27686   2.85361E-14
   4095.75098   4.14527E-14
   4097.22510   6.50104E-14
   4098.69922   1.16983E-13
   4100.17334   1.77007E-13
   4101.64795   1.91005E-13
   4103.12207   1.44381E-13
   4104.59619   8.13502E-14
   4106.07031   3.87486E-14
   4107.54443   2.24098E-14
   4109.01855   2.03149E-14
   4110.49316   1.73829E-14
   4111.96729   1.76102E-14
   4113.44141   1.94192E-14
   4114.91553   1.96878E-14
   4116.38965   2.10980E-14
   4117.86377   2.18974E-14
   4119.33789   1.78476E-14
   4120.81250   2.10672E-14
   4122.28662   2.20929E-14
   4123.76074   1.94968E-14
   4125.23486   1.79240E-14
   4126.70898   1.85795E-14
   4128.18311   1.78572E-14
   4129.65771   1.58766E-14
   4131.13184   1.81149E-14
   4132.60596   1.85503E-14
   4134.08008   1.59637E-14
   4135.55420   1.54571E-14
   4137.02832   1.41786E-14
   4138.50244   1.70448E-14
   4139.97705   1.67691E-14
   4141.45117   2.16429E-14
   4142.92529   2.33046E-14
   4144.39941   2.19394E-14
   4145.87354   1.78813E-14
   4147.34766   1.45301E-14
   4148.82178   1.69176E-14
   4150.29639   1.56122E-14
   4151.77051   1.85353E-14
   4153.24463   1.45020E-14
   4154.71875   1.28250E-14
   4156.19287   1.83455E-14
   4157.66699   1.88285E-14
   4159.14160   1.71673E-14
   4160.61572   1.64158E-14
   4162.08984   1.85256E-14
   4163.56396   1.98405E-14
   4165.03809   1.71855E-14
   4166.51221   1.63111E-14
   4167.98633   1.47502E-14
   4169.46094   1.87466E-14
   4170.93506   1.84759E-14
   4172.40918   1.72468E-14
   4173.88330   1.83589E-14
   4175.35742   2.09498E-14
   4176.83154   2.49752E-14
   4178.30615   2.68866E-14
   4179.78027   2.49395E-14
   4181.25439   2.75868E-14
   4182.72852   2.12773E-14
   4184.20264   1.92163E-14
   4185.67676   1.75471E-14
   4187.15088   2.00283E-14
   4188.62549   2.18416E-14
   4190.09961   1.66862E-14
   4191.57373   1.79341E-14
   4193.04785   1.60497E-14
   4194.52197   1.83627E-14
   4195.99609   1.16044E-14
   4197.47070   2.87110E-14
   4198.94482   3.72702E-14
   4200.41895   3.64620E-14
   4201.89307   2.62660E-14
   4203.36719   2.35434E-14
   4204.84131   1.90696E-14
   4206.31543   1.93283E-14
   4207.79004   2.18506E-14
   4209.26416   1.75035E-14
   4210.73828   2.07662E-14
