#  puvul.274  455185.54396    1.0
#     wave       flux
   3767.53369  -4.55867E-13
   3769.00757  -1.46195E-12
   3770.48145   4.33218E-12
   3771.95532   3.00233E-13
   3773.42920  -9.08575E-13
   3774.90308   1.00621E-12
   3776.37695  -3.57371E-12
   3777.85083  -6.12849E-13
   3779.32471  -6.96788E-14
   3780.79858  -1.36031E-12
   3782.27246  -7.50224E-14
   3783.74609   3.03927E-12
   3785.21997   1.55456E-12
   3786.69385   1.42471E-12
   3788.16772  -1.56282E-12
   3789.64160  -1.15322E-12
   3791.11548  -2.18722E-12
   3792.58936   3.24598E-12
   3794.06323  -7.49225E-13
   3795.53711  -6.28031E-14
   3797.01099   3.32843E-12
   3798.48486  -3.00610E-13
   3799.95874   1.31721E-13
   3801.43262   4.69462E-13
   3802.90625  -4.18054E-13
   3804.38013  -5.55886E-13
   3805.85400   1.76148E-12
   3807.32788  -5.43017E-12
   3808.80176  -3.55776E-12
   3810.27563  -7.95474E-13
   3811.74951  -7.81936E-13
   3813.22339   5.68212E-13
   3814.69727   2.06924E-12
   3816.17114   8.19903E-14
   3817.64502   6.35431E-13
   3819.11890  -3.90001E-13
   3820.59277   9.37236E-15
   3822.06641  -1.63465E-12
   3823.54028  -2.98556E-12
   3825.01416  -4.52747E-12
   3826.48804  -1.84787E-12
   3827.96191  -3.35003E-12
   3829.43579   1.45868E-14
   3830.90967   6.48918E-13
   3832.38354  -1.73250E-12
   3833.85742   2.76478E-12
   3835.33130  -4.48584E-13
   3836.80518  -1.00019E-12
   3838.27905   2.00673E-12
   3839.75293  -3.78227E-13
   3841.22656   1.29707E-12
   3842.70044   4.91707E-12
   3844.17432  -1.52857E-13
   3845.64819   1.44308E-12
   3847.12207   1.31141E-12
   3848.59595   8.32637E-13
   3850.06982   2.18578E-12
   3851.54370   4.83256E-13
   3853.01758  -7.63888E-14
   3854.49146  -3.99005E-13
   3855.96533   7.70672E-13
   3857.43921   1.08060E-12
   3858.91309   9.95326E-13
   3860.38672   1.86023E-12
   3861.86060   1.23987E-12
   3863.33447  -8.65397E-14
   3864.80835   1.85044E-12
   3866.28223   8.25610E-13
   3867.75610   3.83552E-12
   3869.22998   2.60739E-12
   3870.70386  -2.43293E-13
   3872.17773   1.32413E-12
   3873.65161   1.00936E-13
   3875.12549  -1.03955E-12
   3876.59937   6.47075E-13
   3878.07324  -1.26863E-12
   3879.54688  -8.30087E-13
   3881.02075   2.14399E-12
   3882.49463   1.17558E-12
   3883.96851   2.45390E-12
   3885.44238   1.74734E-12
   3886.91626   3.25558E-12
   3888.39014   2.78866E-12
   3889.86401   7.32594E-13
   3891.33789   1.12913E-12
   3892.81177   1.14998E-13
   3894.28564   8.50684E-13
   3895.75952   7.60297E-13
   3897.23340   9.55687E-13
   3898.70703  -1.30416E-12
   3900.18091   2.24008E-12
   3901.65479   1.35021E-13
   3903.12866   1.00972E-12
   3904.60254  -7.95645E-13
   3906.07642  -5.02047E-13
   3907.55029   9.46581E-14
   3909.02417  -3.76747E-12
   3910.49805   3.50855E-12
   3911.97192  -1.84663E-12
   3913.44580  -1.06677E-12
   3914.91968  -1.96140E-12
   3916.39355   9.78186E-13
   3917.86719  -1.41068E-12
   3919.34106   2.64971E-12
   3920.81494   1.45611E-12
   3922.28882   1.58612E-12
   3923.76270   2.28325E-12
   3925.23657  -2.67694E-12
   3926.71045   7.83020E-13
   3928.18433   3.74619E-12
   3929.65820  -1.90904E-12
   3931.13208  -1.76322E-12
   3932.60596  -1.21517E-12
   3934.07983  -2.19748E-12
   3935.55371  -1.23542E-12
   3937.02734   1.96318E-13
   3938.50122   1.24940E-12
   3939.97510   1.35083E-12
   3941.44897   4.59953E-13
   3942.92285  -2.86030E-13
   3944.39673  -5.51133E-13
   3945.87061  -3.67139E-13
   3947.34448   4.35997E-14
   3948.81836   4.91606E-13
   3950.29224   3.18839E-13
   3951.76611  -9.57438E-13
   3953.23999   1.00138E-12
   3954.71387   1.72210E-13
   3956.18750   2.11729E-13
   3957.66138  -1.35255E-13
   3959.13525   8.61330E-13
   3960.60913  -5.95132E-14
   3962.08301  -5.93840E-13
   3963.55688   5.64316E-13
   3965.03076   6.90748E-13
   3966.50464   1.17066E-12
   3967.97852   1.88556E-12
   3969.45239   2.71951E-13
   3970.92627  -9.48415E-14
   3972.40015  -1.47030E-12
   3973.87402   3.88795E-13
   3975.34766   2.38132E-12
   3976.82153   7.94065E-13
   3978.29541  -3.18320E-13
   3979.76929   2.07260E-13
   3981.24316   2.18911E-12
   3982.71704   5.97016E-13
   3984.19092   1.80104E-12
   3985.66479   8.73229E-13
   3987.13867  -3.23500E-13
   3988.61255  -2.34685E-13
   3990.08643   1.34678E-12
   3991.56030   9.37484E-13
   3993.03418   1.33300E-13
   3994.50781   2.17894E-14
   3995.98169  -1.04323E-12
   3997.45557  -1.33340E-12
   3998.92944  -6.08973E-13
   4000.40332   1.98134E-12
   4001.87720  -1.04999E-12
   4003.35107   1.33875E-12
   4004.82495  -1.03817E-12
   4006.29883  -2.56616E-13
   4007.77271  -3.67654E-13
   4009.24658   7.35671E-13
   4010.72046   8.36308E-14
   4012.19434   6.24157E-13
   4013.66797   2.56437E-13
   4015.14185   1.44440E-13
   4016.61572   5.33593E-13
   4018.08960  -1.37524E-12
   4019.56348   2.24849E-13
   4021.03735   5.38752E-13
   4022.51123   1.04313E-12
   4023.98511  -1.65118E-13
   4025.45898   6.12666E-13
   4026.93286  -1.03517E-13
   4028.40674   3.49511E-13
   4029.88062   1.49009E-12
   4031.35449  -1.96132E-12
   4032.82812   4.27074E-13
   4034.30200   6.65923E-15
   4035.77588   1.32458E-12
   4037.24976   6.39632E-13
   4038.72363   8.58126E-13
   4040.19751  -3.34749E-13
   4041.67139  -5.91439E-13
   4043.14526   6.20310E-13
   4044.61914   2.06360E-12
   4046.09302   4.41060E-13
   4047.56689  -7.82395E-13
   4049.04077  -3.27794E-13
   4050.51465   1.40798E-12
   4051.98828  -2.68878E-13
   4053.46216   5.29894E-13
   4054.93604  -9.86552E-13
   4056.40991  -1.29746E-12
   4057.88379   8.54920E-13
   4059.35767  -5.33739E-14
   4060.83154  -8.22923E-13
   4062.30542   1.98816E-13
   4063.77930  -4.22995E-13
   4065.25317  -4.09903E-13
   4066.72705   5.37101E-13
   4068.20093   1.04130E-12
   4069.67480   6.64459E-13
   4071.14844   1.06381E-13
   4072.62231   4.55870E-13
   4074.09619   1.10888E-12
   4075.57007  -3.29377E-13
   4077.04395  -5.02946E-13
   4078.51782   4.73495E-13
   4079.99170   9.58073E-13
   4081.46558   5.95478E-13
   4082.93945   5.98134E-13
   4084.41333   5.03054E-13
   4085.88721   6.14361E-13
   4087.36108  -2.77142E-13
   4088.83496  -1.93946E-13
   4090.30859   1.59315E-13
   4091.78247   3.43436E-13
   4093.25635  -1.11050E-13
   4094.73022   9.85792E-13
   4096.20410   1.11274E-12
   4097.67822   4.97852E-13
   4099.15186   1.93112E-12
   4100.62549   1.56412E-12
   4102.09961   1.00558E-12
   4103.57324   1.42534E-12
   4105.04736   9.69010E-13
   4106.52100   3.64125E-13
   4107.99512  -9.32617E-13
   4109.46875   3.92272E-13
   4110.94287   1.57038E-12
   4112.41650   3.36479E-13
   4113.89062  -2.98630E-13
   4115.36426   6.40131E-13
   4116.83838   9.91815E-13
   4118.31201   3.83071E-13
   4119.78564  -8.30837E-14
   4121.25977   2.54925E-13
   4122.73340   5.32910E-14
   4124.20752   4.52380E-13
   4125.68115  -3.53661E-13
   4127.15527  -2.93122E-13
   4128.62891  -2.76251E-13
   4130.10303  -3.08876E-13
   4131.57666   8.27840E-13
   4133.05078   4.55117E-13
   4134.52441   5.83347E-13
   4135.99854   6.68251E-14
   4137.47217   4.60716E-13
   4138.94580   1.70117E-13
   4140.41992   2.72681E-14
   4141.89355   1.38497E-12
   4143.36768   8.63069E-13
   4144.84131   1.71227E-13
   4146.31543  -2.13461E-13
   4147.78906   8.08463E-13
   4149.26318   3.03210E-14
   4150.73682   5.26124E-13
   4152.21094  -1.03100E-13
   4153.68457   5.70541E-13
   4155.15869  -5.21385E-13
   4156.63232   4.78457E-13
   4158.10596   2.11376E-13
   4159.58008  -2.95667E-13
   4161.05371  -2.85722E-13
   4162.52783  -1.48211E-12
   4164.00146  -7.07590E-13
   4165.47559  -3.63159E-13
   4166.94922  -5.65795E-14
   4168.42334  -7.53553E-13
   4169.89697  -2.99210E-13
   4171.37109  -3.30735E-13
   4172.84473   6.81708E-13
   4174.31885  -3.79110E-14
   4175.79248   2.15307E-13
   4177.26611   7.89054E-13
   4178.74023   1.08789E-13
   4180.21387  -5.25192E-13
   4181.68799  -1.26474E-13
   4183.16162   3.67204E-13
   4184.63574  -3.01726E-14
   4186.10938   2.29104E-13
   4187.58350   1.25904E-12
   4189.05713   3.90804E-13
   4190.53125   3.21721E-13
   4192.00488   3.17672E-13
   4193.47900  -7.07714E-13
   4194.95264  -2.08441E-13
   4196.42627   7.62183E-13
   4197.90039   6.96288E-13
   4199.37402   9.88920E-14
   4200.84814   1.03261E-12
   4202.32178  -4.80431E-13
   4203.79590   4.25741E-13
   4205.26953   1.03539E-12
   4206.74365   4.00493E-13
   4208.21729  -2.92811E-13
   4209.69141   9.17070E-14
   4211.16504  -1.34859E-13
   4212.63916   5.98124E-13
   4214.11279   3.04805E-13
   4215.58643  -4.24361E-13
   4217.06055   5.50439E-13
   4218.53418   1.77746E-13
   4220.00830   1.19202E-12
   4221.48193  -1.96367E-13
   4222.95605   5.20308E-13
